"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"After Burner Complete","JP","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_2105_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_2105_back.jpg","After Burner","http://www.gamefaqs.com/sega32x/584355-after-burner"
"After Burner Complete","EU","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_87727_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_87727_back.jpg","After Burner","http://www.gamefaqs.com/sega32x/584355-after-burner"
"After Burner","US","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_87553_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/584355_87553_back.jpg","After Burner","http://www.gamefaqs.com/sega32x/584355-after-burner"
"The Amazing Spider-Man: Web of Fire","US","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/584371_37396_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/584371_37396_back.jpg","The Amazing Spider-Man: Web of Fire","http://www.gamefaqs.com/sega32x/584371-the-amazing-spider-man-web-of-fire"
"BC Racers","US","http://image.gamespotcdn.net/gamespot/images/box/2/6/0/918260_48616_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/6/0/918260_48616_back.jpg","BC Racers","http://www.gamefaqs.com/sega32x/918260-bc-racers"
"Blackthorne","US","http://image.gamespotcdn.net/gamespot/images/box/3/5/7/584357_37389_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/7/584357_37389_back.jpg","Blackthorne","http://www.gamefaqs.com/sega32x/584357-blackthorne"
"Blackthorne","SA","http://image.gamespotcdn.net/gamespot/images/box/3/5/7/584357_197218_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/7/584357_197218_back.jpg","Blackthorne","http://www.gamefaqs.com/sega32x/584357-blackthorne"
"Brutal: Above the Claw","US","http://image.gamespotcdn.net/gamespot/images/box/3/5/8/584358_46657_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/8/584358_46657_back.jpg","Brutal: Above the Claw","http://www.gamefaqs.com/sega32x/584358-brutal-above-the-claw"
"Knuckles' Chaotix","US","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_46658_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_46658_back.jpg","Knuckles' Chaotix","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
"Knuckles' Chaotix","EU","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_78151_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_78151_back.jpg","Knuckles' Chaotix","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
"Knuckles' Chaotix","SA","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_197227_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_197227_back.jpg","Knuckles' Chaotix","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
"Chaotix","JP","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_2110_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/2/584362_2110_back.jpg","Knuckles' Chaotix","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
