"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Advanced Dungeons & Dragons: DeathKeep","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/584302_37347_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/584302_37347_back.jpg","DeathKeep","http://www.gamefaqs.com/3do/584302-deathkeep"
"Advanced Dungeons & Dragons: Slayer","US","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_41180_back.jpg","Slayer","http://www.gamefaqs.com/3do/917943-slayer"
"Advanced Dungeons & Dragons: Slayer","EU","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_189640_front.jpg","","Slayer","http://www.gamefaqs.com/3do/917943-slayer"
"Advanced Dungeons & Dragons: Lost Dungeon","JP","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/917943_89275_back.jpg","Slayer","http://www.gamefaqs.com/3do/917943-slayer"
"AI Shogi","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/5/569515_7303_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/5/569515_7303_back.jpg","AI Shogi","http://www.gamefaqs.com/3do/569515-ai-shogi"
"Akagi: Topaiten","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/569563_7403_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/569563_7403_back.jpg","Akagi: Topaiten","http://www.gamefaqs.com/3do/569563-akagi-topaiten"
"Alone in the Dark","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_37349_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_37349_back.jpg","Alone in the Dark","http://www.gamefaqs.com/3do/584305-alone-in-the-dark"
"Alone in the Dark","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_3196_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_3196_back.jpg","Alone in the Dark","http://www.gamefaqs.com/3do/584305-alone-in-the-dark"
"Alone in the Dark","EU","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/584305_172703_front.jpg","","Alone in the Dark","http://www.gamefaqs.com/3do/584305-alone-in-the-dark"
"Alone in the Dark 2","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_37350_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_37350_back.jpg","Alone in the Dark 2","http://www.gamefaqs.com/3do/584306-alone-in-the-dark-2"
"Alone in the Dark 2","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_2984_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/6/584306_2984_back.jpg","Alone in the Dark 2","http://www.gamefaqs.com/3do/584306-alone-in-the-dark-2"
"The Animals!","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/584307_37351_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/584307_37351_back.jpg","The Animals!","http://www.gamefaqs.com/3do/584307-the-animals"
"Out of This World","US","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_88728_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_88728_back.jpg","Out of This World","http://www.gamefaqs.com/3do/584447-out-of-this-world"
"Outer World","JP","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_2543_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_2543_back.jpg","Out of This World","http://www.gamefaqs.com/3do/584447-out-of-this-world"
"Another World","EU","http://image.gamespotcdn.net/gamespot/images/box/4/4/7/584447_123432_front.jpg","","Out of This World","http://www.gamefaqs.com/3do/584447-out-of-this-world"
"Aqua World: Umibi Monogatari","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/569519_7991_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/569519_7991_back.jpg","Aqua World: Umibi Monogatari","http://www.gamefaqs.com/3do/569519-aqua-world-umibi-monogatari"
"AutoBahn Tokio","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/0/569560_8408_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/0/569560_8408_back.jpg","AutoBahn Tokio","http://www.gamefaqs.com/3do/569560-autobahn-tokio"
"Bakushou!! All Yoshimoto Quiz-Ou Ketteisen","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/569485_7719_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/569485_7719_back.jpg","Bakushou!! All Yoshimoto Quiz-Ou Ketteisen","http://www.gamefaqs.com/3do/569485-bakushou-all-yoshimoto-quiz-ou-ketteisen"
"Ballz: The Director's Cut","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_3092_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_3092_back.jpg","Ballz: The Director's Cut","http://www.gamefaqs.com/3do/584309-ballz-the-directors-cut"
"Ballz: The Director's Cut","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_46655_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/584309_46655_back.jpg","Ballz: The Director's Cut","http://www.gamefaqs.com/3do/584309-ballz-the-directors-cut"
"Battery Navi","JP","http://image.gamespotcdn.net/gamespot/images/box/5/2/0/575520_97281_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/2/0/575520_97281_back.jpg","Battery Navi","http://www.gamefaqs.com/3do/575520-battery-navi"
"Battle Chess","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_37355_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_37355_back.jpg","Battle Chess","http://www.gamefaqs.com/3do/584314-battle-chess"
"Battle Chess","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_2985_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/584314_2985_back.jpg","Battle Chess","http://www.gamefaqs.com/3do/584314-battle-chess"
"Battle Pinball","JP","http://image.gamespotcdn.net/gamespot/images/box/4/6/8/584468_3617_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/8/584468_3617_back.jpg","Battle Pinball","http://www.gamefaqs.com/3do/584468-battle-pinball"
"BattleSport","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/5/584315_37356_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/5/584315_37356_back.jpg","BattleSport","http://www.gamefaqs.com/3do/584315-battlesport"
"BC Racers","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/584308_37352_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/584308_37352_back.jpg","BC Racers","http://www.gamefaqs.com/3do/584308-bc-racers"
"Belzerion","JP","http://image.gamespotcdn.net/gamespot/images/box/4/6/1/569461_7490_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/1/569461_7490_back.jpg","Belzerion","http://www.gamefaqs.com/3do/569461-belzerion"
"Bishoujo Senshi Sailor Moon S","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/5/584475_2749_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/5/584475_2749_back.jpg","Bishoujo Senshi Sailor Moon S","http://www.gamefaqs.com/3do/584475-bishoujo-senshi-sailor-moon-s"
"Blade Force","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/584316_2593_front.jpg","","Blade Force","http://www.gamefaqs.com/3do/584316-blade-force"
"Blade Force","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/584316_37357_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/584316_37357_back.jpg","Blade Force","http://www.gamefaqs.com/3do/584316-blade-force"
"Blonde Justice","US","http://image.gamespotcdn.net/gamespot/images/box/3/4/9/944349_98479_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/4/9/944349_98479_back.jpg","Blonde Justice","http://www.gamefaqs.com/3do/944349-blonde-justice"
"Blood Angels","JP","http://image.gamespotcdn.net/gamespot/images/box/4/9/7/584497_89259_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/7/584497_89259_back.jpg","Space Hulk: Vengeance of the Blood Angels","http://www.gamefaqs.com/3do/584497-space-hulk-vengeance-of-the-blood-angels"
"Space Hulk: Vengeance of the Blood Angels","US","http://image.gamespotcdn.net/gamespot/images/box/4/9/7/584497_37471_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/7/584497_37471_back.jpg","Space Hulk: Vengeance of the Blood Angels","http://www.gamefaqs.com/3do/584497-space-hulk-vengeance-of-the-blood-angels"
"Blue Forest Story: Kaze no Fuuin","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/4/569574_7714_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/4/569574_7714_back.jpg","Blue Forest Story: Kaze no Fuuin","http://www.gamefaqs.com/3do/569574-blue-forest-story-kaze-no-fuuin"
"Bodycon Digital Rave Part 1","JP","http://image.gamespotcdn.net/gamespot/images/box/4/5/8/569458_8428_front.jpg","","Bodycon Digital Rave Part 1","http://www.gamefaqs.com/3do/569458-bodycon-digital-rave-part-1"
"Bonogurashi","JP","http://image.gamespotcdn.net/gamespot/images/box/4/9/1/569491_8171_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/1/569491_8171_back.jpg","Bonogurashi","http://www.gamefaqs.com/3do/569491-bonogurashi"
"Brain Dead 13","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/584317_37358_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/584317_37358_back.jpg","Brain Dead 13","http://www.gamefaqs.com/3do/584317-brain-dead-13"
"Burning Soldier","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/584318_3224_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/584318_3224_back.jpg","Burning Soldier","http://www.gamefaqs.com/3do/584318-burning-soldier"
"Burning Soldier","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/584318_37359_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/584318_37359_back.jpg","Burning Soldier","http://www.gamefaqs.com/3do/584318-burning-soldier"
"Puzzle Bobble","JP","http://image.gamespotcdn.net/gamespot/images/box/8/4/3/917843_89270_front.jpg","","Bust-A-Move","http://www.gamefaqs.com/3do/917843-bust-a-move"
"Bust-A-Move","US","http://image.gamespotcdn.net/gamespot/images/box/8/4/3/917843_57861_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/4/3/917843_57861_back.jpg","Bust-A-Move","http://www.gamefaqs.com/3do/917843-bust-a-move"
"Cannon Fodder","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/0/584320_37360_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/0/584320_37360_back.jpg","Cannon Fodder","http://www.gamefaqs.com/3do/584320-cannon-fodder"
"Captain Quazar","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/584321_37361_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/584321_37361_back.jpg","Captain Quazar","http://www.gamefaqs.com/3do/584321-captain-quazar"
"Captain Quazar","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/584321_2594_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/584321_2594_back.jpg","Captain Quazar","http://www.gamefaqs.com/3do/584321-captain-quazar"
"Carrier: Fortress at Sea","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/2/584322_37362_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/2/584322_37362_back.jpg","Carrier: Fortress at Sea","http://www.gamefaqs.com/3do/584322-carrier-fortress-at-sea"
"Casper","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/3/584323_37363_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/3/584323_37363_back.jpg","Casper","http://www.gamefaqs.com/3do/584323-casper"
"Chiki Chiki Machine Mou Race","JP","http://image.gamespotcdn.net/gamespot/images/box/5/2/2/584522_59310_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/2/2/584522_59310_back.jpg","Wacky Races","http://www.gamefaqs.com/3do/584522-wacky-races"
"Chiki Chiki Machine Mou Race 2: In Space","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/3/569513_8410_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/3/569513_8410_back.jpg","Wacky Races 2: In Space","http://www.gamefaqs.com/3do/569513-wacky-races-2-in-space"
"Chizu Monogatari: Sono 1","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/7/569547_8421_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/7/569547_8421_back.jpg","Chizu Monogatari: Sono 1","http://www.gamefaqs.com/3do/569547-chizu-monogatari-sono-1"
"Corpse Killer","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/584325_37364_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/584325_37364_back.jpg","Corpse Killer","http://www.gamefaqs.com/3do/584325-corpse-killer"
"Corpse Killer","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/584325_2926_front.jpg","","Corpse Killer","http://www.gamefaqs.com/3do/584325-corpse-killer"
"The Coven","US","http://image.gamespotcdn.net/gamespot/images/box/3/6/4/944364_98522_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/4/944364_98522_back.jpg","The Coven","http://www.gamefaqs.com/3do/944364-the-coven"
"Cowboy Casino","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/584326_37365_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/6/584326_37365_back.jpg","Cowboy Casino","http://www.gamefaqs.com/3do/584326-cowboy-casino"
"Crash 'N Burn","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/584328_37367_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/584328_37367_back.jpg","Crash 'N Burn","http://www.gamefaqs.com/3do/584328-crash-n-burn"
"Crash 'N Burn","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/584328_3089_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/584328_3089_back.jpg","Crash 'N Burn","http://www.gamefaqs.com/3do/584328-crash-n-burn"
"Crayon Shin-Chan: Puzzle Daimaou no Nazo","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/569476_7363_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/569476_7363_back.jpg","Crayon Shin-Chan: Puzzle Daimaou no Nazo","http://www.gamefaqs.com/3do/569476-crayon-shin-chan-puzzle-daimaou-no-nazo"
"Creature Shock","US","http://image.gamespotcdn.net/gamespot/images/box/3/2/9/584329_37368_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/9/584329_37368_back.jpg","Creature Shock","http://www.gamefaqs.com/3do/584329-creature-shock"
"Crime Patrol","US","http://image.gamespotcdn.net/gamespot/images/box/3/3/0/584330_37369_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/0/584330_37369_back.jpg","Crime Patrol","http://www.gamefaqs.com/3do/584330-crime-patrol"
"Cyberdillo","US","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/584331_37370_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/584331_37370_back.jpg","Cyberdillo","http://www.gamefaqs.com/3do/584331-cyberdillo"
"Cyberia","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/584332_2986_front.jpg","","Cyberia","http://www.gamefaqs.com/3do/584332-cyberia"
