"Title","CoverRegionName","CoverType","CoverURL"
"Ace of Aces","Ace of Aces (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/585374_53447_front.jpg"
"Ace of Aces","Ace of Aces (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/585374_53447_back.jpg"
"Ace of Aces","Ace of Aces (US, 1988)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/585374_53447_spine.jpg"
"Ace of Aces","Ace of Aces (US, 1988)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/7/4/585374_53447_flap.jpg"
"Alien Brigade","Alien Brigade (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/5/585375_38293_front.jpg"
"Alien Brigade","Alien Brigade (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/5/585375_38293_back.jpg"
"Asteroids","Asteroids (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/6/585376_38294_front.jpg"
"Asteroids","Asteroids (US, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/6/585376_38294_back.jpg"
"Atari 7800","Atari 7800 Hardware (US, June 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/7/916367_47873_front.jpg"
"Atari 7800","Atari 7800 Hardware (US, June 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/7/916367_47873_front.jpg"
"Ballblazer","Ballblazer (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/7/585377_38295_front.jpg"
"Ballblazer","Ballblazer (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/7/585377_38295_back.jpg"
"Barnyard Blaster","Barnyard Blaster (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/585378_38296_front.jpg"
"Barnyard Blaster","Barnyard Blaster (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/585378_38296_back.jpg"
"Barnyard Blaster","Barnyard Blaster (US, 1988)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/585378_38296_spine.jpg"
"Barnyard Blaster","Barnyard Blaster (US, 1988)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/585378_38296_flap.jpg"
"Basketbrawl","Basketbrawl (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/585379_38297_front.jpg"
"Basketbrawl","Basketbrawl (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/585379_38297_back.jpg"
"Centipede","Centipede (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/0/585380_38298_front.jpg"
"Centipede","Centipede (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/0/585380_38298_back.jpg"
"Choplifter!","Choplifter! (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/1/585381_38299_front.jpg"
"Choplifter!","Choplifter! (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/1/585381_38299_back.jpg"
"Commando","Commando (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/2/585382_38300_front.jpg"
"Commando","Commando (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/2/585382_38300_back.jpg"
"Crack'ed","Crack'ed (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/3/585383_38301_front.jpg"
"Crack'ed","Crack'ed (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/3/585383_38301_back.jpg"
"Crossbow","Crossbow (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/585384_38302_front.jpg"
"Crossbow","Crossbow (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/585384_38302_back.jpg"
"Dark Chambers","Dark Chambers (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/5/585385_38303_front.jpg"
"Dark Chambers","Dark Chambers (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/5/585385_38303_back.jpg"
"Desert Falcon","Desert Falcon (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/6/585386_38304_front.jpg"
"Desert Falcon","Desert Falcon (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/6/585386_38304_back.jpg"
"Dig Dug","Dig Dug (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/8/585388_38306_front.jpg"
"Dig Dug","Dig Dug (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/8/585388_38306_back.jpg"
"Dig Dug","Dig Dug (US, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/8/8/585388_38306_spine.jpg"
"Dig Dug","Dig Dug (US, 1987)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/3/8/8/585388_38306_flap.jpg"
"Donkey Kong","Donkey Kong (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/9/585389_38307_front.jpg"
"Donkey Kong","Donkey Kong (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/9/585389_38307_back.jpg"
"Donkey Kong Junior","Donkey Kong Junior (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/0/585390_38308_front.jpg"
"Donkey Kong Junior","Donkey Kong Junior (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/0/585390_38308_back.jpg"
"Double Dragon","Double Dragon (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/585391_38309_front.jpg"
"Double Dragon","Double Dragon (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/585391_38309_back.jpg"
"F-18 Hornet","F-18 Hornet (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/4/585394_38312_front.jpg"
"F-18 Hornet","F-18 Hornet (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/4/585394_38312_back.jpg"
"Fatal Run","Fatal Run (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/585395_38313_front.jpg"
"Fatal Run","Fatal Run (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/585395_38313_back.jpg"
"Fight Night","Fight Night (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/6/585396_38314_front.jpg"
"Fight Night","Fight Night (US, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/6/585396_38314_back.jpg"
"Food Fight","Food Fight (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/7/585397_38315_front.jpg"
"Food Fight","Food Fight (US, 1986)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/7/585397_38315_back.jpg"
"Galaga","Galaga (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/8/585398_38316_front.jpg"
"Galaga","Galaga (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/8/585398_38316_back.jpg"
"Hat Trick","Hat Trick (US, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/9/9/585399_38317_front.jpg"
"Hat Trick","Hat Trick (US, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/9/9/585399_38317_back.jpg"
"Hat Trick","Hat Trick (US, 1987)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/9/9/585399_38317_spine.jpg"
"Ikari Warriors","Ikari Warriors (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/0/0/585400_49824_front.jpg"
"Ikari Warriors","Ikari Warriors (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/0/0/585400_49824_back.jpg"
"Impossible Mission","Impossible Mission (US, 1986)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/0/1/585401_38318_front.jpg"
