"Title","CoverRegionName","CoverType","CoverURL"
"A320 Airbus","A320 Airbus (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/0/949410_106172_front.jpg"
"A320 Airbus","A320 Airbus (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/0/949410_106172_back.jpg"
"Aaargh!","Aaargh! (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/948649_105251_front.jpg"
"Aaargh!","Aaargh! (EU, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/948649_105251_back.jpg"
"Action Fighter","Action Fighter (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/1/949411_106409_front.jpg"
"Action Fighter","Action Fighter (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/1/949411_106409_back.jpg"
"Action Fighter","Action Fighter (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/1/949411_106173_front.jpg"
"Combat Course","Combat Course (US, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/2/7/949427_106189_front.jpg"
"Combat Course","Action Service (EU, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/2/7/949427_106412_front.jpg"
"Combat Course","Action Service (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/2/7/949427_106413_front.jpg"
"The Addams Family","The Addams Family (EU, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/936799_105359_front.jpg"
"ADS - Advanced Destroyer Simulator","ADS - Advanced Destroyer Simulator (EU, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/0/948650_105252_front.jpg"
"Advanced Fruit Machine Simulator","Advanced Fruit Machine Simulator (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/2/949412_106174_front.jpg"
"Advanced Rugby Simulator","Advanced Rugby Simulator (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/3/949413_106175_front.jpg"
"After Burner","After Burner (EU, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/2/7/946827_103306_front.jpg"
"After Burner","After Burner (EU, 1988)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/2/7/946827_103306_back.jpg"
"After Burner","After Burner (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/2/7/946827_104565_front.jpg"
"After Burner","After Burner (EU, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/2/7/946827_104565_back.jpg"
"After the War","After the War (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/4/949414_106176_front.jpg"
"Air Bucks","Air Bucks (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/5/949415_106177_front.jpg"
"Air Bucks","Air Bucks (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/5/949415_106177_back.jpg"
"Airball","Airball (EU, 1987)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/9/5/936795_105461_front.jpg"
"Airball","Airball (EU, 1987)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/9/5/936795_105461_back.jpg"
"Airborne Ranger","Airborne Ranger (EU, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/7/946957_103478_front.jpg"
"Airborne Ranger","Airborne Ranger (EU, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/7/946957_103478_back.jpg"
"Alcantor","Alcantor (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/6/949416_106178_front.jpg"
"Alcantor","Alcantor (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/6/949416_106178_back.jpg"
"Alcantor","Alcantor (EU, 1991)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/4/1/6/949416_106178_spine.jpg"
"Alcatraz","Alcatraz (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/7/949417_106179_front.jpg"
"Alcatraz","Alcatraz (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/7/949417_106179_back.jpg"
"Alien Storm","Alien Storm (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/1/948651_105462_front.jpg"
"Alien Storm","Alien Storm (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/5/1/948651_105462_back.jpg"
"Alien Syndrome","Alien Syndrome (EU, 1988)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/5/2/948652_105254_front.jpg"
"Alien World","Alien World (EU, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/1/8/949418_106180_front.jpg"
"Alien World","Alien World (EU, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/1/8/949418_106180_back.jpg"
"Altered Beast","Altered Beast (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/6/2/948162_104760_front.jpg"
"Altered Beast","Altered Beast (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/6/2/948162_104760_back.jpg"
"Amazon","Amazon (US, 1985)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/948874_105536_front.jpg"
"Amberstar","Amberstar (EU, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/948875_105537_front.jpg"
"Amberstar","Amberstar (EU, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/948875_105537_back.jpg"
