"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Alcazar the Forgotten Fortress","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/0/585450_38367_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/5/0/585450_38367_back.jpg","Alcazar the Forgotten Fortress","http://www.gamefaqs.com/colecovision/585450-alcazar-the-forgotten-fortress"
"Alphabet Zoo","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/1/585451_38368_front.jpg","","Alphabet Zoo","http://www.gamefaqs.com/colecovision/585451-alphabet-zoo"
"Antarctic Adventure","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/3/585453_38370_front.jpg","","Antarctic Adventure","http://www.gamefaqs.com/colecovision/585453-antarctic-adventure"
"Artillery Duel","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/5/585455_38372_front.jpg","","Artillery Duel","http://www.gamefaqs.com/colecovision/585455-artillery-duel"
"BC's Quest for Tires","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/6/585456_38373_front.jpg","","BC's Quest for Tires","http://www.gamefaqs.com/colecovision/585456-bcs-quest-for-tires"
"BC's Quest for Tires II- Grog's Revenge","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/0/585500_38417_front.jpg","","BC's Quest for Tires II- Grog's Revenge","http://www.gamefaqs.com/colecovision/585500-bcs-quest-for-tires-ii-grogs-revenge"
"Beamrider","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/7/585457_38374_front.jpg","","Beamrider","http://www.gamefaqs.com/colecovision/585457-beamrider"
"Blockade Runner","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/8/585458_38375_front.jpg","","Blockade Runner","http://www.gamefaqs.com/colecovision/585458-blockade-runner"
"Boulder Dash","US","http://image.gamespotcdn.net/gamespot/images/box/4/5/9/585459_38376_front.jpg","","Boulder Dash","http://www.gamefaqs.com/colecovision/585459-boulder-dash"
"Brain Strainers","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/0/585460_38377_front.jpg","","Brain Strainers","http://www.gamefaqs.com/colecovision/585460-brain-strainers"
"Buck Rogers: Planet of Zoom","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/1/585461_38378_front.jpg","","Buck Rogers: Planet of Zoom","http://www.gamefaqs.com/colecovision/585461-buck-rogers-planet-of-zoom"
"Bump 'N Jump","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/2/585462_38379_front.jpg","","Bump 'N Jump","http://www.gamefaqs.com/colecovision/585462-bump-n-jump"
"Cabbage Patch Kids Picture","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/4/585464_38381_front.jpg","","Cabbage Patch Kids Picture","http://www.gamefaqs.com/colecovision/585464-cabbage-patch-kids-picture"
"Campaign '84","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/5/585465_38382_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/5/585465_38382_back.jpg","Campaign '84","http://www.gamefaqs.com/colecovision/585465-campaign-84"
"Carnival","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/6/585466_38383_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/6/585466_38383_back.jpg","Carnival","http://www.gamefaqs.com/colecovision/585466-carnival"
"Centipede","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/7/585467_38384_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/7/585467_38384_back.jpg","Centipede","http://www.gamefaqs.com/colecovision/585467-centipede"
"Choplifter!","US","http://image.gamespotcdn.net/gamespot/images/box/4/6/9/585469_38386_front.jpg","","Choplifter!","http://www.gamefaqs.com/colecovision/585469-choplifter"
"Chuck Norris Superkicks","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/0/585470_38387_front.jpg","","Chuck Norris Superkicks","http://www.gamefaqs.com/colecovision/585470-chuck-norris-superkicks"
"Colecovision Hardware","US","http://image.gamespotcdn.net/gamespot/images/box/3/7/1/916371_47877_front.jpg","","Colecovision","http://www.gamefaqs.com/colecovision/916371-colecovision"
"Congo Bongo","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/1/585471_38388_front.jpg","","Congo Bongo","http://www.gamefaqs.com/colecovision/585471-congo-bongo"
"Cosmic Avenger","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/2/585472_38389_front.jpg","","Cosmic Avenger","http://www.gamefaqs.com/colecovision/585472-cosmic-avenger"
"Defender","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/7/585477_38394_front.jpg","","Defender","http://www.gamefaqs.com/colecovision/585477-defender"
"Destructor","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/8/585478_38395_front.jpg","","Destructor","http://www.gamefaqs.com/colecovision/585478-destructor"
"Donkey Kong","US","http://image.gamespotcdn.net/gamespot/images/box/4/8/0/585480_38397_front.jpg","","Donkey Kong","http://www.gamefaqs.com/colecovision/585480-donkey-kong"
"Donkey Kong Junior","US","http://image.gamespotcdn.net/gamespot/images/box/4/8/1/585481_38398_front.jpg","","Donkey Kong Junior","http://www.gamefaqs.com/colecovision/585481-donkey-kong-junior"
"Double Ender: Artillery Duel/Chuck Norris Superkicks","US","http://image.gamespotcdn.net/gamespot/images/box/4/2/6/942426_94272_front.jpg","","Double Ender: Artillery Duel/Chuck Norris Superkicks","http://www.gamefaqs.com/colecovision/942426-double-ender-artillery-duel-chuck-norris"
"Dragonfire","US","http://image.gamespotcdn.net/gamespot/images/box/4/8/3/585483_38400_front.jpg","","Dragonfire","http://www.gamefaqs.com/colecovision/585483-dragonfire"
"Evolution","US","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/585485_38402_front.jpg","","Evolution","http://www.gamefaqs.com/colecovision/585485-evolution"
