"Title","CoverRegionName","CoverType","CoverURL"
"A-Ressha de Ikou DS","A-Ressha de Ikou DS (JP, 04/23/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/958331_121217_front.jpg"
"A-Ressha de Ikou DS","A-Ressha de Ikou DS (JP, 04/23/09)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/958331_121217_back.jpg"
"A-Ressha de Ikou DS: Navigation Pack","A-Ressha de Ikou DS: Navigation Pack (JP, 12/09/10)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/610264_184057_front.jpg"
"A-Ressha de Ikou DS: Navigation Pack","A-Ressha de Ikou DS: Navigation Pack (JP, 12/09/10)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/610264_184057_back.jpg"
"A-Ressha de Ikou DS: Navigation Pack","A-Ressha de Ikou DS: Navigation Pack (JP, 12/09/10)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/610264_184057_spine.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (JP, 05/28/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_101477_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (JP, 05/28/09)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_101477_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (JP, 05/28/09)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_101477_spine.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (Premium Edition) (JP, 05/28/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_117134_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (Premium Edition) (JP, 05/28/09)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_117134_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (US, 02/16/10)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124374_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (US, 02/16/10)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124374_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (US, 02/16/10)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124374_spine.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (AU, 02/18/10)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_159174_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (AU, 02/18/10)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_159174_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (EU, 02/19/10)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124371_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Ace Attorney Investigations: Miles Edgeworth (EU, 02/19/10)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124371_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (NEW Best Price! 2000) (JP, 01/20/11)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_186166_front.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (NEW Best Price! 2000) (JP, 01/20/11)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_186166_back.jpg"
"Ace Attorney Investigations: Miles Edgeworth","Gyakuten Kenji (NEW Best Price! 2000) (JP, 01/20/11)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_186166_spine.jpg"
"Magnetica","Shunkan Puzz Loop (JP, 03/02/06)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_72859_front.jpg"
"Magnetica","Magnetica (US, 06/05/06)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73891_front.jpg"
"Magnetica","Magnetica (US, 06/05/06)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73891_back.jpg"
"Magnetica","Magnetica (US, 06/05/06)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73891_spine.jpg"
"Magnetica","Actionloop (EU, 01/26/07)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73581_front.jpg"
"Magnetica","Actionloop (EU, 01/26/07)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73581_back.jpg"
"Active Health with Carol Vorderman","Active Health with Carol Vorderman (EU, 08/07/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/9/4/970794_137140_front.jpg"
"Actua Pool","Actua Pool (AU, 01/01/07)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84553_front.jpg"
"Actua Pool","Actua Pool (EU, 02/02/07)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84554_front.jpg"
"Actua Pool","Actua Pool (EU, 02/02/07)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84554_back.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_back.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_spine.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (EU, 01/25/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (EU, 01/25/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_back.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (AU, 02/21/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (AU, 02/21/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_back.jpg"
"Advance Wars: Days of Ruin","Famicom Wars DS Ushinawareta Hikari (Club Nintendo Reward) (JP, 10/30/13)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97056_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_back.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Days of Ruin (US, 01/21/08)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_spine.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (EU, 01/25/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (EU, 01/25/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_back.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (AU, 02/21/08)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_front.jpg"
"Advance Wars: Days of Ruin","Advance Wars: Dark Conflict (AU, 02/21/08)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_back.jpg"
"Advance Wars: Days of Ruin","Famicom Wars DS Ushinawareta Hikari (Club Nintendo Reward) (JP, 10/30/13)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97056_front.jpg"
"Advance Wars: Dual Strike","Famicom Wars DS (JP, 06/23/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_61357_front.jpg"
"Advance Wars: Dual Strike","Famicom Wars DS (JP, 06/23/05)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_61357_back.jpg"
"Advance Wars: Dual Strike","Famicom Wars DS (JP, 06/23/05)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_61357_spine.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (US, 08/22/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_60882_front.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (US, 08/22/05)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_60882_back.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (US, 08/22/05)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_60882_spine.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (EU, 09/30/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_68108_front.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (EU, 09/30/05)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_68108_back.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (AU, 03/22/06)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_82877_front.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (AU, 03/22/06)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_82877_back.jpg"
"Advance Wars: Dual Strike","Advance Wars: Dual Strike (AU, 03/22/06)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_82877_spine.jpg"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?! (US, 11/20/12)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_255248_front.jpg"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?! (Collector's Edition) (US, 11/20/12)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_270894_front.jpg"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?! (AU, 12/13/12)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_288452_front.jpg"
"AFL Mascot Manor","AFL Mascot Manor (AU, 06/26/09)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/960308_125142_front.jpg"
