"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A-Ressha de Ikou DS","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/958331_121217_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/958331_121217_back.jpg","A-Ressha de Ikou DS","http://www.gamefaqs.com/ds/958331-a-ressha-de-ikou-ds"
"A-Ressha de Ikou DS: Navigation Pack","JP","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/610264_184057_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/610264_184057_back.jpg","A-Ressha de Ikou DS: Navigation Pack","http://www.gamefaqs.com/ds/610264-a-ressha-de-ikou-ds-navigation-pack"
"Gyakuten Kenji","JP","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_101477_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_101477_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Gyakuten Kenji (Premium Edition)","JP","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_117134_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_117134_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Ace Attorney Investigations: Miles Edgeworth","US","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124374_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124374_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Ace Attorney Investigations: Miles Edgeworth","AU","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_159174_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_159174_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Ace Attorney Investigations: Miles Edgeworth","EU","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124371_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_124371_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Gyakuten Kenji (NEW Best Price! 2000)","JP","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_186166_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/2/945812_186166_back.jpg","Ace Attorney Investigations: Miles Edgeworth","http://www.gamefaqs.com/ds/945812-ace-attorney-investigations-miles-edgeworth"
"Shunkan Puzz Loop","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_72859_front.jpg","","Magnetica","http://www.gamefaqs.com/ds/931476-magnetica"
"Magnetica","US","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73891_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73891_back.jpg","Magnetica","http://www.gamefaqs.com/ds/931476-magnetica"
"Actionloop","EU","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73581_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/6/931476_73581_back.jpg","Magnetica","http://www.gamefaqs.com/ds/931476-magnetica"
"Active Health with Carol Vorderman","EU","http://image.gamespotcdn.net/gamespot/images/box/7/9/4/970794_137140_front.jpg","","Active Health with Carol Vorderman","http://www.gamefaqs.com/ds/970794-active-health-with-carol-vorderman"
"Actua Pool","AU","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84553_front.jpg","","Actua Pool","http://www.gamefaqs.com/ds/938150-actua-pool"
"Actua Pool","EU","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84554_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/5/0/938150_84554_back.jpg","Actua Pool","http://www.gamefaqs.com/ds/938150-actua-pool"
"Advance Wars: Days of Ruin","US","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97001_back.jpg","Advance Wars: Days of Ruin","http://www.gamefaqs.com/ds/943675-advance-wars-days-of-ruin"
"Advance Wars: Dark Conflict","EU","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97713_back.jpg","Advance Wars: Days of Ruin","http://www.gamefaqs.com/ds/943675-advance-wars-days-of-ruin"
"Advance Wars: Dark Conflict","AU","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_98899_back.jpg","Advance Wars: Days of Ruin","http://www.gamefaqs.com/ds/943675-advance-wars-days-of-ruin"
"Famicom Wars DS Ushinawareta Hikari (Club Nintendo Reward)","JP","http://image.gamespotcdn.net/gamespot/images/box/6/7/5/943675_97056_front.jpg","","Advance Wars: Days of Ruin","http://www.gamefaqs.com/ds/943675-advance-wars-days-of-ruin"
"Famicom Wars DS","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_61357_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_61357_back.jpg","Advance Wars: Dual Strike","http://www.gamefaqs.com/ds/924889-advance-wars-dual-strike"
"Advance Wars: Dual Strike","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_60882_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_60882_back.jpg","Advance Wars: Dual Strike","http://www.gamefaqs.com/ds/924889-advance-wars-dual-strike"
"Advance Wars: Dual Strike","EU","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_68108_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_68108_back.jpg","Advance Wars: Dual Strike","http://www.gamefaqs.com/ds/924889-advance-wars-dual-strike"
"Advance Wars: Dual Strike","AU","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_82877_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/9/924889_82877_back.jpg","Advance Wars: Dual Strike","http://www.gamefaqs.com/ds/924889-advance-wars-dual-strike"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","US","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_255248_front.jpg","","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","http://www.gamefaqs.com/ds/664761-adventure-time-hey-ice-king-whyd-you-steal-our"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","AU","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_288452_front.jpg","","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","http://www.gamefaqs.com/ds/664761-adventure-time-hey-ice-king-whyd-you-steal-our"
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?! (Collector's Edition)","US","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/664761_270894_front.jpg","","Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!","http://www.gamefaqs.com/ds/664761-adventure-time-hey-ice-king-whyd-you-steal-our"
"AFL Mascot Manor","AU","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/960308_125142_front.jpg","","AFL Mascot Manor","http://www.gamefaqs.com/ds/960308-afl-mascot-manor"
