"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Adian no Tsue","JP","http://image.gamespotcdn.net/gamespot/images/box/3/5/5/578355_19031_front.jpg","","Adian no Tsue","http://www.gamefaqs.com/famicomds/578355-adian-no-tsue"
"Ai Senshi Nicol","JP","http://image.gamespotcdn.net/gamespot/images/box/4/0/8/578408_18174_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/0/8/578408_18174_back.jpg","Ai Senshi Nicol","http://www.gamefaqs.com/famicomds/578408-ai-senshi-nicol"
"Final Commando: Akai Yousai","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/0/578590_18193_front.jpg","","Akai Yousai","http://www.gamefaqs.com/famicomds/578590-akai-yousai"
"Akumajou Dracula","JP","http://image.gamespotcdn.net/gamespot/images/box/6/9/5/921695_56384_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/9/5/921695_56384_back.jpg","Akumajou Dracula","http://www.gamefaqs.com/famicomds/921695-akumajou-dracula"
"All Night Nippon Super Mario Brothers","JP","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/925395_61136_front.jpg","","All Night Nippon Super Mario Bros.","http://www.gamefaqs.com/famicomds/925395-all-night-nippon-super-mario-bros"
"Apple Town Monogatari: Little Computer People","JP","http://image.gamespotcdn.net/gamespot/images/box/4/0/3/578403_18911_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/0/3/578403_18911_back.jpg","Apple Town Monogatari","http://www.gamefaqs.com/famicomds/578403-apple-town-monogatari"
"Armana no Kiseki","JP","http://image.gamespotcdn.net/gamespot/images/box/4/6/7/578467_18181_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/7/578467_18181_back.jpg","Armana no Kiseki","http://www.gamefaqs.com/famicomds/578467-armana-no-kiseki"
"Aspic: Majaou no Noroi","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/4/578564_19379_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/4/578564_19379_back.jpg","Aspic","http://www.gamefaqs.com/famicomds/578564-aspic"
"Backgammon","JP","http://image.gamespotcdn.net/gamespot/images/box/3/6/1/922361_84886_front.jpg","","Backgammon","http://www.gamefaqs.com/famicomds/922361-backgammon"
"Bakutoushi Patton-Kun","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/5/578635_19353_front.jpg","","Bakutoushi Patton-Kun","http://www.gamefaqs.com/famicomds/578635-bakutoushi-patton-kun"
"Baseball","JP","http://image.gamespotcdn.net/gamespot/images/box/9/7/7/920977_45087_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/7/7/920977_45087_back.jpg","Baseball","http://www.gamefaqs.com/famicomds/920977-baseball"
"Big Challenge! Dogfight Spirits","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/9/579339_18275_front.jpg","","Big Challenge! Dogfight Spirits","http://www.gamefaqs.com/famicomds/579339-big-challenge-dogfight-spirits"
"Big Challenge! Go Go Bowling","JP","http://image.gamespotcdn.net/gamespot/images/box/4/4/9/579449_19751_front.jpg","","Big Challenge! Go Go Bowling","http://www.gamefaqs.com/famicomds/579449-big-challenge-go-go-bowling"
"Big Challenge! Gun Fighter","JP","http://image.gamespotcdn.net/gamespot/images/box/4/2/3/579423_19750_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/2/3/579423_19750_back.jpg","Big Challenge! Gun Fighter","http://www.gamefaqs.com/famicomds/579423-big-challenge-gun-fighter"
"Big Challenge! Juudou Senshuken","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/8/578638_18274_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/8/578638_18274_back.jpg","Big Challenge! Judo Senshuken","http://www.gamefaqs.com/famicomds/578638-big-challenge-judo-senshuken"
"Bio-Miracle Bokutte Upa","JP","http://image.gamespotcdn.net/gamespot/images/box/5/8/1/578581_18192_front.jpg","","Bio-Miracle Bokutte Upa","http://www.gamefaqs.com/famicomds/578581-bio-miracle-bokutte-upa"
"Breeder","JP","http://image.gamespotcdn.net/gamespot/images/box/3/5/9/578359_19350_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/9/578359_19350_back.jpg","Breeder","http://www.gamefaqs.com/famicomds/578359-breeder"
"Bubble Bobble","JP","http://image.gamespotcdn.net/gamespot/images/box/3/4/8/922348_84887_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/4/8/922348_84887_back.jpg","Bubble Bobble","http://www.gamefaqs.com/famicomds/922348-bubble-bobble"
"BurgerTime (Disk Writer Only)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/579332_18685_front.jpg","","BurgerTime","http://www.gamefaqs.com/famicomds/579332-burgertime"
"Chitei Tairiku Orudoora","JP","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/578395_19035_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/578395_19035_back.jpg","Chisoko Tairiku Orudoora","http://www.gamefaqs.com/famicomds/578395-chisoko-tairiku-orudoora"
"Cleopatra no Mahou","JP","http://image.gamespotcdn.net/gamespot/images/box/4/5/1/578451_18915_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/5/1/578451_18915_back.jpg","Cleopatra no Mahou","http://www.gamefaqs.com/famicomds/578451-cleopatra-no-mahou"
"Cocona World","JP","http://image.gamespotcdn.net/gamespot/images/box/4/0/5/578405_19375_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/0/5/578405_19375_back.jpg","Cocona World","http://www.gamefaqs.com/famicomds/578405-cocona-world"
"Dandy: Zeuon No Fukkatsu","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/8/579338_18997_front.jpg","","Dandy: Zeuon No Fukkatsu","http://www.gamefaqs.com/famicomds/579338-dandy-zeuon-no-fukkatsu"
"Dead Zone","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/578332_19029_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/2/578332_19029_back.jpg","Dead Zone","http://www.gamefaqs.com/famicomds/578332-dead-zone"
"Deep Dungeon: Madou Senki","JP","http://image.gamespotcdn.net/gamespot/images/box/3/6/0/578360_18909_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/0/578360_18909_back.jpg","Deep Dungeon","http://www.gamefaqs.com/famicomds/578360-deep-dungeon"
"Deep Dungeon II: Yuushi no Monshou","JP","http://image.gamespotcdn.net/gamespot/images/box/4/2/2/578422_18913_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/2/2/578422_18913_back.jpg","Deep Dungeon: Yuushi no Monshou","http://www.gamefaqs.com/famicomds/578422-deep-dungeon-yuushi-no-monshou"
"Dirty Pair: Project Eden","JP","http://image.gamespotcdn.net/gamespot/images/box/3/9/6/578396_18611_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/9/6/578396_18611_back.jpg","Dirty Pair: Project Eden","http://www.gamefaqs.com/famicomds/578396-dirty-pair-project-eden"
"Dr. Chaos: Jigoku no Tobira","JP","http://image.gamespotcdn.net/gamespot/images/box/3/4/6/922346_84888_front.jpg","","Dr. Chaos","http://www.gamefaqs.com/famicomds/922346-dr-chaos"
"Dracula II: Noroi no Fuuin","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/0/578470_18182_front.jpg","","Dracula II: Noroi no Fuuin","http://www.gamefaqs.com/famicomds/578470-dracula-ii-noroi-no-fuuin"
"Dreamiko","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/2/578512_18184_front.jpg","","Dreamiko","http://www.gamefaqs.com/famicomds/578512-dreamiko"
"Druid: Kyoufu no Tobira","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/9/578559_18269_front.jpg","","Druid: Kyoufu no Tobira","http://www.gamefaqs.com/famicomds/578559-druid-kyoufu-no-tobira"
"Eggerland","JP","http://image.gamespotcdn.net/gamespot/images/box/3/7/2/578372_19177_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/7/2/578372_19177_back.jpg","Eggerland","http://www.gamefaqs.com/famicomds/578372-eggerland"
"Electrician","JP","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/578365_18779_front.jpg","","Electrician","http://www.gamefaqs.com/famicomds/578365-electrician"
"Esper Dream","JP","http://image.gamespotcdn.net/gamespot/images/box/3/4/4/922344_80774_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/4/4/922344_80774_back.jpg","Esper Dream","http://www.gamefaqs.com/famicomds/922344-esper-dream"
"Exciting Baseball","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/3/578513_18185_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/3/578513_18185_back.jpg","Exciting Baseball","http://www.gamefaqs.com/famicomds/578513-exciting-baseball"
"Exciting Basket","JP","http://image.gamespotcdn.net/gamespot/images/box/4/5/0/578450_18178_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/5/0/578450_18178_back.jpg","Exciting Basketball","http://www.gamefaqs.com/famicomds/578450-exciting-basketball"
"Exciting Billiard","JP","http://image.gamespotcdn.net/gamespot/images/box/4/3/6/578436_18176_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/3/6/578436_18176_back.jpg","Exciting Billiard","http://www.gamefaqs.com/famicomds/578436-exciting-billiard"
"Exciting Soccer: Konami Cup","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/578555_18189_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/578555_18189_back.jpg","Exciting Soccer","http://www.gamefaqs.com/famicomds/578555-exciting-soccer"
"Fairytale","JP","http://image.gamespotcdn.net/gamespot/images/box/4/3/3/579433_20767_front.jpg","","Fairytale","http://www.gamefaqs.com/famicomds/579433-fairytale"
"Falsion","JP","http://image.gamespotcdn.net/gamespot/images/box/4/9/6/578496_18183_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/6/578496_18183_back.jpg","Falsion","http://www.gamefaqs.com/famicomds/578496-falsion"
"Family Computer Golf Japan Course","JP","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/578378_18749_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/578378_18749_back.jpg","Famicom Golf: Japan Course","http://www.gamefaqs.com/famicomds/578378-famicom-golf-japan-course"
"Family Computer Golf U.S. Course","JP","http://image.gamespotcdn.net/gamespot/images/box/4/3/3/578433_18751_front.jpg","","Famicom Golf: US Course","http://www.gamefaqs.com/famicomds/578433-famicom-golf-us-course"
"Famicom Grand Prix F1 Race","JP","http://image.gamespotcdn.net/gamespot/images/box/4/9/8/578498_18754_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/8/578498_18754_back.jpg","Famicom Grand Prix F1 Race","http://www.gamefaqs.com/famicomds/578498-famicom-grand-prix-f1-race"
"Famicom Grand Prix II: 3D Hot Rally","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/9/578579_18759_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/9/578579_18759_back.jpg","Famicom Grand Prix II: 3D Hot Rally","http://www.gamefaqs.com/famicomds/578579-famicom-grand-prix-ii-3d-hot-rally"
"Famicom Mukashi Banashi: Shin Onigashima - Kouhen","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/3/578483_18753_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/3/578483_18753_back.jpg","Famicom Mukashi Banashi: Shin Onigashima - Kouhen","http://www.gamefaqs.com/famicomds/578483-famicom-mukashi-banashi-shin-onigashima-kouhen"
"Famicom Mukashi Banashi: Shin Onigashima - Zenpen","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/1/578481_18752_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/1/578481_18752_back.jpg","Famicom Mukashi Banashi: Shin Onigashima - Zenpen","http://www.gamefaqs.com/famicomds/578481-famicom-mukashi-banashi-shin-onigashima-zenpen"
"Famicom Mukashi Banashi: Yuuyuuki - Kouhen","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/579503_20168_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/579503_20168_back.jpg","Famicom Mukashi Banashi: Yuuyuuki - Kouhen","http://www.gamefaqs.com/famicomds/579503-famicom-mukashi-banashi-yuuyuuki-kouhen"
