"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Aa Harimanada","JP","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/569539_7472_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/569539_7472_back.jpg","Aa Harimanada","http://www.gamefaqs.com/gameboy/569539-aa-harimanada"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_76710_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_76710_back.jpg","The Addams Family","http://www.gamefaqs.com/gameboy/585598-the-addams-family"
"The Addams Family","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/8/585598_3622_front.jpg","","The Addams Family","http://www.gamefaqs.com/gameboy/585598-the-addams-family"
"The Addams Family: Pugsley's Scavenger Hunt","US","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_38515_front.jpg","","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/gameboy/585599-the-addams-family-pugsleys-scavenger-hunt"
"The Addams Family: Pugsley's Scavenger Hunt","EU","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_194064_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/585599_194064_back.jpg","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/gameboy/585599-the-addams-family-pugsleys-scavenger-hunt"
"Adventure Island","US","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_78047_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_78047_back.jpg","Adventure Island","http://www.gamefaqs.com/gameboy/585600-adventure-island"
"Takahashi Meijin no Bouken Jima II","JP","http://image.gamespotcdn.net/gamespot/images/box/6/0/0/585600_2711_front.jpg","","Adventure Island","http://www.gamefaqs.com/gameboy/585600-adventure-island"
"Takahashi Meijin no Boukenjima III","JP","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_52522_front.jpg","","Adventure Island II: Aliens in Paradise","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Adventure Island II: Aliens in Paradise","US","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/0/1/585601_76707_back.jpg","Adventure Island II: Aliens in Paradise","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Lolo no Daibouken","JP","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7317_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/7/8/562778_7317_back.jpg","Adventures of Lolo","http://www.gamefaqs.com/gameboy/562778-adventures-of-lolo"
