"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Ace Combat Advance","US","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_61171_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_61171_back.jpg","Ace Combat Advance","http://www.gamefaqs.com/gba/925192-ace-combat-advance"
"Ace Combat Advance","EU","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_75424_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/925192_75424_back.jpg","Ace Combat Advance","http://www.gamefaqs.com/gba/925192-ace-combat-advance"
"Ace Lightning","EU","http://image.gamespotcdn.net/gamespot/images/box/1/3/3/563133_23787_front.jpg","","Ace Lightning","http://www.gamefaqs.com/gba/563133-ace-lightning"
"Aero the Acro-Bat: Rascal Rival Revenge","US","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_44980_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_44980_back.jpg","Aero the Acro-Bat: Rascal Rival Revenge","http://www.gamefaqs.com/gba/561221-aero-the-acro-bat"
"Aero the Acro-Bat: Rascal Rival Revenge","EU","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_8473_front.jpg","","Aero the Acro-Bat: Rascal Rival Revenge","http://www.gamefaqs.com/gba/561221-aero-the-acro-bat"
"Acrobat Kid","JP","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/561221_23104_front.jpg","","Aero the Acro-Bat: Rascal Rival Revenge","http://www.gamefaqs.com/gba/561221-aero-the-acro-bat"
"Action Man: Robot Atak","EU","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/922043_57259_front.jpg","","Action Man: Robot Atak","http://www.gamefaqs.com/gba/922043-action-man-robot-atak"
"Activision Anthology","US","http://image.gamespotcdn.net/gamespot/images/box/8/1/9/918819_52106_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/9/918819_52106_back.jpg","Activision Anthology","http://www.gamefaqs.com/gba/918819-activision-anthology"
"Advance GTA","JP","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_20557_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_20557_back.jpg","GT Advance Championship Racing","http://www.gamefaqs.com/gba/471246-gt-advance-championship-racing"
"GT Advance Championship Racing","US","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19896_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19896_back.jpg","GT Advance Championship Racing","http://www.gamefaqs.com/gba/471246-gt-advance-championship-racing"
"GT Advance Championship Racing","EU","http://image.gamespotcdn.net/gamespot/images/box/2/4/6/471246_19895_front.jpg","","GT Advance Championship Racing","http://www.gamefaqs.com/gba/471246-gt-advance-championship-racing"
"Advance GTA 2","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_45543_front.jpg","","GT Advance 3: Pro Concept Racing","http://www.gamefaqs.com/gba/563553-gt-advance-3-pro-concept-racing"
"GT Advance 3: Pro Concept Racing","US","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_51506_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_51506_back.jpg","GT Advance 3: Pro Concept Racing","http://www.gamefaqs.com/gba/563553-gt-advance-3-pro-concept-racing"
"GT Advance 3: Pro Concept Racing","EU","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/563553_27100_front.jpg","","GT Advance 3: Pro Concept Racing","http://www.gamefaqs.com/gba/563553-gt-advance-3-pro-concept-racing"
"Advance Guardian Heroes","US","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_57013_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_57013_back.jpg","Advance Guardian Heroes","http://www.gamefaqs.com/gba/921170-advance-guardian-heroes"
"Advance Guardian Heroes","JP","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_55433_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_55433_back.jpg","Advance Guardian Heroes","http://www.gamefaqs.com/gba/921170-advance-guardian-heroes"
"Advance Guardian Heroes","EU","http://image.gamespotcdn.net/gamespot/images/box/1/7/0/921170_61268_front.jpg","","Advance Guardian Heroes","http://www.gamefaqs.com/gba/921170-advance-guardian-heroes"
"Advance Rally","JP","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7892_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7892_back.jpg","GT Advance 2: Rally Racing","http://www.gamefaqs.com/gba/561490-gt-advance-2-rally-racing"
"GT Advance 2: Rally Racing","EU","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_7239_front.jpg","","GT Advance 2: Rally Racing","http://www.gamefaqs.com/gba/561490-gt-advance-2-rally-racing"
"GT Advance 2: Rally Racing","US","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_45069_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/9/0/561490_45069_back.jpg","GT Advance 2: Rally Racing","http://www.gamefaqs.com/gba/561490-gt-advance-2-rally-racing"
"Advance Wars","US","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_44166_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_44166_back.jpg","Advance Wars","http://www.gamefaqs.com/gba/471043-advance-wars"
"Advance Wars","AU","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_209639_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_209639_back.jpg","Advance Wars","http://www.gamefaqs.com/gba/471043-advance-wars"
"Advance Wars","EU","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_20190_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/3/471043_20190_back.jpg","Advance Wars","http://www.gamefaqs.com/gba/471043-advance-wars"
"Advance Wars 2: Black Hole Rising","US","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_51653_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_51653_back.jpg","Advance Wars 2: Black Hole Rising","http://www.gamefaqs.com/gba/589391-advance-wars-2-black-hole-rising"
"Advance Wars 2: Black Hole Rising","EU","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_24374_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_24374_back.jpg","Advance Wars 2: Black Hole Rising","http://www.gamefaqs.com/gba/589391-advance-wars-2-black-hole-rising"
"Advance Wars 2: Black Hole Rising","AU","http://image.gamespotcdn.net/gamespot/images/box/3/9/1/589391_209640_front.jpg","","Advance Wars 2: Black Hole Rising","http://www.gamefaqs.com/gba/589391-advance-wars-2-black-hole-rising"
"Adventure of Tokyo Disney Sea","JP","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/0/4/565804_5526_back.jpg","Adventure of Tokyo Disney","http://www.gamefaqs.com/gba/565804-adventure-of-tokyo-disney"
"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","US","http://image.gamespotcdn.net/gamespot/images/box/0/8/1/563081_23031_front.jpg","","The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","http://www.gamefaqs.com/gba/563081-the-adventures-of-jimmy-neutron-boy-genius-vs"
"The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","EU","http://image.gamespotcdn.net/gamespot/images/box/0/8/1/563081_59963_front.jpg","","The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron","http://www.gamefaqs.com/gba/563081-the-adventures-of-jimmy-neutron-boy-genius-vs"
