"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Absolute X","EU","http://image.gamespotcdn.net/gamespot/images/box/6/7/7/918677_25937_front.jpg","","Absolute X","http://www.gamefaqs.com/gbc/918677-absolute-x"
"Action Man: Search for Base X","US","http://image.gamespotcdn.net/gamespot/images/box/1/9/9/468199_44125_front.jpg","","Action Man: Search for Base X","http://www.gamefaqs.com/gbc/468199-action-man-search-for-base-x"
"Action Man: Search for Base X","EU","http://image.gamespotcdn.net/gamespot/images/box/1/9/9/468199_18486_front.jpg","","Action Man: Search for Base X","http://www.gamefaqs.com/gbc/468199-action-man-search-for-base-x"
"AirForce Delta","US","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_50658_front.jpg","","AirForce Delta","http://www.gamefaqs.com/gbc/369693-airforce-delta"
"AirForce Delta","JP","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_18159_front.jpg","","AirForce Delta","http://www.gamefaqs.com/gbc/369693-airforce-delta"
"Deadly Skies","EU","http://image.gamespotcdn.net/gamespot/images/box/6/9/3/369693_73203_front.jpg","","AirForce Delta","http://www.gamefaqs.com/gbc/369693-airforce-delta"
"Alfred's Adventure","EU","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/579069_19110_front.jpg","","Alfred's Adventure","http://www.gamefaqs.com/gbc/579069-alfreds-adventure"
"Alice in Wonderland","US","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_43847_front.jpg","","Alice in Wonderland","http://www.gamefaqs.com/gbc/430707-alice-in-wonderland"
"Alice in Wonderland","EU","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_15874_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/430707_15874_back.jpg","Alice in Wonderland","http://www.gamefaqs.com/gbc/430707-alice-in-wonderland"
"Aliens: Thanatos Encounter","US","http://image.gamespotcdn.net/gamespot/images/box/8/3/1/577831_17071_front.jpg","","Aliens: Thanatos Encounter","http://www.gamefaqs.com/gbc/577831-aliens-thanatos-encounter"
"Aliens: Thanatos Encounter","EU","http://image.gamespotcdn.net/gamespot/images/box/8/3/1/577831_60850_front.jpg","","Aliens: Thanatos Encounter","http://www.gamefaqs.com/gbc/577831-aliens-thanatos-encounter"
"All Star Tennis 2000","EU","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_83430_front.jpg","","All Star Tennis 2000","http://www.gamefaqs.com/gbc/575873-all-star-tennis-2000"
"DSF All Star Tennis","EU","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_302731_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/575873_302731_back.jpg","All Star Tennis 2000","http://www.gamefaqs.com/gbc/575873-all-star-tennis-2000"
"All-Star Baseball 2001","US","http://image.gamespotcdn.net/gamespot/images/box/8/2/1/258821_43503_front.jpg","","All-Star Baseball 2001","http://www.gamefaqs.com/gbc/258821-all-star-baseball-2001"
