"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Aa Harimanada","JP","http://image.gamespotcdn.net/gamespot/images/box/1/4/9/570149_8521_front.jpg","","Aa Harimanada","http://www.gamefaqs.com/gamegear/570149-aa-harimanada"
"The Addams Family","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/0/586630_2965_front.jpg","","The Addams Family","http://www.gamefaqs.com/gamegear/586630-the-addams-family"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/6/3/0/586630_39112_front.jpg","","The Addams Family","http://www.gamefaqs.com/gamegear/586630-the-addams-family"
"The Addams Family","EU","http://image.gamespotcdn.net/gamespot/images/box/6/3/0/586630_197158_front.jpg","","The Addams Family","http://www.gamefaqs.com/gamegear/586630-the-addams-family"
"The Adventures of Batman & Robin","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/564874_29740_front.jpg","","The Adventures of Batman & Robin","http://www.gamefaqs.com/gamegear/564874-the-adventures-of-batman-and-robin"
"Aerial Assault","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_2230_front.jpg","","Aerial Assault","http://www.gamefaqs.com/gamegear/586631-aerial-assault"
"Aerial Assault","US","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_87260_front.jpg","","Aerial Assault","http://www.gamefaqs.com/gamegear/586631-aerial-assault"
"Aerial Assault","EU","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_87261_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_87261_back.jpg","Aerial Assault","http://www.gamefaqs.com/gamegear/586631-aerial-assault"
"Aerial Assault","SA","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_197153_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/586631_197153_back.jpg","Aerial Assault","http://www.gamefaqs.com/gamegear/586631-aerial-assault"
"Alien 3","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/3/586633_2966_front.jpg","","Alien 3","http://www.gamefaqs.com/gamegear/586633-alien-3"
"Alien 3","US","http://image.gamespotcdn.net/gamespot/images/box/6/3/3/586633_39114_front.jpg","","Alien 3","http://www.gamefaqs.com/gamegear/586633-alien-3"
