"Title","CoverRegionName","CoverType","CoverURL"
"Swingerz Golf","Swingerz Golf (US, 10/23/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/4/561774_51374_front.jpg"
"Swingerz Golf","Swingerz Golf (US, 10/23/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/4/561774_51374_back.jpg"
"Swingerz Golf","Wai Wai Golf (JP, 11/28/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/4/561774_45171_front.jpg"
"Swingerz Golf","Wai Wai Golf (JP, 11/28/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/7/4/561774_45171_back.jpg"
"Swingerz Golf","Ace Golf (EU, 12/06/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/7/4/561774_22832_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (US, 09/13/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/1/1/924311_56593_front.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (US, 09/13/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/1/1/924311_56593_back.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (US, 09/13/04)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/1/1/924311_56593_spine.jpg"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (EU, 02/11/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/1/1/924311_61278_front.jpg"
"Aggressive Inline","Aggressive Inline (US, 07/31/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/539631_52550_front.jpg"
"Aggressive Inline","Aggressive Inline (US, 07/31/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/539631_52550_back.jpg"
"Aggressive Inline","Aggressive Inline (EU, 09/06/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/539631_5767_front.jpg"
"Aggressive Inline","Aggressive Inline (EU, 09/06/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/539631_5767_back.jpg"
"Alien Hominid","Alien Hominid (US, 11/23/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/3/0/922130_60942_front.jpg"
"Alien Hominid","Alien Hominid (US, 11/23/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/1/3/0/922130_60942_back.jpg"
"Alien Hominid","Alien Hominid (US, 11/23/04)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/1/3/0/922130_60942_spine.jpg"
"All-Star Baseball 2002","All-Star Baseball 2002 (US, 11/17/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/3/7/516637_50920_front.jpg"
"All-Star Baseball 2002","All-Star Baseball 2002 (US, 11/17/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/3/7/516637_50920_back.jpg"
"All-Star Baseball 2002","All-Star Baseball 2002 (US, 11/17/01)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/3/7/516637_50920_spine.jpg"
"All-Star Baseball 2003","All-Star Baseball 2003 (US, 02/25/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/550519_51110_front.jpg"
"All-Star Baseball 2003","All-Star Baseball 2003 (US, 02/25/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/550519_51110_back.jpg"
"All-Star Baseball 2003","All-Star Baseball 2003 (JP, 08/08/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/1/9/550519_44768_front.jpg"
"All-Star Baseball 2004","All-Star Baseball 2004 (US, 02/23/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/4/6/562346_45253_front.jpg"
"All-Star Baseball 2004","All-Star Baseball 2004 (US, 02/23/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/4/6/562346_45253_back.jpg"
"Amazing Island","Kaijuu no Shima: Amazing Island (JP, 01/15/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_26698_front.jpg"
"Amazing Island","Kaijuu no Shima: Amazing Island (JP, 01/15/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_26698_back.jpg"
"Amazing Island","Amazing Island (US, 08/25/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_57965_front.jpg"
"Amazing Island","Amazing Island (US, 08/25/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_57965_back.jpg"
"Amazing Island","Amazing Island (US, 08/25/04)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_57965_spine.jpg"
"Amazing Island","Kaijuu no Shima: Amazing Island (Reprint) (JP, 11/18/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/918941_58470_front.jpg"
"American Chopper 2: Full Throttle","American Chopper 2: Full Throttle (US, 11/29/05)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/3/5/929535_69453_front.jpg"
"Animal Crossing","Doubutsu no Mori Plus (JP, 12/14/01)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_44344_front.jpg"
"Animal Crossing","Doubutsu no Mori Plus (JP, 12/14/01)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_44344_back.jpg"
"Animal Crossing","Animal Crossing (US, 09/15/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_4618_front.jpg"
"Animal Crossing","Animal Crossing (US, 09/15/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_4618_back.jpg"
"Animal Crossing","Animal Crossing (US, 09/15/02)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_4618_spine.jpg"
"Animal Crossing","Animal Crossing (KMart Exclusive /w Player's Guide) (US, 09/15/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_193883_front.jpg"
"Animal Crossing","Animal Crossing (KMart Exclusive /w Player's Guide) (US, 09/15/02)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_193883_back.jpg"
"Animal Crossing","Animal Crossing (KMart Exclusive /w Player's Guide) (US, 09/15/02)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_193883_spine.jpg"
"Animal Crossing","Animal Crossing (Player's Choice) (US, 09/25/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_83620_front.jpg"
"Animal Crossing","Animal Crossing (Player's Choice) (US, 09/25/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_83620_back.jpg"
"Animal Crossing","Animal Crossing (Player's Choice) (US, 09/25/03)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_83620_spine.jpg"
"Animal Crossing","Animal Crossing (AU, 10/17/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_87781_front.jpg"
"Animal Crossing","Animal Crossing (EU, 09/24/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_53727_front.jpg"
"Animal Crossing","Animal Crossing (EU, 09/24/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/516502_53727_back.jpg"
