"Title","CoverRegionName","CoverType","CoverURL"
"ABPA Backgammon","ABPA Backgammon (US, 1979)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/576365_34790_front.jpg"
"ABPA Backgammon","ABPA Backgammon (US, 1979)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/576365_34790_back.jpg"
"Advanced Dungeons & Dragons","Advanced Dungeons & Dragons (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/2/0/576720_34888_front.jpg"
"Advanced Dungeons & Dragons","Advanced Dungeons & Dragons (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/2/0/576720_34888_back.jpg"
"Advanced Dungeons & Dragons","Advanced Dungeons & Dragons (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/2/0/576720_34888_spine.jpg"
"Advanced Dungeons & Dragons: Treasure of Tarmin","Advanced Dungeons & Dragons: Treasure of Tarmin (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/1/8/576718_17853_front.jpg"
"Advanced Dungeons & Dragons: Treasure of Tarmin","Advanced Dungeons & Dragons: Treasure of Tarmin (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/1/8/576718_17853_back.jpg"
"Advanced Dungeons & Dragons: Treasure of Tarmin","Advanced Dungeons & Dragons: Treasure of Tarmin (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/1/8/576718_17853_spine.jpg"
"Advanced Dungeons & Dragons: Treasure of Tarmin","Advanced Dungeons & Dragons: Treasure of Tarmin (US, 1982)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/7/1/8/576718_17853_flap.jpg"
"Armor Battle","Armor Battle (US, 1979)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/562924_28845_front.jpg"
"Astrosmash","Astrosmash (US, 1981)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/2/1/576721_34889_front.jpg"
