"Title","CoverRegionName","CoverType","CoverURL"
"Baldies","Baldies (US, December 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/916014_41472_front.jpg"
"Baldies","Baldies (US, December 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/916014_41472_back.jpg"
"Battlemorph","Battlemorph (US, December 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/916015_41473_front.jpg"
"Battlemorph","Battlemorph (US, December 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/916015_41473_back.jpg"
"Blue Lightning","Blue Lightning (US, August 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/916016_47711_front.jpg"
"Blue Lightning","Blue Lightning (US, August 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/916016_47711_back.jpg"
"Brain Dead 13","Brain Dead 13 (US, March 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/916017_47710_front.jpg"
"Brain Dead 13","Brain Dead 13 (US, March 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/916017_47710_back.jpg"
"Dragon's Lair","Dragon's Lair (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/586885_39295_front.jpg"
"Dragon's Lair","Dragon's Lair (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/586885_39295_back.jpg"
"Highlander","Highlander (US, October 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/916018_41387_front.jpg"
"Highlander","Highlander (US, October 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/916018_41387_back.jpg"
"Hover Strike: Unconquered Lands","Hover Strike: Unconquered Lands (US, October 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/1/9/916019_47709_front.jpg"
"Hover Strike: Unconquered Lands","Hover Strike: Unconquered Lands (US, October 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/1/9/916019_47709_back.jpg"
"Iron Soldier 2","Iron Soldier 2 (US, December 1997)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/0/916020_41356_front.jpg"
"Iron Soldier 2","Iron Soldier 2 (US, December 1997)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/0/916020_41356_back.jpg"
"Jaguar CD","Jaguar CD Hardware (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/916378_47881_front.jpg"
"Jaguar CD","Jaguar CD Hardware (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/916378_47881_front.jpg"
"Myst","Myst (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/916021_41351_front.jpg"
"Myst","Myst (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/916021_41351_back.jpg"
"Ocean Depths","Ocean Depths (US, 07/19/04)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/3/9/930339_70799_front.jpg"
"Ocean Depths","Ocean Depths (US, 07/19/04)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/3/9/930339_70799_back.jpg"
"Primal Rage","Primal Rage (US, December 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/916022_47798_front.jpg"
"Primal Rage","Primal Rage (US, December 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/916022_47798_back.jpg"
"Space Ace","Space Ace (US, January 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/916023_47799_front.jpg"
"Space Ace","Space Ace (US, January 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/916023_47799_back.jpg"
"Vid Grid","Vid Grid (US, 1995)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/916024_47800_front.jpg"
"Vid Grid","Vid Grid (US, 1995)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/916024_47800_back.jpg"
"World Tour Racing","World Tour Racing (US, May 1997)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/6/916026_47802_front.jpg"
"World Tour Racing","World Tour Racing (US, May 1997)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/6/916026_47802_back.jpg"
