"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Baldies","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/916014_41472_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/916014_41472_back.jpg","Baldies","http://www.gamefaqs.com/jaguarcd/916014-baldies"
"Battlemorph","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/916015_41473_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/5/916015_41473_back.jpg","Battlemorph","http://www.gamefaqs.com/jaguarcd/916015-battlemorph"
"Blue Lightning","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/916016_47711_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/916016_47711_back.jpg","Blue Lightning","http://www.gamefaqs.com/jaguarcd/916016-blue-lightning"
"Brain Dead 13","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/916017_47710_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/916017_47710_back.jpg","Brain Dead 13","http://www.gamefaqs.com/jaguarcd/916017-brain-dead-13"
"Dragon's Lair","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/586885_39295_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/586885_39295_back.jpg","Dragon's Lair","http://www.gamefaqs.com/jaguarcd/586885-dragons-lair"
"Highlander","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/916018_41387_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/916018_41387_back.jpg","Highlander","http://www.gamefaqs.com/jaguarcd/916018-highlander"
"Hover Strike: Unconquered Lands","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/9/916019_47709_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/9/916019_47709_back.jpg","Hover Strike: Unconquered Lands","http://www.gamefaqs.com/jaguarcd/916019-hover-strike-unconquered-lands"
"Iron Soldier 2","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/0/916020_41356_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/0/916020_41356_back.jpg","Iron Soldier 2","http://www.gamefaqs.com/jaguarcd/916020-iron-soldier-2"
"Jaguar CD Hardware","US","http://image.gamespotcdn.net/gamespot/images/box/3/7/8/916378_47881_front.jpg","","Jaguar CD","http://www.gamefaqs.com/jaguarcd/916378-jaguar-cd"
"Myst","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/916021_41351_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/916021_41351_back.jpg","Myst","http://www.gamefaqs.com/jaguarcd/916021-myst"
"Ocean Depths","US","http://image.gamespotcdn.net/gamespot/images/box/3/3/9/930339_70799_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/9/930339_70799_back.jpg","Ocean Depths","http://www.gamefaqs.com/jaguarcd/930339-ocean-depths"
"Primal Rage","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/916022_47798_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/916022_47798_back.jpg","Primal Rage","http://www.gamefaqs.com/jaguarcd/916022-primal-rage"
"Space Ace","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/916023_47799_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/916023_47799_back.jpg","Space Ace","http://www.gamefaqs.com/jaguarcd/916023-space-ace"
"Vid Grid","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/916024_47800_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/916024_47800_back.jpg","Vid Grid","http://www.gamefaqs.com/jaguarcd/916024-vid-grid"
"World Tour Racing","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/6/916026_47802_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/6/916026_47802_back.jpg","World Tour Racing","http://www.gamefaqs.com/jaguarcd/916026-world-tour-racing"
