"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Alien vs. Predator","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_46837_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_46837_back.jpg","Alien vs. Predator","http://www.gamefaqs.com/jaguar/586871-alien-vs-predator"
"Alien vs. Predator","EU","http://image.gamespotcdn.net/gamespot/images/box/8/7/1/586871_87836_front.jpg","","Alien vs. Predator","http://www.gamefaqs.com/jaguar/586871-alien-vs-predator"
"Atari Karts","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/586872_39286_back.jpg","Atari Karts","http://www.gamefaqs.com/jaguar/586872-atari-karts"
"Attack of the Mutant Penguins","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/586873_46838_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/3/586873_46838_back.jpg","Attack of the Mutant Penguins","http://www.gamefaqs.com/jaguar/586873-attack-of-the-mutant-penguins"
"Battlesphere","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/586874_39287_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/4/586874_39287_back.jpg","Battlesphere","http://www.gamefaqs.com/jaguar/586874-battlesphere"
"Breakout 2000","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/586875_46839_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/5/586875_46839_back.jpg","Breakout 2000","http://www.gamefaqs.com/jaguar/586875-breakout-2000"
"Brutal Sports Football","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/586876_39288_back.jpg","Brutal Sports Football","http://www.gamefaqs.com/jaguar/586876-brutal-sports-football"
"Bubsy in Fractured Furry Tails","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/7/586877_39289_back.jpg","Bubsy in Fractured Furry Tails","http://www.gamefaqs.com/jaguar/586877-bubsy-in-fractured-furry-tails"
"Cannon Fodder","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/8/586878_39290_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/8/586878_39290_back.jpg","Cannon Fodder","http://www.gamefaqs.com/jaguar/586878-cannon-fodder"
"Checkered Flag","US","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/586879_39291_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/9/586879_39291_back.jpg","Checkered Flag","http://www.gamefaqs.com/jaguar/586879-checkered-flag"
"Club Drive","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/0/586880_39292_back.jpg","Club Drive","http://www.gamefaqs.com/jaguar/586880-club-drive"
"Cybermorph","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/1/586881_39293_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/1/586881_39293_back.jpg","Cybermorph","http://www.gamefaqs.com/jaguar/586881-cybermorph"
"Defender 2000","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/586882_39294_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/586882_39294_back.jpg","Defender 2000","http://www.gamefaqs.com/jaguar/586882-defender-2000"
"Doom","US","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/6/5/563365_28990_back.jpg","Doom","http://www.gamefaqs.com/jaguar/563365-doom"
"Double Dragon V","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/586883_46840_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/586883_46840_back.jpg","Double Dragon V","http://www.gamefaqs.com/jaguar/586883-double-dragon-v"
"Dragon: The Bruce Lee Story","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/4/586884_46841_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/4/586884_46841_back.jpg","Dragon: The Bruce Lee Story","http://www.gamefaqs.com/jaguar/586884-dragon-the-bruce-lee-story"
"Elansar","EU","http://image.gamespotcdn.net/gamespot/images/box/7/3/3/727733_334264_front.jpg","","Elansar","http://www.gamefaqs.com/jaguar/727733-elansar"
