"Title","CoverRegionName","CoverType","CoverURL"
"A.P.B.","A.P.B. (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/6/563366_28991_front.jpg"
"A.P.B.","A.P.B. (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/6/563366_28991_back.jpg"
"Awesome Golf","Awesome Golf (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/3/586923_39318_front.jpg"
"Awesome Golf","Awesome Golf (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/3/586923_39318_back.jpg"
"Baseball Heroes","Baseball Heroes (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/586924_39319_front.jpg"
"Baseball Heroes","Baseball Heroes (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/586924_39319_back.jpg"
"Basketbrawl","Basketbrawl (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/586925_39320_front.jpg"
"Basketbrawl","Basketbrawl (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/586925_39320_back.jpg"
"Batman Returns","Batman Returns (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/6/586926_39321_front.jpg"
"Batman Returns","Batman Returns (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/6/586926_39321_back.jpg"
"Battlewheels","Battlewheels (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/7/563367_28992_front.jpg"
"Battlezone 2000","Battlezone 2000 (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/7/586927_39322_front.jpg"
"Battlezone 2000","Battlezone 2000 (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/7/586927_39322_back.jpg"
"Bill and Ted's Excellent Adventure","Bill and Ted's Excellent Adventure (US, 01/01/89)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/8/586928_46855_front.jpg"
"Bill and Ted's Excellent Adventure","Bill and Ted's Excellent Adventure (US, 01/01/89)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/8/586928_46855_back.jpg"
"Blockout","Blockout (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/9/586929_39323_front.jpg"
"Blockout","Blockout (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/9/586929_39323_back.jpg"
"Blue Lightning","Blue Lightning (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/1/586931_39325_front.jpg"
"Blue Lightning","Blue Lightning (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/3/1/586931_39325_back.jpg"
"Bubble Trouble","Bubble Trouble (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/6/576836_34953_front.jpg"
"California Games","California Games (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/3/586933_49844_front.jpg"
"California Games","California Games (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/3/3/586933_49844_back.jpg"
"Championship Rally","Championship Rally (US, 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/5/0/581050_36118_front.jpg"
"Checkered Flag","Checkered Flag (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/4/586934_39327_front.jpg"
"Chip's Challenge","Chip's Challenge (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/5/586935_39328_front.jpg"
"Chip's Challenge","Chip's Challenge (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/3/5/586935_39328_back.jpg"
"Crystal Mines II","Crystal Mines II (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/6/586936_39329_front.jpg"
"Crystal Mines II","Crystal Mines II (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/3/6/586936_39329_back.jpg"
"CyberVirus","CyberVirus (US, 02/05/02)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/5/8/918758_48986_front.jpg"
"Desert Strike: Return to the Gulf","Desert Strike: Return to the Gulf (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/3/9/586939_39332_front.jpg"
"Desert Strike: Return to the Gulf","Desert Strike: Return to the Gulf (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/3/9/586939_39332_back.jpg"
"Dinolympics","Dinolympics (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/0/586940_39333_front.jpg"
"Dinolympics","Dinolympics (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/0/586940_39333_back.jpg"
"Dirty Larry: Renegade Cop","Dirty Larry: Renegade Cop (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/586941_39334_front.jpg"
"Dirty Larry: Renegade Cop","Dirty Larry: Renegade Cop (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/1/586941_39334_back.jpg"
"Double Dragon","Double Dragon (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/586942_39335_front.jpg"
"Double Dragon","Double Dragon (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/2/586942_39335_back.jpg"
"Dracula: The Undead","Dracula: The Undead (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/586943_39336_front.jpg"
"Dracula: The Undead","Dracula: The Undead (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/3/586943_39336_back.jpg"
"Electrocop","Electrocop (US, 1989)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/4/586944_39337_front.jpg"
"Electrocop","Electrocop (US, 1989)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/4/586944_39337_back.jpg"
"European Soccer Challenge","European Soccer Challenge (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/5/586945_39338_front.jpg"
"European Soccer Challenge","European Soccer Challenge (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/5/586945_39338_back.jpg"
"Fat Bobby","Fat Bobby (US, 1997)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/7/586947_39340_front.jpg"
"Fidelity Ultimate Chess Challenge","Fidelity Ultimate Chess Challenge (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/4/8/586948_39341_front.jpg"
"Fidelity Ultimate Chess Challenge","Fidelity Ultimate Chess Challenge (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/4/8/586948_39341_back.jpg"
"Gates of Zendocon","Gates of Zendocon (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/0/586950_39343_front.jpg"
"Gates of Zendocon","Gates of Zendocon (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/0/586950_39343_back.jpg"
"Gauntlet: The Third Encounter","Gauntlet: The Third Encounter (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/1/586951_39344_front.jpg"
"Gauntlet: The Third Encounter","Gauntlet: The Third Encounter (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/1/586951_39344_back.jpg"
"Gordo 106","Gordo 106 (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/2/586952_39345_front.jpg"
"Gordo 106","Gordo 106 (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/2/586952_39345_back.jpg"
"Hard Drivin'","Hard Drivin' (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/4/586954_39347_front.jpg"
"Hard Drivin'","Hard Drivin' (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/4/586954_39347_back.jpg"
"Hockey","Hockey (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/6/586956_39349_front.jpg"
"Hydra","Hydra (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/7/586957_39350_front.jpg"
"Hydra","Hydra (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/7/586957_39350_back.jpg"
"Ishido: The Way of Stones","Ishido: The Way of Stones (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/8/586958_39351_front.jpg"
"Ishido: The Way of Stones","Ishido: The Way of Stones (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/8/586958_39351_back.jpg"
"Jimmy Connors' Tennis","Jimmy Connors' Tennis (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/5/9/586959_39352_front.jpg"
"Jimmy Connors' Tennis","Jimmy Connors' Tennis (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/5/9/586959_39352_back.jpg"
"Joust","Joust (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/586960_39353_front.jpg"
"Joust","Joust (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/586960_39353_back.jpg"
"Klax","Klax (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/1/586961_39354_front.jpg"
"Klax","Klax (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/1/586961_39354_back.jpg"
"Krazy Ace Miniature Golf","Krazy Ace Miniature Golf (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/2/586962_39355_front.jpg"
"Kung Food","Kung Food (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/3/586963_39356_front.jpg"
"Kung Food","Kung Food (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/3/586963_39356_back.jpg"
"Lemmings","Lemmings (US, 1993)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/4/586964_39357_front.jpg"
"Lemmings","Lemmings (US, 1993)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/4/586964_39357_back.jpg"
"Lexis","Lexis (US, 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/3/9/576839_34956_front.jpg"
"Lynx","Lynx II Hardware (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/916379_114578_front.jpg"
"Lynx Casino","Lynx Casino (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/5/586965_39358_front.jpg"
"Lynx Casino","Lynx Casino (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/5/586965_39358_back.jpg"
"Lynx","Lynx II Hardware (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/916379_114578_front.jpg"
"Lynx","Lynx II Hardware (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/7/9/916379_114578_front.jpg"
"Malibu Bikini Volleyball","Malibu Bikini Volleyball (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/6/586966_39359_front.jpg"
"Malibu Bikini Volleyball","Malibu Bikini Volleyball (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/6/586966_39359_back.jpg"
"Ms. Pac-Man","Ms. Pac-Man (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/7/586967_39360_front.jpg"
"Ms. Pac-Man","Ms. Pac-Man (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/7/586967_39360_back.jpg"
"NFL Football","NFL Football (US, 12/31/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/8/586968_39361_front.jpg"
"Ninja Gaiden","Ninja Gaiden (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/6/9/586969_39362_front.jpg"
"Ninja Gaiden","Ninja Gaiden (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/6/9/586969_39362_back.jpg"
"Ninja Gaiden III: The Ancient Ship of Doom","Ninja Gaiden III: The Ancient Ship of Doom (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/0/586970_39363_front.jpg"
"Ninja Gaiden III: The Ancient Ship of Doom","Ninja Gaiden III: The Ancient Ship of Doom (US, 1991)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/0/586970_39363_back.jpg"
"Pac-Land","Pac-Land (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/3/586973_39366_front.jpg"
"Paperboy","Paperboy (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/4/586974_39367_front.jpg"
"Paperboy","Paperboy (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/4/586974_39367_back.jpg"
"Pinball Jam","Pinball Jam (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/5/586975_39368_front.jpg"
"Pinball Jam","Pinball Jam (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/5/586975_39368_back.jpg"
"Pit-Fighter","Pit-Fighter (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/6/586976_39369_front.jpg"
"Pit-Fighter","Pit-Fighter (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/6/586976_39369_back.jpg"
"Ponx","Ponx (US, 1999)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/4/2/576842_34959_front.jpg"
"Power Factor","Power Factor (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/7/586977_39370_front.jpg"
"Power Factor","Power Factor (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/7/586977_39370_back.jpg"
"Qix","Qix (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/7/8/586978_39371_front.jpg"
"Qix","Qix (US, 1992)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/7/8/586978_39371_back.jpg"
"Raiden","Raiden (US, 1997)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/0/586980_39373_front.jpg"
"Rampage","Rampage (US, 1992)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/1/586981_39374_front.jpg"
"Rampart","Rampart (US, 1991)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/2/586982_39375_front.jpg"
"Remnant","Remnant (US, 2000)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/5/1/581051_36119_front.jpg"
"RoadBlasters","RoadBlasters (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/5/586985_39378_front.jpg"
"RoadBlasters","RoadBlasters (US, 1990)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/8/5/586985_39378_back.jpg"
"Robo-Squash","Robo-Squash (US, 1990)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/8/6/586986_39379_front.jpg"
