"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A-Ressha de Ikou MD","JP","http://image.gamespotcdn.net/gamespot/images/box/4/3/2/570432_8684_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/3/2/570432_8684_back.jpg","A-Ressha de Ikou MD","http://www.gamefaqs.com/genesis/570432-a-ressha-de-ikou-md"
"Aa Harimanada","JP","http://image.gamespotcdn.net/gamespot/images/box/4/5/8/570458_8694_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/5/8/570458_8694_back.jpg","Aa Harimanada","http://www.gamefaqs.com/genesis/570458-aa-harimanada"
"AAAHH!!! Real Monsters","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/586014_38798_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/586014_38798_back.jpg","AAAHH!!! Real Monsters","http://www.gamefaqs.com/genesis/586014-aaahh-real-monsters"
"AAAHH!!! Real Monsters","EU","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/586014_84141_front.jpg","","AAAHH!!! Real Monsters","http://www.gamefaqs.com/genesis/586014-aaahh-real-monsters"
"AAAHH!!! Real Monsters","AU","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/586014_195366_front.jpg","","AAAHH!!! Real Monsters","http://www.gamefaqs.com/genesis/586014-aaahh-real-monsters"
"Tiny Toon Adventures: ACME All-Stars","US","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/586542_39063_front.jpg","","Tiny Toon Adventures: ACME All-Stars","http://www.gamefaqs.com/genesis/586542-tiny-toon-adventures-acme-all-stars"
"Tiny Toon Adventures: ACME All-Stars","EU","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/586542_93741_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/586542_93741_back.jpg","Tiny Toon Adventures: ACME All-Stars","http://www.gamefaqs.com/genesis/586542-tiny-toon-adventures-acme-all-stars"
"ACME All Stars","KO","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/586542_196700_front.jpg","","Tiny Toon Adventures: ACME All-Stars","http://www.gamefaqs.com/genesis/586542-tiny-toon-adventures-acme-all-stars"
"Action 52","US","http://image.gamespotcdn.net/gamespot/images/box/5/8/7/915587_40832_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/7/915587_40832_back.jpg","Action 52","http://www.gamefaqs.com/genesis/915587-action-52"
"Addams Family Values","EU","http://image.gamespotcdn.net/gamespot/images/box/0/0/7/586007_101079_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/7/586007_101079_back.jpg","Addams Family Values","http://www.gamefaqs.com/genesis/586007-addams-family-values"
"Addams Family Values","AU","http://image.gamespotcdn.net/gamespot/images/box/0/0/7/586007_196191_front.jpg","","Addams Family Values","http://www.gamefaqs.com/genesis/586007-addams-family-values"
"Addams Family Values","US","http://image.gamespotcdn.net/gamespot/images/box/0/0/7/586007_196192_front.jpg","","Addams Family Values","http://www.gamefaqs.com/genesis/586007-addams-family-values"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/586006_38793_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/586006_38793_back.jpg","The Addams Family","http://www.gamefaqs.com/genesis/586006-the-addams-family"
"The Addams Family","EU","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/586006_145807_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/586006_145807_back.jpg","The Addams Family","http://www.gamefaqs.com/genesis/586006-the-addams-family"
"Advanced Busterhawk Gley Lancer","JP","http://image.gamespotcdn.net/gamespot/images/box/8/4/1/578841_19018_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/4/1/578841_19018_back.jpg","Gley Lancer","http://www.gamefaqs.com/genesis/578841-gley-lancer"
"Advanced Busterhawk Gleylancer","KO","http://image.gamespotcdn.net/gamespot/images/box/8/4/1/578841_196197_front.jpg","","Gley Lancer","http://www.gamefaqs.com/genesis/578841-gley-lancer"
"Advanced Daisenryaku: Deutsch Dengeki Sakusen","JP","http://image.gamespotcdn.net/gamespot/images/box/3/5/2/569352_6950_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/5/2/569352_6950_back.jpg","Advanced Daisenryaku: Deutsch Dengeki Sakusen","http://www.gamefaqs.com/genesis/569352-advanced-daisenryaku-deutsch-dengeki-sakusen"
"The Adventures of Batman & Robin","US","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_38795_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_38795_back.jpg","The Adventures of Batman & Robin","http://www.gamefaqs.com/genesis/586008-the-adventures-of-batman-and-robin"
"The Adventures of Batman & Robin","EU","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_88191_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_88191_back.jpg","The Adventures of Batman & Robin","http://www.gamefaqs.com/genesis/586008-the-adventures-of-batman-and-robin"
"The Adventures of Batman & Robin","SA","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_196087_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/8/586008_196087_back.jpg","The Adventures of Batman & Robin","http://www.gamefaqs.com/genesis/586008-the-adventures-of-batman-and-robin"
"The Adventures of Mighty Max","US","http://image.gamespotcdn.net/gamespot/images/box/0/0/9/586009_38796_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/9/586009_38796_back.jpg","The Adventures of Mighty Max","http://www.gamefaqs.com/genesis/586009-the-adventures-of-mighty-max"
"The Adventures of Mighty Max","EU","http://image.gamespotcdn.net/gamespot/images/box/0/0/9/586009_101068_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/9/586009_101068_back.jpg","The Adventures of Mighty Max","http://www.gamefaqs.com/genesis/586009-the-adventures-of-mighty-max"
"The Adventures of Rocky and Bullwinkle and Friends","US","http://image.gamespotcdn.net/gamespot/images/box/4/3/1/586431_39019_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/3/1/586431_39019_back.jpg","The Adventures of Rocky and Bullwinkle and Friends","http://www.gamefaqs.com/genesis/586431-the-adventures-of-rocky-and-bullwinkle-and-friends"
