"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Aero Fighters Assault","US","http://image.gamespotcdn.net/gamespot/images/box/5/4/9/196549_41660_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/9/196549_41660_back.jpg","Aero Fighters Assault","http://www.gamefaqs.com/n64/196549-aero-fighters-assault"
"Aero Fighters Assault","EU","http://image.gamespotcdn.net/gamespot/images/box/5/4/9/196549_79530_front.jpg","","Aero Fighters Assault","http://www.gamefaqs.com/n64/196549-aero-fighters-assault"
"Sonic Wings Assault","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/9/196549_14075_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/9/196549_14075_back.jpg","Aero Fighters Assault","http://www.gamefaqs.com/n64/196549-aero-fighters-assault"
"AeroGauge","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_14054_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_14054_back.jpg","AeroGauge","http://www.gamefaqs.com/n64/196550-aerogauge"
"AeroGauge","US","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_41661_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_41661_back.jpg","AeroGauge","http://www.gamefaqs.com/n64/196550-aerogauge"
"AeroGauge","EU","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_79531_front.jpg","","AeroGauge","http://www.gamefaqs.com/n64/196550-aerogauge"
"AeroGauge","AU","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_137479_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/0/196550_137479_back.jpg","AeroGauge","http://www.gamefaqs.com/n64/196550-aerogauge"
"AI Shougi 3","JP","http://image.gamespotcdn.net/gamespot/images/box/2/5/5/576255_15831_front.jpg","","AI Shougi 3","http://www.gamefaqs.com/n64/576255-ai-shogi-3"
"Aidyn Chronicles: The First Mage","US","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/196565_50157_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/196565_50157_back.jpg","Aidyn Chronicles: The First Mage","http://www.gamefaqs.com/n64/196565-aidyn-chronicles-the-first-mage"
"Aidyn Chronicles: The First Mage","EU","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/196565_17076_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/196565_17076_back.jpg","Aidyn Chronicles: The First Mage","http://www.gamefaqs.com/n64/196565-aidyn-chronicles-the-first-mage"
"AirBoarder 64","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/0/574480_14082_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/0/574480_14082_back.jpg","AirBoarder 64","http://www.gamefaqs.com/n64/574480-airboarder-64"
"AirBoarder 64","EU","http://image.gamespotcdn.net/gamespot/images/box/4/8/0/574480_72371_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/0/574480_72371_back.jpg","AirBoarder 64","http://www.gamefaqs.com/n64/574480-airboarder-64"
"Castlevania","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_41866_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_41866_back.jpg","Castlevania","http://www.gamefaqs.com/n64/196882-castlevania"
"Castlevania","EU","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_79587_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_79587_back.jpg","Castlevania","http://www.gamefaqs.com/n64/196882-castlevania"
"Akumajou Dracula Mokushiroku: Real Action Adventure","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_13551_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/2/196882_13551_back.jpg","Castlevania","http://www.gamefaqs.com/n64/196882-castlevania"
"Castlevania: Legacy of Darkness","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_50214_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_50214_back.jpg","Castlevania: Legacy of Darkness","http://www.gamefaqs.com/n64/196883-castlevania-legacy-of-darkness"
"Castlevania: Legacy of Darkness","EU","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_65608_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_65608_back.jpg","Castlevania: Legacy of Darkness","http://www.gamefaqs.com/n64/196883-castlevania-legacy-of-darkness"
"Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_15232_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/3/196883_15232_back.jpg","Castlevania: Legacy of Darkness","http://www.gamefaqs.com/n64/196883-castlevania-legacy-of-darkness"
"All Star Tennis '99","EU","http://image.gamespotcdn.net/gamespot/images/box/5/8/7/196587_80272_front.jpg","","All Star Tennis 99","http://www.gamefaqs.com/n64/196587-all-star-tennis-99"
"All Star Tennis 99","US","http://image.gamespotcdn.net/gamespot/images/box/5/8/7/196587_50161_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/7/196587_50161_back.jpg","All Star Tennis 99","http://www.gamefaqs.com/n64/196587-all-star-tennis-99"
"All-Star Baseball 2000","US","http://image.gamespotcdn.net/gamespot/images/box/5/9/2/196592_50163_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/2/196592_50163_back.jpg","All-Star Baseball 2000","http://www.gamefaqs.com/n64/196592-all-star-baseball-2000"
"All-Star Baseball 2000","EU","http://image.gamespotcdn.net/gamespot/images/box/5/9/2/196592_80274_front.jpg","","All-Star Baseball 2000","http://www.gamefaqs.com/n64/196592-all-star-baseball-2000"
"All-Star Baseball 2001","US","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/250563_50571_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/250563_50571_back.jpg","All-Star Baseball 2001","http://www.gamefaqs.com/n64/250563-all-star-baseball-2001"
"All-Star Baseball 99","US","http://image.gamespotcdn.net/gamespot/images/box/5/8/5/196585_41680_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/5/196585_41680_back.jpg","All-Star Baseball 99","http://www.gamefaqs.com/n64/196585-all-star-baseball-99"
"All-Star Baseball 99","EU","http://image.gamespotcdn.net/gamespot/images/box/5/8/5/196585_80273_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/5/196585_80273_back.jpg","All-Star Baseball 99","http://www.gamefaqs.com/n64/196585-all-star-baseball-99"
"Armorines: Project S.W.A.R.M.","US","http://image.gamespotcdn.net/gamespot/images/box/6/4/1/196641_50176_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/1/196641_50176_back.jpg","Armorines: Project S.W.A.R.M.","http://www.gamefaqs.com/n64/196641-armorines-project-swarm"
"Armorines: Project S.W.A.R.M.","EU","http://image.gamespotcdn.net/gamespot/images/box/6/4/1/196641_80275_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/1/196641_80275_back.jpg","Armorines: Project S.W.A.R.M.","http://www.gamefaqs.com/n64/196641-armorines-project-swarm"
"Army Men: Air Combat","US","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/196647_41715_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/196647_41715_back.jpg","Army Men: Air Combat","http://www.gamefaqs.com/n64/196647-army-men-air-combat"
"Army Men: Sarge's Heroes","US","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/196649_41716_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/196649_41716_back.jpg","Army Men: Sarge's Heroes","http://www.gamefaqs.com/n64/196649-army-men-sarges-heroes"
"Army Men: Sarge's Heroes","EU","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/196649_80276_front.jpg","","Army Men: Sarge's Heroes","http://www.gamefaqs.com/n64/196649-army-men-sarges-heroes"
"Army Men: Sarge's Heroes 2","US","http://image.gamespotcdn.net/gamespot/images/box/2/3/3/340233_43544_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/3/3/340233_43544_back.jpg","Army Men: Sarge's Heroes 2","http://www.gamefaqs.com/n64/340233-army-men-sarges-heroes-2"
"Beetle Adventure Racing","US","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_41783_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_41783_back.jpg","Beetle Adventure Racing","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"Beetle Adventure Racing","EU","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_80605_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_80605_back.jpg","Beetle Adventure Racing","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"Beetle Adventure Racing","JP","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_14170_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_14170_back.jpg","Beetle Adventure Racing","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"HSV Adventure Racing","AU","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_80606_front.jpg","","Beetle Adventure Racing","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"As Aventuras do Fusca!","SA","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_258031_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/1/196751_258031_back.jpg","Beetle Adventure Racing","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"Asteroids Hyper 64","US","http://image.gamespotcdn.net/gamespot/images/box/6/6/1/196661_41724_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/6/1/196661_41724_back.jpg","Asteroids Hyper 64","http://www.gamefaqs.com/n64/196661-asteroids-hyper-64"
"Automobili Lamborghini","US","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_41731_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_41731_back.jpg","Automobili Lamborghini","http://www.gamefaqs.com/n64/196671-automobili-lamborghini"
"Automobili Lamborghini","EU","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_80277_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_80277_back.jpg","Automobili Lamborghini","http://www.gamefaqs.com/n64/196671-automobili-lamborghini"
"Super Speed Race 64","JP","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_86286_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/7/1/196671_86286_back.jpg","Automobili Lamborghini","http://www.gamefaqs.com/n64/196671-automobili-lamborghini"
"Baku Bomberman","JP","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_13830_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_13830_back.jpg","Bomberman 64","http://www.gamefaqs.com/n64/196799-bomberman-64"
"Bomberman 64","EU","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_80609_front.jpg","","Bomberman 64","http://www.gamefaqs.com/n64/196799-bomberman-64"
"Bomberman 64","US","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_41811_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_41811_back.jpg","Bomberman 64","http://www.gamefaqs.com/n64/196799-bomberman-64"
"Bomberman 64","AU","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/196799_212388_front.jpg","","Bomberman 64","http://www.gamefaqs.com/n64/196799-bomberman-64"
"Bomberman 64","JP","http://image.gamespotcdn.net/gamespot/images/box/8/6/3/924863_59633_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/6/3/924863_59633_back.jpg","Bomberman 64 (Japan)","http://www.gamefaqs.com/n64/924863-bomberman-64-japan"
"Baku Bomberman 2","JP","http://image.gamespotcdn.net/gamespot/images/box/7/9/3/257793_15619_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/3/257793_15619_back.jpg","Bomberman 64: The Second Attack!","http://www.gamefaqs.com/n64/257793-bomberman-64-the-second-attack"
"Bomberman 64: The Second Attack!","US","http://image.gamespotcdn.net/gamespot/images/box/7/9/3/257793_43452_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/3/257793_43452_back.jpg","Bomberman 64: The Second Attack!","http://www.gamefaqs.com/n64/257793-bomberman-64-the-second-attack"
"Bakuretsu Muteki Bangaioh","JP","http://image.gamespotcdn.net/gamespot/images/box/6/8/4/196684_15556_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/8/4/196684_15556_back.jpg","Bakuretsu Muteki Bangaioh","http://www.gamefaqs.com/n64/196684-bakuretsu-muteki-bangai-o"
"Bakushou Jinsei 64: Mezase! Resort Ou","JP","http://image.gamespotcdn.net/gamespot/images/box/2/5/6/576256_15574_front.jpg","","Bakushou Jinsei 64: Mezase! Resort Ou","http://www.gamefaqs.com/n64/576256-bakushou-jinsei-64-mezase-resort-ou"
"Banjo-Kazooie","US","http://image.gamespotcdn.net/gamespot/images/box/6/9/4/196694_41748_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/9/4/196694_41748_back.jpg","Banjo-Kazooie","http://www.gamefaqs.com/n64/196694-banjo-kazooie"
