"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A-Ressha de Ikou","JP","http://image.gamespotcdn.net/gamespot/images/box/5/8/4/570584_9591_front.jpg","","A-Ressha de Ikou","http://www.gamefaqs.com/nes/570584-a-ressha-de-ikou"
"Aa Yakyuu Jinsei Icchokusen","JP","http://image.gamespotcdn.net/gamespot/images/box/6/9/9/570699_9621_front.jpg","","Aa Yakyuu Jinsei Icchokusen","http://www.gamefaqs.com/nes/570699-aa-yakyuu-jinsei-icchokusen"
"Abadox","JP","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_3030_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_3030_back.jpg","Abadox: The Deadly Inner War","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Abadox: The Deadly Inner War","US","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_49848_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_49848_back.jpg","Abadox: The Deadly Inner War","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Abarenbou Tengu","JP","http://image.gamespotcdn.net/gamespot/images/box/7/9/6/587796_77863_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/6/587796_77863_back.jpg","Zombie Nation","http://www.gamefaqs.com/nes/587796-zombie-nation"
"Zombie Nation","US","http://image.gamespotcdn.net/gamespot/images/box/7/9/6/587796_47030_front.jpg","","Zombie Nation","http://www.gamefaqs.com/nes/587796-zombie-nation"
"Ultimate Air Combat","US","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_39851_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_39851_back.jpg","Ultimate Air Combat","http://www.gamefaqs.com/nes/587742-ultimate-air-combat"
"Ultimate Air Combat","EU","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_256354_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_256354_back.jpg","Ultimate Air Combat","http://www.gamefaqs.com/nes/587742-ultimate-air-combat"
"Aces: Iron Eagle III","JP","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_80460_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/4/2/587742_80460_back.jpg","Ultimate Air Combat","http://www.gamefaqs.com/nes/587742-ultimate-air-combat"
"Action 52","US","http://image.gamespotcdn.net/gamespot/images/box/0/6/4/587064_49849_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/4/587064_49849_back.jpg","Action 52","http://www.gamefaqs.com/nes/587064-action-52"
"Final Mission","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_62457_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_62457_back.jpg","S.C.A.T.: Special Cybernetic Attack Team","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"S.C.A.T.: Special Cybernetic Attack Team","US","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_2567_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_2567_back.jpg","S.C.A.T.: Special Cybernetic Attack Team","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"Action in New York","EU","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_60224_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/5/587595_60224_back.jpg","S.C.A.T.: Special Cybernetic Attack Team","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_49850_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_49850_back.jpg","The Addams Family","http://www.gamefaqs.com/nes/587065-the-addams-family"
"The Addams Family","EU","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_59119_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_59119_back.jpg","The Addams Family","http://www.gamefaqs.com/nes/587065-the-addams-family"
"The Addams Family: Pugsley's Scavenger Hunt","EU","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_101464_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_101464_back.jpg","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/nes/587066-the-addams-family-pugsleys-scavenger-hunt"
"The Addams Family: Pugsley's Scavenger Hunt","US","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_49851_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_49851_back.jpg","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/nes/587066-the-addams-family-pugsleys-scavenger-hunt"
"Advanced Dungeons & Dragons: Dragons of Flame","JP","http://image.gamespotcdn.net/gamespot/images/box/6/4/3/570643_9593_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/3/570643_9593_back.jpg","Advanced Dungeons & Dragons: Dragons of Flame","http://www.gamefaqs.com/nes/570643-advanced-dungeons-and-dragons-dragons-of-flame"
"Advanced Dungeons & Dragons: DragonStrike","US","http://image.gamespotcdn.net/gamespot/images/box/4/0/7/563407_29014_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/0/7/563407_29014_back.jpg","Advanced Dungeons & Dragons: DragonStrike","http://www.gamefaqs.com/nes/563407-advanced-dungeons-and-dragons-dragonstrike"
"Advanced Dungeons & Dragons: Heroes of the Lance","US","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_52696_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_52696_back.jpg","Advanced Dungeons & Dragons: Heroes of the Lance","http://www.gamefaqs.com/nes/587335-advanced-dungeons-and-dragons-heroes-of-the-lance"
"Advanced Dungeons & Dragons: Heroes of the Lance","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_3204_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_3204_back.jpg","Advanced Dungeons & Dragons: Heroes of the Lance","http://www.gamefaqs.com/nes/587335-advanced-dungeons-and-dragons-heroes-of-the-lance"
"Advanced Dungeons & Dragons: Hillsfar","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/587337_3205_front.jpg","","Advanced Dungeons & Dragons: Hillsfar","http://www.gamefaqs.com/nes/587337-advanced-dungeons-and-dragons-hillsfar"
"Advanced Dungeons & Dragons: Hillsfar","US","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/587337_57032_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/587337_57032_back.jpg","Advanced Dungeons & Dragons: Hillsfar","http://www.gamefaqs.com/nes/587337-advanced-dungeons-and-dragons-hillsfar"
"Advanced Dungeons & Dragons: Pool of Radiance","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_3207_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_3207_back.jpg","Advanced Dungeons & Dragons: Pool of Radiance","http://www.gamefaqs.com/nes/587518-advanced-dungeons-and-dragons-pool-of-radiance"
"Advanced Dungeons & Dragons: Pool of Radiance","US","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_57033_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_57033_back.jpg","Advanced Dungeons & Dragons: Pool of Radiance","http://www.gamefaqs.com/nes/587518-advanced-dungeons-and-dragons-pool-of-radiance"
"Takahashi Meijin no Bouken Jima","JP","http://image.gamespotcdn.net/gamespot/images/box/0/6/7/587067_39441_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/7/587067_39441_back.jpg","Adventure Island","http://www.gamefaqs.com/nes/587067-adventure-island"
