"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Bakumatsu Roman Tokubetsu Ben: Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana","JP","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_16783_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_16783_back.jpg","The Last Blade","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade: Beyond the Destiny","EU","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_121097_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_121097_back.jpg","The Last Blade","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Bakumatsu Roman (Best Collection)","JP","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_27792_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/5/7/197757_27792_back.jpg","The Last Blade","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Baseball Stars","JP","http://image.gamespotcdn.net/gamespot/images/box/5/2/5/916525_96767_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/2/5/916525_96767_back.jpg","Baseball Stars","http://www.gamefaqs.com/ngpc/916525-baseball-stars"
"Baseball Stars","EU","http://image.gamespotcdn.net/gamespot/images/box/5/2/5/916525_293878_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/2/5/916525_293878_back.jpg","Baseball Stars","http://www.gamefaqs.com/ngpc/916525-baseball-stars"
"Baseball Stars Color","JP","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_96772_front.jpg","","Baseball Stars Color","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
"Baseball Stars Color","US","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_41753_front.jpg","","Baseball Stars Color","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
"Baseball Stars Color","EU","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_120879_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/0/3/196703_120879_back.jpg","Baseball Stars Color","http://www.gamefaqs.com/ngpc/196703-baseball-stars-color"
"Beast Busters: Yami no Seitai Heiki","JP","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_89768_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_89768_back.jpg","Dark Arms","http://www.gamefaqs.com/ngpc/197041-dark-arms"
"Dark Arms","EU","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_120882_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_120882_back.jpg","Dark Arms","http://www.gamefaqs.com/ngpc/197041-dark-arms"
"Dark Arms","US","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_15325_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/1/197041_15325_back.jpg","Dark Arms","http://www.gamefaqs.com/ngpc/197041-dark-arms"
"Big Bang Pro Wrestling","JP","http://image.gamespotcdn.net/gamespot/images/box/5/8/2/916582_18244_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/2/916582_18244_back.jpg","Big Bang Pro Wrestling","http://www.gamefaqs.com/ngpc/916582-big-bang-pro-wrestling"
"Big Tournament Golf","JP","http://image.gamespotcdn.net/gamespot/images/box/1/2/6/198126_96784_front.jpg","","Neo Turf Masters","http://www.gamefaqs.com/ngpc/198126-neo-turf-masters"
"Neo Turf Masters","US","http://image.gamespotcdn.net/gamespot/images/box/1/2/6/198126_42607_front.jpg","","Neo Turf Masters","http://www.gamefaqs.com/ngpc/198126-neo-turf-masters"
"Neo Turf Masters","EU","http://image.gamespotcdn.net/gamespot/images/box/1/2/6/198126_121084_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/2/6/198126_121084_back.jpg","Neo Turf Masters","http://www.gamefaqs.com/ngpc/198126-neo-turf-masters"
"Bikkuriman 2000 Viva! Pocket Festival","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/8/916548_16629_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/8/916548_16629_back.jpg","Bikkuriman 2000 Viva! Pocket Festival","http://www.gamefaqs.com/ngpc/916548-bikkuriman-2000-viva-pocket-festival"
"Bio Motor Unitron","JP","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_86682_front.jpg","","Bio Motor Unitron","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
"Bio Motor Unitron","US","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_41790_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_41790_back.jpg","Bio Motor Unitron","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
"Bio Motor Unitron","EU","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_293879_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/6/1/196761_293879_back.jpg","Bio Motor Unitron","http://www.gamefaqs.com/ngpc/196761-bio-motor-unitron"
"Kikou Seiki Unitron","JP","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/916539_17880_front.jpg","","Bio-Motor Unitron 2","http://www.gamefaqs.com/ngpc/916539-bio-motor-unitron-2"
"Puzzle Bobble Mini","JP","http://image.gamespotcdn.net/gamespot/images/box/8/4/9/196849_56394_front.jpg","","Bust a Move Pocket","http://www.gamefaqs.com/ngpc/196849-bust-a-move-pocket"
"Puzzle Bobble Mini","EU","http://image.gamespotcdn.net/gamespot/images/box/8/4/9/196849_88240_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/4/9/196849_88240_back.jpg","Bust a Move Pocket","http://www.gamefaqs.com/ngpc/196849-bust-a-move-pocket"
"Bust a Move Pocket","US","http://image.gamespotcdn.net/gamespot/images/box/8/4/9/196849_41843_front.jpg","","Bust a Move Pocket","http://www.gamefaqs.com/ngpc/196849-bust-a-move-pocket"
"Cool Boarders Pocket","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/916544_17175_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/916544_17175_back.jpg","Cool Boarders Pocket","http://www.gamefaqs.com/ngpc/916544-cool-boarders-pocket"
"Cool Boarders Pocket","EU","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/916544_120880_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/4/916544_120880_back.jpg","Cool Boarders Pocket","http://www.gamefaqs.com/ngpc/916544-cool-boarders-pocket"
"Cool Cool Jam","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/5/916575_18240_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/5/916575_18240_back.jpg","Cool Cool Jam","http://www.gamefaqs.com/ngpc/916575-cool-cool-jam"
"Cotton: Fantastic Night Dreams","JP","http://image.gamespotcdn.net/gamespot/images/box/0/4/0/258040_17528_front.jpg","","Cotton: Fantastic Night Dreams","http://www.gamefaqs.com/ngpc/258040-cotton-fantastic-night-dreams"
"Cotton: Fantastic Night Dreams","EU","http://image.gamespotcdn.net/gamespot/images/box/0/4/0/258040_121075_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/4/0/258040_121075_back.jpg","Cotton: Fantastic Night Dreams","http://www.gamefaqs.com/ngpc/258040-cotton-fantastic-night-dreams"
"Crush Roller","JP","http://image.gamespotcdn.net/gamespot/images/box/0/1/1/197011_86683_front.jpg","","Crush Roller","http://www.gamefaqs.com/ngpc/197011-crush-roller"
"Crush Roller","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/1/197011_41943_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/1/197011_41943_back.jpg","Crush Roller","http://www.gamefaqs.com/ngpc/197011-crush-roller"
"Crush Roller","EU","http://image.gamespotcdn.net/gamespot/images/box/0/1/1/197011_120881_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/1/197011_120881_back.jpg","Crush Roller","http://www.gamefaqs.com/ngpc/197011-crush-roller"
"Pachi-Slot Aruze Oukoku Pocket: Del Sol 2","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/7/916597_19740_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/9/7/916597_19740_back.jpg","Del Sol 2","http://www.gamefaqs.com/ngpc/916597-del-sol-2"
"Delta Warp","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/6/916576_19341_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/6/916576_19341_back.jpg","Delta Warp","http://www.gamefaqs.com/ngpc/916576-delta-warp"
"Densetsu no Ogre Battle Gaiden: Zenobia no Ouji","JP","http://image.gamespotcdn.net/gamespot/images/box/7/7/3/197773_16787_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/7/3/197773_16787_back.jpg","Densetsu no Ogre Battle Gaiden: Zenobia no Ouji","http://www.gamefaqs.com/ngpc/197773-densetsu-no-ogre-battle-gaiden-zenobia-no-ouji"
"Densetsu no Ogre Battle Gaiden: Zenobia no Ouji (Limited Edition w/ NGPC)","JP","http://image.gamespotcdn.net/gamespot/images/box/7/7/3/197773_16788_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/7/3/197773_16788_back.jpg","Densetsu no Ogre Battle Gaiden: Zenobia no Ouji","http://www.gamefaqs.com/ngpc/197773-densetsu-no-ogre-battle-gaiden-zenobia-no-ouji"
"Densha De Go! 2","JP","http://image.gamespotcdn.net/gamespot/images/box/7/3/0/921730_56441_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/3/0/921730_56441_back.jpg","Densha De Go! 2","http://www.gamefaqs.com/ngpc/921730-densha-de-go-2"
"Dive Alert: Barn Hen","JP","http://image.gamespotcdn.net/gamespot/images/box/1/4/1/921141_89771_front.jpg","","Dive Alert: Matt's Version","http://www.gamefaqs.com/ngpc/921141-dive-alert-matts-version"
"Dive Alert: Matt's Version","US","http://image.gamespotcdn.net/gamespot/images/box/1/4/1/921141_55320_front.jpg","","Dive Alert: Matt's Version","http://www.gamefaqs.com/ngpc/921141-dive-alert-matts-version"
"Dive Alert: Matt's Version","EU","http://image.gamespotcdn.net/gamespot/images/box/1/4/1/921141_120884_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/4/1/921141_120884_back.jpg","Dive Alert: Matt's Version","http://www.gamefaqs.com/ngpc/921141-dive-alert-matts-version"
"Dive Alert: Rebecca Hen","JP","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/915799_89770_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/915799_89770_back.jpg","Dive Alert: Becky's Version","http://www.gamefaqs.com/ngpc/915799-dive-alert-beckys-version"
"Dive Alert: Becky's Version","US","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/915799_47759_front.jpg","","Dive Alert: Becky's Version","http://www.gamefaqs.com/ngpc/915799-dive-alert-beckys-version"
"Dive Alert: Becky's Version","EU","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/915799_120883_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/9/9/915799_120883_back.jpg","Dive Alert: Becky's Version","http://www.gamefaqs.com/ngpc/915799-dive-alert-beckys-version"
"Doko Demo Mahjong","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/943599_96786_front.jpg","","Doko Demo Mahjong","http://www.gamefaqs.com/ngpc/943599-doko-demo-mahjong"
"Dynamite Slugger","JP","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/915872_16790_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/915872_16790_back.jpg","Dynamite Slugger","http://www.gamefaqs.com/ngpc/915872-dynamite-slugger"
"Dynamite Slugger","EU","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/915872_120885_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/2/915872_120885_back.jpg","Dynamite Slugger","http://www.gamefaqs.com/ngpc/915872-dynamite-slugger"
"Shinkisekai Evolution: Hateshinai Dungeon","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/916542_16780_front.jpg","","Evolution","http://www.gamefaqs.com/ngpc/916542-evolution"
"Evolution: Eternal Dungeons","EU","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/916542_98389_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/2/916542_98389_back.jpg","Evolution","http://www.gamefaqs.com/ngpc/916542-evolution"
"Faselei!","JP","http://image.gamespotcdn.net/gamespot/images/box/5/3/8/916538_16489_front.jpg","","Faselei!","http://www.gamefaqs.com/ngpc/916538-faselei"
"Faselei!","EU","http://image.gamespotcdn.net/gamespot/images/box/5/3/8/916538_121076_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/8/916538_121076_back.jpg","Faselei!","http://www.gamefaqs.com/ngpc/916538-faselei"
"Garou Densetsu: First Contact","JP","http://image.gamespotcdn.net/gamespot/images/box/2/9/6/197296_96776_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/6/197296_96776_back.jpg","Fatal Fury: First Contact","http://www.gamefaqs.com/ngpc/197296-fatal-fury-first-contact"
"Fatal Fury: First Contact","EU","http://image.gamespotcdn.net/gamespot/images/box/2/9/6/197296_120886_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/6/197296_120886_back.jpg","Fatal Fury: First Contact","http://www.gamefaqs.com/ngpc/197296-fatal-fury-first-contact"
"Garou Densetsu: First Contact (NGP Best Collection)","JP","http://image.gamespotcdn.net/gamespot/images/box/2/9/6/197296_15267_front.jpg","","Fatal Fury: First Contact","http://www.gamefaqs.com/ngpc/197296-fatal-fury-first-contact"
"Ganbare Neo Poke Kun","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/9/916559_16791_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/9/916559_16791_back.jpg","Ganbare Neo Poke Kun","http://www.gamefaqs.com/ngpc/916559-ganbare-neo-poke-kun"
"Infinity Cure","JP","http://image.gamespotcdn.net/gamespot/images/box/5/8/3/916583_19050_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/8/3/916583_19050_back.jpg","Infinity Cure","http://www.gamefaqs.com/ngpc/916583-infinity-cure"
"King of Fighters R-1","JP","http://image.gamespotcdn.net/gamespot/images/box/8/5/6/562856_96766_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/5/6/562856_96766_back.jpg","King of Fighters R-1","http://www.gamefaqs.com/ngpc/562856-king-of-fighters-r-1"
