"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"ADK World","JP","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/8/8/565688_5657_back.jpg","ADK World","http://www.gamefaqs.com/neogeocd/565688-adk-world"
"Aero Fighters 2","US","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86331_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86331_back.jpg","Aero Fighters 2","http://www.gamefaqs.com/neogeocd/922295-aero-fighters-2"
"Sonic Wings 2","JP","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86332_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/5/922295_86332_back.jpg","Aero Fighters 2","http://www.gamefaqs.com/neogeocd/922295-aero-fighters-2"
"Sonic Wings 3","JP","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86378_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86378_back.jpg","Aero Fighters 3","http://www.gamefaqs.com/neogeocd/938960-aero-fighters-3"
"Aero Fighters 3","US","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/938960_86377_front.jpg","","Aero Fighters 3","http://www.gamefaqs.com/neogeocd/938960-aero-fighters-3"
"Aggressors of Dark Kombat","US","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_65680_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_65680_back.jpg","Aggressors of Dark Kombat","http://www.gamefaqs.com/neogeocd/922297-aggressors-of-dark-kombat"
"Tsukai Gan Gan Koshinkyoku","JP","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_86341_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/9/7/922297_86341_back.jpg","Aggressors of Dark Kombat","http://www.gamefaqs.com/neogeocd/922297-aggressors-of-dark-kombat"
"Alpha Mission II","US","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57682_back.jpg","Alpha Mission II","http://www.gamefaqs.com/neogeocd/922218-alpha-mission-ii"
"ASO II: Last Guardian","JP","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/1/8/922218_57683_back.jpg","Alpha Mission II","http://www.gamefaqs.com/neogeocd/922218-alpha-mission-ii"
"Ryuuko no Ken","JP","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_50732_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_50732_back.jpg","Art of Fighting","http://www.gamefaqs.com/neogeocd/919817-art-of-fighting"
"Art of Fighting","US","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_88782_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/1/7/919817_88782_back.jpg","Art of Fighting","http://www.gamefaqs.com/neogeocd/919817-art-of-fighting"
"Ryuuko no Ken 2","JP","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86328_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86328_back.jpg","Art of Fighting 2","http://www.gamefaqs.com/neogeocd/922289-art-of-fighting-2"
"Art of Fighting 2","US","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86327_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/922289_86327_back.jpg","Art of Fighting 2","http://www.gamefaqs.com/neogeocd/922289-art-of-fighting-2"
"Art of Fighting: Ryuuko no Ken Gaiden","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_86371_back.jpg","Art of Fighting 3","http://www.gamefaqs.com/neogeocd/922309-art-of-fighting-3"
"Art of Fighting: Ryuuko no Ken Gaiden (Limited Edition)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/9/922309_306976_back.jpg","Art of Fighting 3","http://www.gamefaqs.com/neogeocd/922309-art-of-fighting-3"
"Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi","JP","http://image.gamespotcdn.net/gamespot/images/box/8/5/1/562851_13630_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/5/1/562851_13630_back.jpg","The Last Blade 2","http://www.gamefaqs.com/neogeocd/562851-the-last-blade-2"
"The Last Blade","US","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_60771_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_60771_back.jpg","The Last Blade","http://www.gamefaqs.com/neogeocd/922317-the-last-blade"
"Bakumatsu Rouman: Gekka no Kenshi","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_86367_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/7/922317_86367_back.jpg","The Last Blade","http://www.gamefaqs.com/neogeocd/922317-the-last-blade"
"Baseball Stars 2","JP","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/920018_53351_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/920018_53351_back.jpg","Baseball Stars 2","http://www.gamefaqs.com/neogeocd/920018-baseball-stars-2"
"Baseball Stars 2","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/920018_88783_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/920018_88783_back.jpg","Baseball Stars 2","http://www.gamefaqs.com/neogeocd/920018-baseball-stars-2"
"Baseball Stars Professional","JP","http://image.gamespotcdn.net/gamespot/images/box/2/1/3/922213_57674_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/1/3/922213_57674_back.jpg","Baseball Stars Professional","http://www.gamefaqs.com/neogeocd/922213-baseball-stars-professional"
"Big Tournament Golf","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/922308_86375_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/8/922308_86375_back.jpg","Neo Turf Masters","http://www.gamefaqs.com/neogeocd/922308-neo-turf-masters"
"Raguy","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/4/922324_86338_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/4/922324_86338_back.jpg","Blue's Journey","http://www.gamefaqs.com/neogeocd/922324-blues-journey"
"Breakers","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/922316_86355_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/922316_86355_back.jpg","Breakers","http://www.gamefaqs.com/neogeocd/922316-breakers"
"Burning Fight","US","http://image.gamespotcdn.net/gamespot/images/box/2/2/5/922225_57694_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/2/5/922225_57694_back.jpg","Burning Fight","http://www.gamefaqs.com/neogeocd/922225-burning-fight"
"Burning Fight","JP","http://image.gamespotcdn.net/gamespot/images/box/2/2/5/922225_57695_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/2/5/922225_57695_back.jpg","Burning Fight","http://www.gamefaqs.com/neogeocd/922225-burning-fight"
"Puzzle Bobble","JP","http://image.gamespotcdn.net/gamespot/images/box/0/3/1/587031_2422_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/3/1/587031_2422_back.jpg","Bust-A-Move","http://www.gamefaqs.com/neogeocd/587031-bust-a-move"
"Chotetsu Brikin'ger","JP","http://image.gamespotcdn.net/gamespot/images/box/7/0/5/565705_5674_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/0/5/565705_5674_back.jpg","Ironclad","http://www.gamefaqs.com/neogeocd/565705-ironclad"
"Choujin Gakuen Gowcaizer","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/922305_86362_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/922305_86362_back.jpg","Voltage Fighter Gowcaizer","http://www.gamefaqs.com/neogeocd/922305-voltage-fighter-gowcaizer"
"Crossed Swords","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/922325_86336_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/922325_86336_back.jpg","Crossed Swords","http://www.gamefaqs.com/neogeocd/922325-crossed-swords"
"Crossed Swords II","JP","http://image.gamespotcdn.net/gamespot/images/box/8/5/5/578855_18247_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/5/5/578855_18247_back.jpg","Crossed Swords II","http://www.gamefaqs.com/neogeocd/578855-crossed-swords-ii"
"Cyber-Lip","JP","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/922221_57688_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/2/1/922221_57688_back.jpg","Cyber-Lip","http://www.gamefaqs.com/neogeocd/922221-cyber-lip"
"Double Dragon","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/922301_86356_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/922301_86356_back.jpg","Double Dragon","http://www.gamefaqs.com/neogeocd/922301-double-dragon"
"Double Dragon","US","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/922301_71046_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/922301_71046_back.jpg","Double Dragon","http://www.gamefaqs.com/neogeocd/922301-double-dragon"
