"Title","CoverRegionName","CoverType","CoverURL"
"Aero Fighters 2","Sonic Wings 2 (JP, 08/26/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_5634_front.jpg"
"Aero Fighters 2","Sonic Wings 2 (JP, 08/26/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_5634_back.jpg"
"Aero Fighters 2","Sonic Wings 2 (JP, 08/26/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_5634_spine.jpg"
"Aero Fighters 2","Aero Fighters 2 (US, 1994)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_88789_front.jpg"
"Aero Fighters 2","Aero Fighters 2 (US, 1994)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_88789_back.jpg"
"Aero Fighters 2","Aero Fighters 2 (US, 1994)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/6/6/565666_88789_spine.jpg"
"Aero Fighters 3","Sonic Wings 3 (JP, 11/17/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/2/8/587028_86391_front.jpg"
"Aero Fighters 3","Sonic Wings 3 (JP, 11/17/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/2/8/587028_86391_back.jpg"
"Aero Fighters 3","Sonic Wings 3 (JP, 11/17/95)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/2/8/587028_86391_spine.jpg"
"Aggressors of Dark Kombat","Tsuukai GanGan Koushinkyoku (JP, 08/26/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_5635_front.jpg"
"Aggressors of Dark Kombat","Tsuukai GanGan Koushinkyoku (JP, 08/26/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_5635_back.jpg"
"Aggressors of Dark Kombat","Tsuukai GanGan Koushinkyoku (JP, 08/26/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_5635_spine.jpg"
"Aggressors of Dark Kombat","Aggressors of Dark Kombat (US, 08/24/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_88091_front.jpg"
"Aggressors of Dark Kombat","Aggressors of Dark Kombat (US, 08/24/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_88091_back.jpg"
"Aggressors of Dark Kombat","Aggressors of Dark Kombat (US, 08/24/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/6/8/565668_88091_spine.jpg"
"Alpha Mission II","Alpha Mission II (US, 07/01/91)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_57663_front.jpg"
"Alpha Mission II","Alpha Mission II (US, 07/01/91)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_57663_back.jpg"
"Alpha Mission II","Alpha Mission II (US, 07/01/91)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_57663_spine.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 07/01/91)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_21385_front.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 07/01/91)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_21385_back.jpg"
"Alpha Mission II","ASO II: Last Guardian (JP, 07/01/91)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/582030_21385_spine.jpg"
"Andro Dunos","Andro Dunos (US, 07/17/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_86520_front.jpg"
"Andro Dunos","Andro Dunos (US, 07/17/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_86520_back.jpg"
"Andro Dunos","Andro Dunos (US, 07/17/92)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_86520_spine.jpg"
"Andro Dunos","Andro Dunos (JP, 07/17/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_2414_front.jpg"
"Andro Dunos","Andro Dunos (JP, 07/17/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_2414_back.jpg"
"Andro Dunos","Andro Dunos (JP, 07/17/92)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/0/3/0/587030_2414_spine.jpg"
"Art of Fighting","Art of Fighting (US, 12/11/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_5615_front.jpg"
"Art of Fighting","Art of Fighting (US, 12/11/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_5615_back.jpg"
"Art of Fighting","Art of Fighting (US, 12/11/92)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_5615_spine.jpg"
"Art of Fighting","Ryuuko no Ken (JP, 12/11/92)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_52892_front.jpg"
"Art of Fighting","Ryuuko no Ken (JP, 12/11/92)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_52892_back.jpg"
"Art of Fighting","Ryuuko no Ken (JP, 12/11/92)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/565647_52892_spine.jpg"
"Art of Fighting 2","Art of Fighting 2 (US, 03/11/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_28793_front.jpg"
"Art of Fighting 2","Art of Fighting 2 (US, 03/11/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_28793_back.jpg"
"Art of Fighting 2","Art of Fighting 2 (US, 03/11/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_28793_spine.jpg"
"Art of Fighting 2","Ryuuko no Ken 2 (JP, 03/11/94)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_5625_front.jpg"
"Art of Fighting 2","Ryuuko no Ken 2 (JP, 03/11/94)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_5625_back.jpg"
"Art of Fighting 2","Ryuuko no Ken 2 (JP, 03/11/94)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/1/0/562710_5625_spine.jpg"
"Art of Fighting 3","Art of Fighting 3: The Path of the Warrior (US, 04/26/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/8/563368_86477_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 04/26/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/8/563368_2416_front.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 04/26/96)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/6/8/563368_2416_back.jpg"
"Art of Fighting 3","Art of Fighting: Ryuuko no Ken Gaiden (JP, 04/26/96)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/6/8/563368_2416_spine.jpg"
"Art of Fighting 3","Art of Fighting 3: The Path of the Warrior (US, 04/26/96)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/6/8/563368_86477_front.jpg"
