"Title","CoverRegionName","CoverType","CoverURL"
"F-Zero X: Expansion Kit","F-Zero X: Expansion Kit (JP, 04/21/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/6/9/916569_17917_front.jpg"
"F-Zero X: Expansion Kit","F-Zero X: Expansion Kit (JP, 04/21/00)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/6/9/916569_17917_back.jpg"
"Kyojin no Doshin 1","Kyojin no Doshin 1 (JP, 12/11/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/916553_17913_front.jpg"
"Kyojin no Doshin: Kaihou Sensen Chibikko Chikko Daishuugou","Kyojin no Doshin: Kaihou Sensen Chibikko Chikko Daishuugou (JP, 05/17/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/1/4/7/930147_70437_front.jpg"
"Mario Artist: Communication Kit","Mario Artist: Communication Kit (JP, 06/29/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/6/1/916661_22231_front.jpg"
"Mario Artist: Paint Studio","Mario Artist: Paint Studio (JP, 12/11/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/6/916556_17916_front.jpg"
"Mario Artist: Paint Studio","Mario Artist: Paint Studio (w/Mouse) (JP, 12/11/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/6/916556_276821_front.jpg"
"Mario Artist: Polygon Studio","Mario Artist: Polygon Studio (JP, 08/29/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/8/1/916581_19197_front.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (JP, 02/23/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_17915_front.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (JP, 02/23/00)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_17915_back.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (JP, 02/23/00)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_17915_spine.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (w/Capture Cassette) (JP, 02/23/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_front.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (w/Capture Cassette) (JP, 02/23/00)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_back.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (w/Capture Cassette) (JP, 02/23/00)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_spine.jpg"
"Mario Artist: Talent Studio","Mario Artist: Talent Studio (w/Capture Cassette) (JP, 02/23/00)","Box Flap","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_flap.jpg"
"Nintendo 64DD","Nintendo 64DD Hardware (JP, 12/11/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/2/916552_65770_front.jpg"
"Nintendo 64DD","Nintendo 64DD Hardware (JP, 12/11/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/2/916552_65770_front.jpg"
"Nippon Pro Golf Tour 64","Nippon Pro Golf Tour 64 (JP, 05/02/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/916599_20673_front.jpg"
"Randnet Disk","Randnet Disk (JP, 02/23/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/8/5/4/950854_108089_front.jpg"
"SimCity 64","SimCity 64 (JP, 02/23/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/5/5/4/916554_17914_front.jpg"
