"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"F-Zero X: Expansion Kit","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/9/916569_17917_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/9/916569_17917_back.jpg","F-Zero X: Expansion Kit","http://www.gamefaqs.com/n64dd/916569-f-zero-x-expansion-kit"
"Kyojin no Doshin 1","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/3/916553_17913_front.jpg","","Kyojin no Doshin 1","http://www.gamefaqs.com/n64dd/916553-kyojin-no-doshin-1"
"Kyojin no Doshin: Kaihou Sensen Chibikko Chikko Daishuugou","JP","http://image.gamespotcdn.net/gamespot/images/box/1/4/7/930147_70437_front.jpg","","Kyojin no Doshin: Kaihou Sensen Chibikko Chikko Daishuugou","http://www.gamefaqs.com/n64dd/930147-kyojin-no-doshin-kaihou-sensen-chibikko-chikko"
"Mario Artist: Communication Kit","JP","http://image.gamespotcdn.net/gamespot/images/box/6/6/1/916661_22231_front.jpg","","Mario Artist: Communication Kit","http://www.gamefaqs.com/n64dd/916661-mario-artist-communication-kit"
"Mario Artist: Paint Studio","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/6/916556_17916_front.jpg","","Mario Artist: Paint Studio","http://www.gamefaqs.com/n64dd/916556-mario-artist-paint-studio"
"Mario Artist: Paint Studio (w/Mouse)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/6/916556_276821_front.jpg","","Mario Artist: Paint Studio","http://www.gamefaqs.com/n64dd/916556-mario-artist-paint-studio"
"Mario Artist: Polygon Studio","JP","http://image.gamespotcdn.net/gamespot/images/box/5/8/1/916581_19197_front.jpg","","Mario Artist: Polygon Studio","http://www.gamefaqs.com/n64dd/916581-mario-artist-polygon-studio"
"Mario Artist: Talent Studio","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_17915_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_17915_back.jpg","Mario Artist: Talent Studio","http://www.gamefaqs.com/n64dd/916555-mario-artist-talent-studio"
"Mario Artist: Talent Studio (w/Capture Cassette)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/5/5/916555_89369_back.jpg","Mario Artist: Talent Studio","http://www.gamefaqs.com/n64dd/916555-mario-artist-talent-studio"
"Nintendo 64DD Hardware","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/2/916552_65770_front.jpg","","Nintendo 64DD","http://www.gamefaqs.com/n64dd/916552-nintendo-64dd"
"Nippon Pro Golf Tour 64","JP","http://image.gamespotcdn.net/gamespot/images/box/5/9/9/916599_20673_front.jpg","","Nippon Pro Golf Tour 64","http://www.gamefaqs.com/n64dd/916599-nippon-pro-golf-tour-64"
"Randnet Disk","JP","http://image.gamespotcdn.net/gamespot/images/box/8/5/4/950854_108089_front.jpg","","Randnet Disk","http://www.gamefaqs.com/n64dd/950854-randnet-disk"
"SimCity 64","JP","http://image.gamespotcdn.net/gamespot/images/box/5/5/4/916554_17914_front.jpg","","SimCity 64","http://www.gamefaqs.com/n64dd/916554-simcity-64"
