"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Adventure Island","JP","http://image.gamespotcdn.net/gamespot/images/box/6/5/7/578657_58275_front.jpg","","Dragon's Curse","http://www.gamefaqs.com/tg16/578657-dragons-curse"
"Dragon's Curse","US","http://image.gamespotcdn.net/gamespot/images/box/6/5/7/578657_88028_front.jpg","","Dragon's Curse","http://www.gamefaqs.com/tg16/578657-dragons-curse"
"Aero Blasters","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/588885_4299_front.jpg","","Aero Blasters","http://www.gamefaqs.com/tg16/588885-aero-blasters"
"Aero Blasters","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/5/588885_57375_front.jpg","","Aero Blasters","http://www.gamefaqs.com/tg16/588885-aero-blasters"
"After Burner II","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/6/588886_4144_front.jpg","","After Burner II","http://www.gamefaqs.com/tg16/588886-after-burner-ii"
"PC Denjin: Punkic Cyborgs","JP","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_4300_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_4300_back.jpg","Air Zonk","http://www.gamefaqs.com/tg16/588888-air-zonk"
"Air Zonk","US","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/8/8/588888_57376_back.jpg","Air Zonk","http://www.gamefaqs.com/tg16/588888-air-zonk"
"Aldynes: The Mission Code for Rage Crisis","JP","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/6/7/924867_59637_back.jpg","Aldynes","http://www.gamefaqs.com/tg16/924867-aldynes"
"Alien Crush","JP","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_4860_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_4860_back.jpg","Alien Crush","http://www.gamefaqs.com/tg16/588890-alien-crush"
"Alien Crush","US","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_57378_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/9/0/588890_57378_back.jpg","Alien Crush","http://www.gamefaqs.com/tg16/588890-alien-crush"
"Andre Panza Kick Boxing","US","http://image.gamespotcdn.net/gamespot/images/box/8/9/2/588892_57380_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/9/2/588892_57380_back.jpg","Andre Panza Kick Boxing","http://www.gamefaqs.com/tg16/588892-andre-panza-kick-boxing"
"Ankoku Densetsu","JP","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_4761_front.jpg","","Legendary Axe II","http://www.gamefaqs.com/tg16/589018-legendary-axe-ii"
"Legendary Axe II","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_40551_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/8/589018_40551_back.jpg","Legendary Axe II","http://www.gamefaqs.com/tg16/589018-legendary-axe-ii"
