"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Abunai: Koi no Sousa Shitsu","JP","http://image.gamespotcdn.net/gamespot/images/box/8/0/3/657803_246233_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/0/3/657803_246233_back.jpg","Abunai: Koi no Sousa Shitsu","http://www.gamefaqs.com/psp/657803-abunai-koi-no-sousa-shitsu"
"Abunai: Koi no Sousa Shitsu (Deluxe Edition)","JP","http://image.gamespotcdn.net/gamespot/images/box/8/0/3/657803_246235_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/0/3/657803_246235_back.jpg","Abunai: Koi no Sousa Shitsu","http://www.gamefaqs.com/psp/657803-abunai-koi-no-sousa-shitsu"
"Accel World: Ginyoku no Kakusei","AS","http://image.gamespotcdn.net/gamespot/images/box/5/4/0/660540_279497_front.jpg","","Accel World: Ginyoku no Kakusei","http://www.gamefaqs.com/psp/660540-accel-world-ginyoku-no-kakusei"
"Accel World: Ginyoku no Kakusei","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/0/660540_249904_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/0/660540_249904_back.jpg","Accel World: Ginyoku no Kakusei","http://www.gamefaqs.com/psp/660540-accel-world-ginyoku-no-kakusei"
"Accel World: Ginyoku no Kakusei (First Print Limited Edition)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/0/660540_260037_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/0/660540_260037_back.jpg","Accel World: Ginyoku no Kakusei","http://www.gamefaqs.com/psp/660540-accel-world-ginyoku-no-kakusei"
"Accel World: Kasoku no Chouten","JP","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/660539_249903_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/660539_249903_back.jpg","Accel World: Kasoku no Chouten","http://www.gamefaqs.com/psp/660539-accel-world-kasoku-no-chouten"
"Accel World: Kasoku no Chouten (First Print Limited Edition)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/660539_277217_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/9/660539_277217_back.jpg","Accel World: Kasoku no Chouten","http://www.gamefaqs.com/psp/660539-accel-world-kasoku-no-chouten"
"Ace Combat X2: Joint Assault","JP","http://image.gamespotcdn.net/gamespot/images/box/9/8/2/985982_161583_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/8/2/985982_161583_back.jpg","Ace Combat: Joint Assault","http://www.gamefaqs.com/psp/985982-ace-combat-joint-assault"
"Ace Combat X2: Joint Assault","KO","http://image.gamespotcdn.net/gamespot/images/box/9/8/2/985982_248859_front.jpg","","Ace Combat: Joint Assault","http://www.gamefaqs.com/psp/985982-ace-combat-joint-assault"
"Ace Combat: Joint Assault","US","http://image.gamespotcdn.net/gamespot/images/box/9/8/2/985982_155038_front.jpg","","Ace Combat: Joint Assault","http://www.gamefaqs.com/psp/985982-ace-combat-joint-assault"
