"Title","CoverRegionName","CoverType","CoverURL"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_front.jpg"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_back.jpg"
"A-Train","A-IV Evolution Global (EU, November 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_10989_front.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_front.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_back.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_spine.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_front.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_back.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_spine.jpg"
"A-Train","A. IV Evolution Global (SuperLite 1500 Series) (JP, 04/24/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11095_front.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (JP, 05/04/99)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16105_front.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (JP, 05/04/99)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16105_back.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (JP, 05/04/99)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16105_spine.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (ArtDink Best Choice) (JP, 06/01/00)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16106_front.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (ArtDink Best Choice) (JP, 06/01/00)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16106_back.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (ArtDink Best Choice) (JP, 06/01/00)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16106_spine.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (SuperLite 1500 Series) (JP, 07/24/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16071_front.jpg"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","A-Ressha de Ikou Z: Mezase! Tairiku Oudan (SuperLite 1500 Series) (JP, 07/24/03)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16071_back.jpg"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_front.jpg"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_back.jpg"
"A-Train","A-IV Evolution Global (EU, November 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_10989_front.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_front.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_back.jpg"
"A-Train","A-Train (Long Box) (US, 1996)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_spine.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_front.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_back.jpg"
"A-Train","A. IV Evolution Global (PlayStation the Best) (JP, 03/28/97)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_spine.jpg"
"A-Train","A. IV Evolution Global (SuperLite 1500 Series) (JP, 04/24/03)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11095_front.jpg"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_front.jpg"
"A-Train","A. IV Evolution Global (JP, 11/22/95)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_back.jpg"
"A-Train","A-IV Evolution Global (EU, November 1996)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_10989_front.jpg"
