"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A. IV Evolution Global","JP","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11116_back.jpg","A-Train","http://www.gamefaqs.com/ps/572384-a-train"
"A-IV Evolution Global","EU","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_10989_front.jpg","","A-Train","http://www.gamefaqs.com/ps/572384-a-train"
"A-Train (Long Box)","US","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_33486_back.jpg","A-Train","http://www.gamefaqs.com/ps/572384-a-train"
"A. IV Evolution Global (PlayStation the Best)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11115_back.jpg","A-Train","http://www.gamefaqs.com/ps/572384-a-train"
"A. IV Evolution Global (SuperLite 1500 Series)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/8/4/572384_11095_front.jpg","","A-Train","http://www.gamefaqs.com/ps/572384-a-train"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16105_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16105_back.jpg","A-Ressha de Ikou Z: Mezase! Tairiku Oudan","http://www.gamefaqs.com/ps/575303-a-ressha-de-ikou-z-mezase-tairiku-oudan"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan (ArtDink Best Choice)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16106_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16106_back.jpg","A-Ressha de Ikou Z: Mezase! Tairiku Oudan","http://www.gamefaqs.com/ps/575303-a-ressha-de-ikou-z-mezase-tairiku-oudan"
"A-Ressha de Ikou Z: Mezase! Tairiku Oudan (SuperLite 1500 Series)","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16071_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/3/575303_16071_back.jpg","A-Ressha de Ikou Z: Mezase! Tairiku Oudan","http://www.gamefaqs.com/ps/575303-a-ressha-de-ikou-z-mezase-tairiku-oudan"
"A. IV Evolution: A-Ressha de Ikou 4","JP","http://image.gamespotcdn.net/gamespot/images/box/6/0/3/572603_11113_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/0/3/572603_11113_back.jpg","A. IV Evolution: A-Ressha de Ikou 4","http://www.gamefaqs.com/ps/572603-a-iv-evolution-a-ressha-de-ikou-4"
"A. IV Evolution: A-Ressha de Ikou 4 (Commemorative Limited Set)","JP","http://image.gamespotcdn.net/gamespot/images/box/6/0/3/572603_11114_front.jpg","","A. IV Evolution: A-Ressha de Ikou 4","http://www.gamefaqs.com/ps/572603-a-iv-evolution-a-ressha-de-ikou-4"
"Autobahn Raser II","EU","http://image.gamespotcdn.net/gamespot/images/box/7/8/7/941787_92494_front.jpg","","A2 Racer II","http://www.gamefaqs.com/ps/941787-a2-racer-ii"
"A2 Racer III: Europa Tour","EU","http://image.gamespotcdn.net/gamespot/images/box/3/7/5/959375_123449_front.jpg","","A2 Racer III: Europa Tour","http://www.gamefaqs.com/ps/959375-a2-racer-iii-europa-tour"
