"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A-Rank Thunder Tanjouhen","JP","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/921876_56663_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/7/6/921876_56663_back.jpg","A-Rank Thunder Tanjouhen","http://www.gamefaqs.com/segacd/921876-a-rank-thunder-tanjouhen"
"A/X-101","US","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_60434_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_60434_back.jpg","A/X-101","http://www.gamefaqs.com/segacd/587924-a-x-101"
"AX-101","JP","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_3779_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/4/587924_3779_back.jpg","A/X-101","http://www.gamefaqs.com/segacd/587924-a-x-101"
"Advanced Dungeons & Dragons: Eye of the Beholder","JP","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_4922_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_4922_back.jpg","Advanced Dungeons & Dragons: Eye of the Beholder","http://www.gamefaqs.com/segacd/587946-advanced-dungeons-and-dragons-eye-of-the-beholder"
"Advanced Dungeons & Dragons: Eye of the Beholder","US","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84144_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84144_back.jpg","Advanced Dungeons & Dragons: Eye of the Beholder","http://www.gamefaqs.com/segacd/587946-advanced-dungeons-and-dragons-eye-of-the-beholder"
"Advanced Dungeons & Dragons: Eye of the Beholder","EU","http://image.gamespotcdn.net/gamespot/images/box/9/4/6/587946_84145_front.jpg","","Advanced Dungeons & Dragons: Eye of the Beholder","http://www.gamefaqs.com/segacd/587946-advanced-dungeons-and-dragons-eye-of-the-beholder"
"The Adventures of Batman & Robin","US","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/920016_53349_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/6/920016_53349_back.jpg","The Adventures of Batman & Robin","http://www.gamefaqs.com/segacd/920016-the-adventures-of-batman-and-robin"
"The Adventures of Willy Beamish","US","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/587919_39977_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/1/9/587919_39977_back.jpg","The Adventures of Willy Beamish","http://www.gamefaqs.com/segacd/587919-the-adventures-of-willy-beamish"
"After Armageddon Gaiden: Majuu Toushouden Eclipse","JP","http://image.gamespotcdn.net/gamespot/images/box/4/6/9/570469_8701_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/6/9/570469_8701_back.jpg","After Armageddon","http://www.gamefaqs.com/segacd/570469-after-armageddon"
"After Burner III","JP","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_5139_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_5139_back.jpg","After Burner III","http://www.gamefaqs.com/segacd/587920-after-burner-iii"
"After Burner III","US","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_67156_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_67156_back.jpg","After Burner III","http://www.gamefaqs.com/segacd/587920-after-burner-iii"
"After Burner III","EU","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_99352_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/0/587920_99352_back.jpg","After Burner III","http://www.gamefaqs.com/segacd/587920-after-burner-iii"
"AH-3 Thunderstrike","US","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_67157_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_67157_back.jpg","AH-3 Thunderstrike","http://www.gamefaqs.com/segacd/587921-ah-3-thunderstrike"
"Thunderhawk","JP","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_4736_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_4736_back.jpg","AH-3 Thunderstrike","http://www.gamefaqs.com/segacd/587921-ah-3-thunderstrike"
"Thunderhawk","EU","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_72168_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/1/587921_72168_back.jpg","AH-3 Thunderstrike","http://www.gamefaqs.com/segacd/587921-ah-3-thunderstrike"
"Aisle Lord","JP","http://image.gamespotcdn.net/gamespot/images/box/8/4/7/581847_22346_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/4/7/581847_22346_back.jpg","Aisle Lord","http://www.gamefaqs.com/segacd/581847-aisle-lord"
"Alshark","JP","http://image.gamespotcdn.net/gamespot/images/box/2/0/2/579202_19467_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/0/2/579202_19467_back.jpg","Alshark","http://www.gamefaqs.com/segacd/579202-alshark"
"The Amazing Spider-Man vs. the Kingpin","US","http://image.gamespotcdn.net/gamespot/images/box/2/8/1/922281_58040_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/1/922281_58040_back.jpg","The Amazing Spider-Man vs. the Kingpin","http://www.gamefaqs.com/segacd/922281-the-amazing-spider-man-vs-the-kingpin"
"The Amazing Spider-Man vs. the Kingpin","EU","http://image.gamespotcdn.net/gamespot/images/box/2/8/1/922281_116338_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/1/922281_116338_back.jpg","The Amazing Spider-Man vs. the Kingpin","http://www.gamefaqs.com/segacd/922281-the-amazing-spider-man-vs-the-kingpin"
"Bari-Arm","JP","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/587922_4558_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/587922_4558_back.jpg","Android Assault: The Revenge of Bari-Arm","http://www.gamefaqs.com/segacd/587922-android-assault-the-revenge-of-bari-arm"
"Android Assault: The Revenge of Bari-Arm","US","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/587922_67158_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/2/2/587922_67158_back.jpg","Android Assault: The Revenge of Bari-Arm","http://www.gamefaqs.com/segacd/587922-android-assault-the-revenge-of-bari-arm"
"Annet Futatabi","JP","http://image.gamespotcdn.net/gamespot/images/box/0/5/1/563051_22343_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/5/1/563051_22343_back.jpg","Annet Futatabi","http://www.gamefaqs.com/segacd/563051-annet-futatabi"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/939186_86849_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/939186_86849_back.jpg","Genghis Khan II","http://www.gamefaqs.com/segacd/939186-genghis-khan-ii"
"Arcus 1-2-3","JP","http://image.gamespotcdn.net/gamespot/images/box/8/0/0/581800_22344_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/0/0/581800_22344_back.jpg","Arcus 1-2-3","http://www.gamefaqs.com/segacd/581800-arcus-1-2-3"
"Arslan Senki","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/0/570470_8702_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/0/570470_8702_back.jpg","Arslan Senki","http://www.gamefaqs.com/segacd/570470-arslan-senki"
"Bakuden Unbalance Zone","JP","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/570473_9501_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/570473_9501_back.jpg","Bakuden Unbalance Zone","http://www.gamefaqs.com/segacd/570473-bakuden-unbalance-zone"
"Batman Returns","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/7/919507_49310_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/7/919507_49310_back.jpg","Batman Returns","http://www.gamefaqs.com/segacd/919507-batman-returns"
"Batman Returns","EU","http://image.gamespotcdn.net/gamespot/images/box/5/0/7/919507_97311_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/7/919507_97311_back.jpg","Batman Returns","http://www.gamefaqs.com/segacd/919507-batman-returns"
"Battle Fantasy","JP","http://image.gamespotcdn.net/gamespot/images/box/9/8/6/587986_9090_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/8/6/587986_9090_back.jpg","Revengers of Vengeance","http://www.gamefaqs.com/segacd/587986-revengers-of-vengeance"
"Revengers of Vengeance","US","http://image.gamespotcdn.net/gamespot/images/box/9/8/6/587986_47041_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/8/6/587986_47041_back.jpg","Revengers of Vengeance","http://www.gamefaqs.com/segacd/587986-revengers-of-vengeance"
"Battle Frenzy","EU","http://image.gamespotcdn.net/gamespot/images/box/2/5/5/922255_101254_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/5/5/922255_101254_back.jpg","Battle Frenzy","http://www.gamefaqs.com/segacd/922255-battle-frenzy"
"Battle Frenzy","US","http://image.gamespotcdn.net/gamespot/images/box/2/5/5/922255_69287_front.jpg","","Battle Frenzy","http://www.gamefaqs.com/segacd/922255-battle-frenzy"
"Bloodshot","EU","http://image.gamespotcdn.net/gamespot/images/box/2/5/5/922255_71450_front.jpg","","Battle Frenzy","http://www.gamefaqs.com/segacd/922255-battle-frenzy"
"Battlecorps","US","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_67159_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_67159_back.jpg","Battlecorps","http://www.gamefaqs.com/segacd/563489-battlecorps"
"Battlecorps","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_4737_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_4737_back.jpg","Battlecorps","http://www.gamefaqs.com/segacd/563489-battlecorps"
"Battlecorps","EU","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_116309_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/9/563489_116309_back.jpg","Battlecorps","http://www.gamefaqs.com/segacd/563489-battlecorps"
"Shadow of the Beast II","US","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_71827_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_71827_back.jpg","Shadow of the Beast II","http://www.gamefaqs.com/segacd/922279-shadow-of-the-beast-ii"
"Shadow of the Beast II: Jashin no Jubaku","JP","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_86822_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_86822_back.jpg","Shadow of the Beast II","http://www.gamefaqs.com/segacd/922279-shadow-of-the-beast-ii"
"Beast II","EU","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_116333_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/9/922279_116333_back.jpg","Shadow of the Beast II","http://www.gamefaqs.com/segacd/922279-shadow-of-the-beast-ii"
