"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Bank Panic","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/916321_8570_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/1/916321_8570_back.jpg","Bank Panic","http://www.gamefaqs.com/sg1000/916321-bank-panic"
"The Black Onyx","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/916337_8586_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/916337_8586_back.jpg","The Black Onyx","http://www.gamefaqs.com/sg1000/916337-the-black-onyx"
"Bomb Jack","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/9/916329_8578_front.jpg","","Bomb Jack","http://www.gamefaqs.com/sg1000/916329-bomb-jack"
"Borderline","EU","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89785_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89785_back.jpg","Borderline","http://www.gamefaqs.com/sg1000/916274-borderline"
"Borderline","AU","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89786_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_89786_back.jpg","Borderline","http://www.gamefaqs.com/sg1000/916274-borderline"
"Borderline","JP","http://image.gamespotcdn.net/gamespot/images/box/2/7/4/916274_8523_front.jpg","","Borderline","http://www.gamefaqs.com/sg1000/916274-borderline"
"C-SO!","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/1/916331_8580_front.jpg","","C-SO!","http://www.gamefaqs.com/sg1000/916331-c-so"
"The Castle","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/8/916338_8587_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/8/916338_8587_back.jpg","The Castle","http://www.gamefaqs.com/sg1000/916338-the-castle"
"Chack'n Pop","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/0/916320_8569_front.jpg","","Chack'n Pop","http://www.gamefaqs.com/sg1000/916320-chackn-pop"
"Challenge Derby","JP","http://image.gamespotcdn.net/gamespot/images/box/3/4/4/916344_9845_front.jpg","","Challenge Derby","http://www.gamefaqs.com/sg1000/916344-challenge-derby"
"Champion Baseball","AU","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_90019_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_90019_back.jpg","Champion Baseball","http://www.gamefaqs.com/sg1000/916284-champion-baseball"
"Champion Baseball","JP","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_8533_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/4/916284_8533_back.jpg","Champion Baseball","http://www.gamefaqs.com/sg1000/916284-champion-baseball"
"Champion Billiards","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/6/916336_8585_front.jpg","","Champion Billiards","http://www.gamefaqs.com/sg1000/916336-champion-billiards"
"Champion Boxing","EU","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/916301_116343_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/916301_116343_back.jpg","Champion Boxing","http://www.gamefaqs.com/sg1000/916301-champion-boxing"
"Champion Boxing","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/916301_8550_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/1/916301_8550_back.jpg","Champion Boxing","http://www.gamefaqs.com/sg1000/916301-champion-boxing"
"Champion Golf","AU","http://image.gamespotcdn.net/gamespot/images/box/2/7/8/916278_90028_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/8/916278_90028_back.jpg","Champion Golf","http://www.gamefaqs.com/sg1000/916278-champion-golf"
"Champion Golf","JP","http://image.gamespotcdn.net/gamespot/images/box/2/7/8/916278_8527_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/7/8/916278_8527_back.jpg","Champion Golf","http://www.gamefaqs.com/sg1000/916278-champion-golf"
"Champion Ice Hockey","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/7/916327_8576_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/7/916327_8576_back.jpg","Champion Ice Hockey","http://www.gamefaqs.com/sg1000/916327-champion-ice-hockey"
"Champion Kendo","JP","http://image.gamespotcdn.net/gamespot/images/box/3/3/4/916334_8583_front.jpg","","Champion Kendo","http://www.gamefaqs.com/sg1000/916334-champion-kendo"
"Champion Pro Wrestling","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/916307_8556_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/7/916307_8556_back.jpg","Champion Pro Wrestling","http://www.gamefaqs.com/sg1000/916307-champion-pro-wrestling"
"Champion Soccer","JP","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/916302_8551_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/2/916302_8551_back.jpg","Champion Soccer","http://www.gamefaqs.com/sg1000/916302-champion-soccer"
"Champion Tennis","AU","http://image.gamespotcdn.net/gamespot/images/box/2/8/2/916282_90029_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/2/916282_90029_back.jpg","Champion Tennis","http://www.gamefaqs.com/sg1000/916282-champion-tennis"
"Champion Tennis","JP","http://image.gamespotcdn.net/gamespot/images/box/2/8/2/916282_8531_front.jpg","","Champion Tennis","http://www.gamefaqs.com/sg1000/916282-champion-tennis"
"Champion Tennis","EU","http://image.gamespotcdn.net/gamespot/images/box/2/8/2/916282_95675_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/2/916282_95675_back.jpg","Champion Tennis","http://www.gamefaqs.com/sg1000/916282-champion-tennis"
"Championship Lode Runner","JP","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/916325_8574_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/5/916325_8574_back.jpg","Championship Lode Runner","http://www.gamefaqs.com/sg1000/916325-championship-lode-runner"
"Choplifter","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/916316_8565_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/6/916316_8565_back.jpg","Choplifter","http://www.gamefaqs.com/sg1000/916316-choplifter"
"Chuugaku Hisshuu Ei Bunpou: Chuugaku 1 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/1/943151_95696_front.jpg","","Chuugaku Hisshuu Ei Bunpou: Chuugaku 1 Nensei You","http://www.gamefaqs.com/sg1000/943151-chuugaku-hisshuu-ei-bunpou-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Bunpou: Chuugaku 2 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/2/943152_95697_front.jpg","","Chuugaku Hisshuu Ei Bunpou: Chuugaku 2 Nensei You","http://www.gamefaqs.com/sg1000/943152-chuugaku-hisshuu-ei-bunpou-chuugaku-2-nensei-you"
"Chuugaku Hisshuu Ei Sakubun: Chuugaku 1 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/4/943154_95699_front.jpg","","Chuugaku Hisshuu Ei Sakubun: Chuugaku 1 Nensei You","http://www.gamefaqs.com/sg1000/943154-chuugaku-hisshuu-ei-sakubun-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Sakubun: Chuugaku 2 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/3/943153_95698_front.jpg","","Chuugaku Hisshuu Ei Sakubun: Chuugaku 2 Nensei You","http://www.gamefaqs.com/sg1000/943153-chuugaku-hisshuu-ei-sakubun-chuugaku-2-nensei-you"
"Chuugaku Hisshuu Ei Tango: Chuugaku 1 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/5/943155_95700_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/5/5/943155_95700_back.jpg","Chuugaku Hisshuu Ei Tango: Chuugaku 1 Nensei You","http://www.gamefaqs.com/sg1000/943155-chuugaku-hisshuu-ei-tango-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Tango: Chuugaku 2 Nensei You","JP","http://image.gamespotcdn.net/gamespot/images/box/1/5/6/943156_95701_front.jpg","","Chuugaku Hisshuu Ei Tango: Chuugaku 2 Nensei You","http://www.gamefaqs.com/sg1000/943156-chuugaku-hisshuu-ei-tango-chuugaku-2-nensei-you"
"Congo Bongo","EU","http://image.gamespotcdn.net/gamespot/images/box/2/8/0/916280_89784_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/0/916280_89784_back.jpg","Congo Bongo","http://www.gamefaqs.com/sg1000/916280-congo-bongo"
"Congo Bongo","AU","http://image.gamespotcdn.net/gamespot/images/box/2/8/0/916280_90030_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/0/916280_90030_back.jpg","Congo Bongo","http://www.gamefaqs.com/sg1000/916280-congo-bongo"
"Congo Bongo","JP","http://image.gamespotcdn.net/gamespot/images/box/2/8/0/916280_8529_front.jpg","","Congo Bongo","http://www.gamefaqs.com/sg1000/916280-congo-bongo"
"DokiDoki Penguin Land","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/916318_8567_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/8/916318_8567_back.jpg","DokiDoki Penguin Land","http://www.gamefaqs.com/sg1000/916318-dokidoki-penguin-land"
"Dragon Wang","JP","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/916314_8563_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/1/4/916314_8563_back.jpg","Dragon Wang","http://www.gamefaqs.com/sg1000/916314-dragon-wang"
