"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Ace of Aces","EU","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_3798_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_3798_back.jpg","Ace of Aces","http://www.gamefaqs.com/sms/588021-ace-of-aces"
"Ace of Aces","SA","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_126196_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/588021_126196_back.jpg","Ace of Aces","http://www.gamefaqs.com/sms/588021-ace-of-aces"
"Action Fighter","JP","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3800_front.jpg","","Action Fighter","http://www.gamefaqs.com/sms/588022-action-fighter"
"Action Fighter","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_40030_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_40030_back.jpg","Action Fighter","http://www.gamefaqs.com/sms/588022-action-fighter"
"Action Fighter","EU","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3799_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_3799_back.jpg","Action Fighter","http://www.gamefaqs.com/sms/588022-action-fighter"
"Action Fighter","SA","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_126197_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/2/588022_126197_back.jpg","Action Fighter","http://www.gamefaqs.com/sms/588022-action-fighter"
"The Addams Family","EU","http://image.gamespotcdn.net/gamespot/images/box/2/8/3/582283_89791_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/3/582283_89791_back.jpg","The Addams Family","http://www.gamefaqs.com/sms/582283-the-addams-family"
"Adventure Kid","AU","http://image.gamespotcdn.net/gamespot/images/box/4/8/6/611486_190945_front.jpg","","Wonder Kid","http://www.gamefaqs.com/sms/611486-wonder-kid"
"Aerial Assault","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_40031_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_40031_back.jpg","Aerial Assault","http://www.gamefaqs.com/sms/588023-aerial-assault"
"Aerial Assault","EU","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_88035_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/3/588023_88035_back.jpg","Aerial Assault","http://www.gamefaqs.com/sms/588023-aerial-assault"
