"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Desert Fighter","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/588192_82087_front.jpg","","A.S.P. Air Strike Patrol","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"Desert Fighter","EU","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/588192_71426_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/588192_71426_back.jpg","A.S.P. Air Strike Patrol","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"A.S.P. Air Strike Patrol","US","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/588192_40129_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/588192_40129_back.jpg","A.S.P. Air Strike Patrol","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"AAAHH!!! Real Monsters","US","http://image.gamespotcdn.net/gamespot/images/box/1/8/0/588180_40122_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/0/588180_40122_back.jpg","AAAHH!!! Real Monsters","http://www.gamefaqs.com/snes/588180-aaahh-real-monsters"
"AAAHH!!! Real Monsters","EU","http://image.gamespotcdn.net/gamespot/images/box/1/8/0/588180_74228_front.jpg","","AAAHH!!! Real Monsters","http://www.gamefaqs.com/snes/588180-aaahh-real-monsters"
"ABC Monday Night Football","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/1/588181_4498_front.jpg","","ABC Monday Night Football","http://www.gamefaqs.com/snes/588181-abc-monday-night-football"
"ABC Monday Night Football","US","http://image.gamespotcdn.net/gamespot/images/box/1/8/1/588181_85666_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/1/588181_85666_back.jpg","ABC Monday Night Football","http://www.gamefaqs.com/snes/588181-abc-monday-night-football"
"Accelebrid","JP","http://image.gamespotcdn.net/gamespot/images/box/9/9/6/570996_9085_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/9/6/570996_9085_back.jpg","Accelebrid","http://www.gamefaqs.com/snes/570996-accelebrid"
"Ace o Nerae!","JP","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/571014_9968_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/4/571014_9968_back.jpg","Ace o Nerae!","http://www.gamefaqs.com/snes/571014-ace-o-nerae"
"ACME Animation Factory","US","http://image.gamespotcdn.net/gamespot/images/box/1/8/2/588182_40123_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/2/588182_40123_back.jpg","ACME Animation Factory","http://www.gamefaqs.com/snes/588182-acme-animation-factory"
"ACME Animation Factory","EU","http://image.gamespotcdn.net/gamespot/images/box/1/8/2/588182_74229_front.jpg","","ACME Animation Factory","http://www.gamefaqs.com/snes/588182-acme-animation-factory"
"Acrobat Mission","JP","http://image.gamespotcdn.net/gamespot/images/box/8/6/2/570862_10117_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/6/2/570862_10117_back.jpg","Acrobat Mission","http://www.gamefaqs.com/snes/570862-acrobat-mission"
"Action Pachio","JP","http://image.gamespotcdn.net/gamespot/images/box/9/3/0/570930_9468_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/3/0/570930_9468_back.jpg","Action Pachio","http://www.gamefaqs.com/snes/570930-action-pachio"
"Actraiser","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_4533_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_4533_back.jpg","ActRaiser","http://www.gamefaqs.com/snes/563502-actraiser"
"ActRaiser","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_88645_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_29060_back.jpg","ActRaiser","http://www.gamefaqs.com/snes/563502-actraiser"
"ActRaiser","EU","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_59693_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/2/563502_59693_back.jpg","ActRaiser","http://www.gamefaqs.com/snes/563502-actraiser"
"ActRaiser 2: Chinmoku e no Seisen","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_4534_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_4534_back.jpg","ActRaiser 2","http://www.gamefaqs.com/snes/563503-actraiser-2"
"ActRaiser 2","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_29061_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_29061_back.jpg","ActRaiser 2","http://www.gamefaqs.com/snes/563503-actraiser-2"
"ActRaiser 2","EU","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_101489_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/563503_101489_back.jpg","ActRaiser 2","http://www.gamefaqs.com/snes/563503-actraiser-2"
"Addams Family Values","US","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/588183_47060_front.jpg","","Addams Family Values","http://www.gamefaqs.com/snes/588183-addams-family-values"
"Addams Family Values","EU","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/588183_60258_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/3/588183_60258_back.jpg","Addams Family Values","http://www.gamefaqs.com/snes/588183-addams-family-values"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/563504_29062_front.jpg","","The Addams Family","http://www.gamefaqs.com/snes/563504-the-addams-family"
"The Addams Family","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/563504_5343_front.jpg","","The Addams Family","http://www.gamefaqs.com/snes/563504-the-addams-family"
"The Addams Family","EU","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/563504_59531_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/563504_59531_back.jpg","The Addams Family","http://www.gamefaqs.com/snes/563504-the-addams-family"
"The Addams Family: Pugsley's Scavenger Hunt","EU","http://image.gamespotcdn.net/gamespot/images/box/5/0/5/563505_113864_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/5/563505_113864_back.jpg","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/snes/563505-the-addams-family-pugsleys-scavenger-hunt"
"The Addams Family: Pugsley's Scavenger Hunt","US","http://image.gamespotcdn.net/gamespot/images/box/5/0/5/563505_4854_front.jpg","","The Addams Family: Pugsley's Scavenger Hunt","http://www.gamefaqs.com/snes/563505-the-addams-family-pugsleys-scavenger-hunt"
