"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"VR Golf '97","US","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_33862_front.jpg","","VR Golf '97","http://www.gamefaqs.com/saturn/574021-vr-golf-97"
"Actua Golf","JP","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_17606_front.jpg","","VR Golf '97","http://www.gamefaqs.com/saturn/574021-vr-golf-97"
"Actua Golf","EU","http://image.gamespotcdn.net/gamespot/images/box/0/2/1/574021_89501_front.jpg","","VR Golf '97","http://www.gamefaqs.com/saturn/574021-vr-golf-97"
"Actua Soccer","JP","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_14437_back.jpg","VR Soccer","http://www.gamefaqs.com/saturn/199232-vr-soccer"
"VR Soccer","US","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_43243_back.jpg","VR Soccer","http://www.gamefaqs.com/saturn/199232-vr-soccer"
"Actua Soccer: Club Edition","EU","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/199232_103295_front.jpg","","VR Soccer","http://www.gamefaqs.com/saturn/199232-vr-soccer"
"Advanced V.G.","JP","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17647_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17647_back.jpg","Advanced V.G.","http://www.gamefaqs.com/saturn/577682-advanced-vg"
"Advanced V.G. (Giant Package)","JP","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17648_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/8/2/577682_17648_back.jpg","Advanced V.G.","http://www.gamefaqs.com/saturn/577682-advanced-vg"
"Advanced World War: Sennen Teikoku no Koubou","JP","http://image.gamespotcdn.net/gamespot/images/box/7/7/7/574777_13530_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/7/7/574777_13530_back.jpg","Advanced World War: Sennen Teikoku no Koubou","http://www.gamefaqs.com/saturn/574777-advanced-world-war-sennen-teikoku-no-koubou"
"Advanced World War: Sennen Teikoku no Koubou (Saturn Collection)","JP","http://image.gamespotcdn.net/gamespot/images/box/7/7/7/574777_13531_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/7/7/574777_13531_back.jpg","Advanced World War: Sennen Teikoku no Koubou","http://www.gamefaqs.com/saturn/574777-advanced-world-war-sennen-teikoku-no-koubou"
