"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"A.III: A-Ressha de Ikou III","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/589184_4804_back.jpg","A.III: A-Ressha de Ikou III","http://www.gamefaqs.com/turbocd/589184-aiii-a-ressha-de-ikou-iii"
"The Addams Family","US","http://image.gamespotcdn.net/gamespot/images/box/1/8/5/589185_40582_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/5/589185_40582_back.jpg","The Addams Family","http://www.gamefaqs.com/turbocd/589185-the-addams-family"
"Advanced V.G.","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/6/589186_4919_back.jpg","Advanced V.G.","http://www.gamefaqs.com/turbocd/589186-advanced-vg"
"Adventure Quiz Capcom World: Hatena no Daibouken","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/8/589188_4351_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/8/589188_4351_back.jpg","Adventure Quiz Capcom World: Hatena no Daibouken","http://www.gamefaqs.com/turbocd/589188-adventure-quiz-capcom-world-hatena-no-daibouken"
"Ai Cho Aniki","JP","http://image.gamespotcdn.net/gamespot/images/box/2/4/0/589240_4997_front.jpg","","Ai Cho Aniki","http://www.gamefaqs.com/turbocd/589240-ai-cho-aniki"
"Akiyama Jin No Suugaku Mystery","JP","http://image.gamespotcdn.net/gamespot/images/box/4/3/0/991430_161429_front.jpg","","Akiyama Jin No Suugaku Mystery","http://www.gamefaqs.com/turbocd/991430-akiyama-jin-no-suugaku-mystery"
"Akumajou Dracula X: Chi no Rondo","JP","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/6/4/589264_3940_back.jpg","Akumajou Dracula X: Chi no Rondo","http://www.gamefaqs.com/turbocd/589264-akumajou-dracula-x-chi-no-rondo"
"Alnam no Kiba: Shouzoku Juunishin-to Densetsu","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/6/589196_4928_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/6/589196_4928_back.jpg","Alnam no Kiba: Shouzoku Juunishin-to Densetsu","http://www.gamefaqs.com/turbocd/589196-alnam-no-kiba-shouzoku-juunishin-to-densetsu"
"Alshark","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/0/589190_4771_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/0/589190_4771_back.jpg","Alshark","http://www.gamefaqs.com/turbocd/589190-alshark"
"Anesan","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/589192_4159_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/2/589192_4159_back.jpg","Anesan","http://www.gamefaqs.com/turbocd/589192-anesan"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/4/589194_4471_back.jpg","Aoki Ookami to Shiroki Meshika: Genchou Hishi","http://www.gamefaqs.com/turbocd/589194-aoki-ookami-to-shiroki-meshika-genchou-hishi"
"Asuka 120% Maxima: Burning Fest. Maxima","JP","http://image.gamespotcdn.net/gamespot/images/box/2/2/7/589227_4164_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/2/7/589227_4164_back.jpg","Asuka 120% Maxima: Burning Fest. Maxima","http://www.gamefaqs.com/turbocd/589227-asuka-120-maxima-burning-fest-maxima"
"The Atlas: Renaissance Voyager","JP","http://image.gamespotcdn.net/gamespot/images/box/1/9/8/589198_4805_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/9/8/589198_4805_back.jpg","The Atlas: Renaissance Voyager","http://www.gamefaqs.com/turbocd/589198-the-atlas-renaissance-voyager"
