"Title","CoverRegionName","CoverType","CoverURL"
"AnimAction","AnimAction (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/4/937684_83573_front.jpg"
"Armor Attack","Armor Attack (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/4/576744_34910_front.jpg"
"Armor Attack","Armor Attack (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/4/4/576744_34910_spine.jpg"
"Armor Attack","Armor Attack (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/4/576744_299399_front.jpg"
"Armor Attack","Armor Attack (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/4/4/576744_299399_back.jpg"
"Art Master","Art Master (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/5/937685_83574_front.jpg"
"Bedlam","Bedlam (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/5/576745_34911_front.jpg"
"Bedlam","Bedlam (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/4/5/576745_34911_spine.jpg"
"Bedlam","Bedlam (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/5/576745_299400_front.jpg"
"Bedlam","Bedlam (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/4/5/576745_299400_back.jpg"
"Berzerk","Berzerk (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/6/576746_34912_front.jpg"
"Berzerk","Berzerk (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/4/6/576746_34912_back.jpg"
"Berzerk","Berzerk (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/4/6/576746_34912_spine.jpg"
"Berzerk","Berzerk (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/6/576746_299401_front.jpg"
"Berzerk","Berzerk (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/4/6/576746_299401_back.jpg"
"Blitz!","Blitz! (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/7/576747_34913_front.jpg"
"Blitz!","Blitz! (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/7/4/7/576747_34913_spine.jpg"
"Blitz!","Blitz! (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/7/4/7/576747_299402_front.jpg"
"Blitz!","Blitz! (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/7/4/7/576747_299402_back.jpg"
"Clean Sweep","Clean Sweep (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/924473_58683_front.jpg"
"Clean Sweep","Clean Sweep (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/924473_58683_back.jpg"
"Clean Sweep","Clean Sweep (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/924473_58683_spine.jpg"
"Clean Sweep","Clean Sweep (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/924473_299403_front.jpg"
"Clean Sweep","Clean Sweep (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/4/7/3/924473_299403_back.jpg"
"Cosmic Chasm","Cosmic Chasm (US, 1982)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/562925_28846_front.jpg"
"Cosmic Chasm","Cosmic Chasm (US, 1982)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/562925_28846_back.jpg"
"Cosmic Chasm","Cosmic Chasm (US, 1982)","Box Spine","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/562925_28846_spine.jpg"
"Cosmic Chasm","Cosmic Chasm (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/562925_299404_front.jpg"
"Cosmic Chasm","Cosmic Chasm (EU, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/9/2/5/562925_299404_back.jpg"
"Spinball","Spinball (US, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/6/937686_83575_front.jpg"
"Spinball","Spinball (US, 1983)","Box Back","http://image.gamespotcdn.net/gamespot/images/box/6/8/6/937686_83575_back.jpg"
"Spinball","Flipper Pinball (EU, 1983)","Box Front","http://image.gamespotcdn.net/gamespot/images/box/6/8/6/937686_299405_front.jpg"
