"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Anchorz Field","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/3/576633_16234_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/3/576633_16234_back.jpg","Anchorz Field","http://www.gamefaqs.com/wonderswan/576633-anchorz-field"
"Armored Unit","JP","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/576395_16231_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/9/5/576395_16231_back.jpg","Armored Unit","http://www.gamefaqs.com/wonderswan/576395-armored-unit"
"Bakusou Dekotora Densetsu for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/6/5/8/576658_15845_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/5/8/576658_15845_back.jpg","Bakusou Dekotora Densetsu for WonderSwan","http://www.gamefaqs.com/wonderswan/576658-bakusou-dekotora-densetsu-for-wonderswan"
"BeatMania for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/7/4/3/575743_15205_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/4/3/575743_15205_back.jpg","BeatMania for WonderSwan","http://www.gamefaqs.com/wonderswan/575743-beatmania-for-wonderswan"
"Kakutou Ryouri Densetsu Bistro Recipe: Wonder Battle Hen","JP","http://image.gamespotcdn.net/gamespot/images/box/6/4/4/576644_15974_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/4/576644_15974_back.jpg","Bistro Recipe","http://www.gamefaqs.com/wonderswan/576644-bistro-recipe"
"Buffers Evolution","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/2/576562_15687_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/2/576562_15687_back.jpg","Buffers Evolution","http://www.gamefaqs.com/wonderswan/576562-buffers-evolution"
"Card Captor Sakura: Sakura to Fushigi na Clow Card","JP","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/576485_15682_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/8/5/576485_15682_back.jpg","Card Captor Sakura: Sakura to Fushigi na Clow Card","http://www.gamefaqs.com/wonderswan/576485-card-captor-sakura-sakura-to-fushigi-na-clow-card"
"Chaos Gear: Michibi Kareshi Mono","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/576631_15702_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/1/576631_15702_back.jpg","Chaos Gear: Michibi Kareshi Mono","http://www.gamefaqs.com/wonderswan/576631-chaos-gear-michibi-kareshi-mono"
"Cho Aniki: Otoko no Tamafuda","JP","http://image.gamespotcdn.net/gamespot/images/box/9/0/3/576903_17186_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/0/3/576903_17186_back.jpg","Cho Aniki: Otoko no Tamafuda","http://www.gamefaqs.com/wonderswan/576903-cho-aniki-otoko-no-tamafuda"
"Chocobo no Fushigi Dungeon for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/576610_15691_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/576610_15691_back.jpg","Chocobo no Fushigi Dungeon for WonderSwan","http://www.gamefaqs.com/wonderswan/576610-chocobo-no-fushigi-dungeon-for-wonderswan"
"Chocobo no Fushigi Dungeon w/ Special WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/6/1/0/576610_15692_front.jpg","","Chocobo no Fushigi Dungeon for WonderSwan","http://www.gamefaqs.com/wonderswan/576610-chocobo-no-fushigi-dungeon-for-wonderswan"
"Chou-Denki Card Battle: Youfu Makai - Kikuchi Shuugyou","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/1/576571_16482_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/1/576571_16482_back.jpg","Chou-Denki Card Battle: Youfu Makai - Kikuchi Shuugyou","http://www.gamefaqs.com/wonderswan/576571-chou-denki-card-battle-youfu-makai-kikuchi"
"Clock Tower for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/4/576564_15844_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/4/576564_15844_back.jpg","Clock Tower for WonderSwan","http://www.gamefaqs.com/wonderswan/576564-clock-tower-for-wonderswan"
"Crazy Climber","JP","http://image.gamespotcdn.net/gamespot/images/box/6/3/7/576637_16239_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/3/7/576637_16239_back.jpg","Crazy Climber","http://www.gamefaqs.com/wonderswan/576637-crazy-climber"
"Densha de Go!","JP","http://image.gamespotcdn.net/gamespot/images/box/6/0/8/576608_15578_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/0/8/576608_15578_back.jpg","Densha de Go!","http://www.gamefaqs.com/wonderswan/576608-densha-de-go"
"Densha de Go! 2","JP","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/576647_16480_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/7/576647_16480_back.jpg","Densha de Go! 2","http://www.gamefaqs.com/wonderswan/576647-densha-de-go-2"
"Digimon Adventure 02: Tag Tamers","JP","http://image.gamespotcdn.net/gamespot/images/box/8/0/2/578802_18635_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/0/2/578802_18635_back.jpg","Digimon Adventure 02: Tag Tamers","http://www.gamefaqs.com/wonderswan/578802-digimon-adventure-02-tag-tamers"
"Digimon Adventure: Anode Tamer","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/3/576573_15688_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/7/3/576573_15688_back.jpg","Digimon Adventure: Anode Tamer","http://www.gamefaqs.com/wonderswan/576573-digimon-adventure-anode-tamer"
"Digimon Adventure: Anode Tamer (WonderSwan Pack)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/7/3/576573_15689_front.jpg","","Digimon Adventure: Anode Tamer","http://www.gamefaqs.com/wonderswan/576573-digimon-adventure-anode-tamer"
"Digimon Adventure: Cathode Tamer","JP","http://image.gamespotcdn.net/gamespot/images/box/6/6/2/576662_15711_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/6/2/576662_15711_back.jpg","Digimon Adventure: Cathode Tamer","http://www.gamefaqs.com/wonderswan/576662-digimon-adventure-cathode-tamer"
"Digital Monsters Ver. WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/6/1/5/576615_15695_front.jpg","","Digital Monsters Ver. WonderSwan","http://www.gamefaqs.com/wonderswan/576615-digital-monsters-ver-wonderswan"
"Digital Partner","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/4/577514_17206_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/4/577514_17206_back.jpg","Digital Partner","http://www.gamefaqs.com/wonderswan/577514-digital-partner"
"Digital Partner (w/WonderWave)","JP","http://image.gamespotcdn.net/gamespot/images/box/5/1/4/577514_17205_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/4/577514_17205_back.jpg","Digital Partner","http://www.gamefaqs.com/wonderswan/577514-digital-partner"
"Dokodemo Hamster","JP","http://image.gamespotcdn.net/gamespot/images/box/6/6/0/576660_16387_front.jpg","","Dokodemo Hamster","http://www.gamefaqs.com/wonderswan/576660-dokodemo-hamster"
"Engacho! for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/6/4/9/576649_16465_front.jpg","","Engacho! for WonderSwan","http://www.gamefaqs.com/wonderswan/576649-engacho-for-wonderswan"
"Fever Sankyo Koushiki Pachinko Simulation for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/576563_16386_front.jpg","","Fever Sankyo Koushiki Pachinko Simulation for WonderSwan","http://www.gamefaqs.com/wonderswan/576563-fever-sankyo-koushiki-pachinko-simulation-for"
"Final Lap 2000","JP","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/577184_17194_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/8/4/577184_17194_back.jpg","Final Lap 2000","http://www.gamefaqs.com/wonderswan/577184-final-lap-2000"
"Fire ProWrestling for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/8/3/0/578830_19196_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/8/3/0/578830_19196_back.jpg","Fire ProWrestling for WonderSwan","http://www.gamefaqs.com/wonderswan/578830-fire-prowrestling-for-wonderswan"
"Fishing Freaks: BassRise for WonderSwan","JP","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/577017_17189_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/1/7/577017_17189_back.jpg","Fishing Freaks: BassRise for WonderSwan","http://www.gamefaqs.com/wonderswan/577017-fishing-freaks-bassrise-for-wonderswan"
"From TV Animation: One Piece - Mezase Kaizokuou!","JP","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/578024_18593_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/2/4/578024_18593_back.jpg","From TV Animation: One Piece","http://www.gamefaqs.com/wonderswan/578024-from-tv-animation-one-piece"
