"Title","CoverRegionName","CoverFrontURL","CoverBackURL","EnglishTitle","ReferenceURL"
"Alchemist Marie & Elie: Futari no Atelier","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/6/581506_22393_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/6/581506_22393_back.jpg","Alchemist Marie & Elie: Futari no Atelier","http://www.gamefaqs.com/wsc/581506-alchemist-marie-and-elie-futari-no-atelier"
"Another Heaven: Memory of Those Days","JP","http://image.gamespotcdn.net/gamespot/images/box/9/7/4/579974_20669_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/7/4/579974_20669_back.jpg","Another Heaven: Memory of Those Days","http://www.gamefaqs.com/wsc/579974-another-heaven-memory-of-those-days"
"Arc the Lad: Kijin Fukkatsu","JP","http://image.gamespotcdn.net/gamespot/images/box/5/4/6/567546_7348_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/4/6/567546_7348_back.jpg","Arc the Lad: Kijin Fukkatsu","http://www.gamefaqs.com/wsc/567546-arc-the-lad-kijin-fukkatsu"
"Battle Spirit: Digimon Frontier","JP","http://image.gamespotcdn.net/gamespot/images/box/1/0/9/583109_24320_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/0/9/583109_24320_back.jpg","Battle Spirit: Digimon Frontier","http://www.gamefaqs.com/wsc/583109-battle-spirit-digimon-frontier"
"Battle Spirit: Digimon Tamers","JP","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/566006_6082_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/566006_6082_back.jpg","Battle Spirit: Digimon Tamers","http://www.gamefaqs.com/wsc/566006-battle-spirit-digimon-tamers"
"Battle Spirit: Digimon Tamers (w/Link Cable)","JP","http://image.gamespotcdn.net/gamespot/images/box/0/0/6/566006_6083_front.jpg","","Battle Spirit: Digimon Tamers","http://www.gamefaqs.com/wsc/566006-battle-spirit-digimon-tamers"
"Battle Spirit: Digimon Tamers Ver 1.5","JP","http://image.gamespotcdn.net/gamespot/images/box/0/9/9/578099_18595_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/9/578099_18595_back.jpg","Battle Spirit: Digimon Tamers Ver 1.5","http://www.gamefaqs.com/wsc/578099-battle-spirit-digimon-tamers-ver-15"
"Blue Wing Blitz","JP","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/581503_21974_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/3/581503_21974_back.jpg","Blue Wing Blitz","http://www.gamefaqs.com/wsc/581503-blue-wing-blitz"
"Dark Eyes: BattleGate","JP","http://image.gamespotcdn.net/gamespot/images/box/4/2/9/580429_20040_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/2/9/580429_20040_back.jpg","Dark Eyes: BattleGate","http://www.gamefaqs.com/wsc/580429-dark-eyes-battlegate"
"Dicing Knight Period","JP","http://image.gamespotcdn.net/gamespot/images/box/9/6/0/920960_54774_front.jpg","","Dicing Knight Period","http://www.gamefaqs.com/wsc/920960-dicing-knight-period"
