"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"After Burner","Simulation,Flight,Modern Jet","The F-14 Thundercat. It's the fastest, meanest set of wings ever to slice through the air. And you're flying it! The action in this supercharged game is so intense, the graphics so real, you'll sweat bullets as bogeys fill the skies. Get vertigo from going vertical. The rush you feel is from pulling heavy G's as you try to evade lightning fast missiles and tracers. Feel your adrenaline pumping as your radar locks onto multiple targets and your Sidewinders blow them out of the sky. When you feel the need for speed, go supersonic with After Burner!","7.5","7.8","n/a","Sega","1995 ","http://www.gamefaqs.com/sega32x/584355-after-burner"
"After Burner","Simulation,Flight,Modern Jet","The F-14 Thundercat. It's the fastest, meanest set of wings ever to slice through the air. And you're flying it! The action in this supercharged game is so intense, the graphics so real, you'll sweat bullets as bogeys fill the skies. Get vertigo from going vertical. The rush you feel is from pulling heavy G's as you try to evade lightning fast missiles and tracers. Feel your adrenaline pumping as your radar locks onto multiple targets and your Sidewinders blow them out of the sky. When you feel the need for speed, go supersonic with After Burner!","7.5","7.8","n/a","Sega","1995 ","http://www.gamefaqs.com/sega32x/584355-after-burner"
"The Amazing Spider-Man: Web of Fire","Action,Platformer,2D","A massive electrical plasma grid has shrouded New York City in a blanket of hysteria and destruction. Skyscrapers are crumbling. Civilians are frying. It's only a matter of time before The Big Apple becomes the Baked Apple.","6.0","6.9","","","","http://www.gamefaqs.com/sega32x/584371-the-amazing-spider-man-web-of-fire"
"BC Racers","Driving,Racing,Arcade","It's pre hysterical! Millionaire playboy caveman Millstone Rockafella arranges a wild n' wacky BC bike race, the winner of which receives the ULTIMATE BOULDERDASH BIKE. Cool n' crazy CLIFF ACE has had his sunglasses set on a boulderdash bike since he was knee high, so he signs up for the race - taking his cave babe ROXY along for the ride! The 32X pushes graphics to the limit with 256 colors for in game graphics and full 24-bit for static display. The stone age never looked better!","1.0","4.7","n/a","Core Design Ltd.","1995 ","http://www.gamefaqs.com/sega32x/918260-bc-racers"
"Blackthorne","Action,Platformer,2D","Through the dark vastness of space, exiled prince Kyle Blackthorne returns to Tuul to avenge his murdered father and restore the shattered Lightstone. The conqueror Sarlac opposes his vicious troops against the enraged prince. But the evil lord will soon find out... an army is not enough against a single fierce fighter with a vengeance!","7.0","8.1","n/a","Paradox Development","1995 ","http://www.gamefaqs.com/sega32x/584357-blackthorne"
"Brutal: Above the Claw","Action,Fighting,2D","Across the world, invitations were delivered Under the watchful eye of the Dali Llama, the world's greatest martial artists will return to a place they know well - Brutal Island. Each must use their own unique physical martial arts style and training in order to compete in a grand tournament to prove the world' s one true champion.Brutal: Above the Claw is a brilliantly rendered game of humorous cartoon-style combat combined with depth, pholosophy, and an attention to detail not found in any other fighting game.Go ahead - unleash the animal. It's time to get Brutal.","6.5","6.3","","","","http://www.gamefaqs.com/sega32x/584358-brutal-above-the-claw"
"Knuckles' Chaotix","Action,Platformer,2D","Knuckles, the edgiest Echidna on the block, is back! This screamin' wild ride's got everything but a speed limit. Race for the rings, and hoooOOOOLD ON!","7.6","7.3","n/a","Sega","Apr 20, 1995 ","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
"College Basketball","Sports,Traditional,Baseball,Sim","College Basketball is a Sports game,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/sega32x/584359-college-basketball"
"Corpse Killer","Action,Shooter,Light Gun","You're stranded on an un-charted island of death, you're dying of voodoo trail, hundreds of rotting dead are coming to chew your guts...and all your buddies have been turned into vicious cannibal commandos. Things could be worse. It could be a cartoon.","5.3","5.0","n/a","Digital Pictures","1994 ","http://www.gamefaqs.com/sega32x/584350-corpse-killer"
"Cosmic Carnage","Action,Fighting,2D","What kind of un-be-leev-ably ugly monster is this? Chunks of armor fly off as you pound its body. This beefed-up, maxed-out monstrosity has jetted across the cosmos to beat your brains out! But is it the alien? Or is it YOU?","6.4","6.1","n/a","Givro","1994 ","http://www.gamefaqs.com/sega32x/584360-cosmic-carnage"
"Cosmic Carnage","Action,Fighting,2D","What kind of un-be-leev-ably ugly monster is this? Chunks of armor fly off as you pound its body. This beefed-up, maxed-out monstrosity has jetted across the cosmos to beat your brains out! But is it the alien? Or is it YOU?","6.4","6.1","n/a","Givro","1994 ","http://www.gamefaqs.com/sega32x/584360-cosmic-carnage"
"Darxide","Action,Shooter,First-Person,Sci-Fi","Darxide is an Action game, developed by Frontier Developments and published by Sega,which was released in Europe in 1995.","2.0","6.0","","","","http://www.gamefaqs.com/sega32x/925002-darxide"
"Doom","Action,Shooter,First-Person,Sci-Fi","All Hell has run amok! Monstrous demons from another dimension use their gruesome talents to turn your space station into a blood-splattered slaughterhouse.","6.1","6.8","","","","http://www.gamefaqs.com/sega32x/563223-doom"
"Fahrenheit","Adventure,Interactive Movie","People are still alive in there! But they won't be for long if you don't rescure them! Leading the Fire Fighters from Company 13 into the blaze, you've got to find the victims trapped inside and make it out alive!","7.3","5.0","n/a","Infogrames","1995 ","http://www.gamefaqs.com/sega32x/584351-fahrenheit"
"FIFA Soccer 96","Sports,Traditional,Soccer,Sim","The most successful football game of all time has been improved and updated for the 32X. FIFA Soccer '96 is dedicated to bring you all the action from around the globe, featuring over 3500 players from 200 teams and 12 leagues. Combined with stunning graphics, 7 camera views, 4-player mode and the usual host of options, FIFA Soccer '96 delivers the total footballing experience.","n/a","n/a","n/a","Probe Entertainment Limited","Canceled ","http://www.gamefaqs.com/sega32x/918264-fifa-soccer-96"
"Golf Magazine: 36 Great Holes Starring Fred Couples","Sports,Traditional,Golf,Sim","Play the GOLF MAGAZINE selection of 36 U.S. course holes digitized for spectacular detail. Play as Fred Couples or take him on. 32X technology brings you: Total shot control; Ultra-realistic gameplay; Seven ways to play including Tournament, Skins Game and Scramble; Thousands of course combinations; Battery back-up to save your vital stats.","8.0","6.6","","","","http://www.gamefaqs.com/sega32x/584361-golf-magazine-36-great-holes-starring-fred-couples"
"Knuckles' Chaotix","Action,Platformer,2D","Knuckles, the edgiest Echidna on the block, is back! This screamin' wild ride's got everything but a speed limit. Race for the rings, and hoooOOOOLD ON!","7.6","7.3","n/a","Sega","Apr 20, 1995 ","http://www.gamefaqs.com/sega32x/584362-knuckles-chaotix"
"Kolibri","Action,Shooter,Scrolling","Deep in the Earth, a powerful ancient crystal hums, fueling the balance of nature. But when its toxic twin plummets to Earth, nature totters on the edge of extinction! Only one hope survives - Kolibri. Though small and alone, the hummingbird must battle the invasive mutation in all its malignant form to restore Earth. But at what cost?","6.8","8.0","","","","http://www.gamefaqs.com/sega32x/584363-kolibri"
"Metal Head","Simulation,Sci-Fi,Mech","Bullets fly and circuits fry in heavy-duty cyborg techno-slaughter. You control Metal Head, the ultimate cyborg warrior, patrolling the charred urban destruction of the great war. And a murderous mecha-force is gunning for you!","4.0","6.6","","","","http://www.gamefaqs.com/sega32x/584364-metal-head"
"Midnight Raiders","Action,Shooter,Rail","You're Joker. You and your team, Stryker, Sparks and Linus get orders to execute a Top Secret mission. Unfortunately for you, the CIA wants no survivors. Flying deadly Apache AH-64 helicopters, your team blasts into the Al-Shakkur installation. Then on foot, you alone must find and rescue a kidnapped scientist held somewhere inside. Professor Victor Mensch holds the formula for a deadly new nerve gas in his head. His fate rests in your hands. But watch out! Things aren't what they seem.","","","","","","http://www.gamefaqs.com/sega32x/584365-midnight-raiders"
