"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Adventure II","US","Adventure,Third-Person,Fantasy","Adventure II pushes the 5200 SuperSystem to the limit with four kingdoms, a sword and keys, hedge mazes, brick-layed castle interiors, a Troll and a Minotaur, and three hungry dragons! Complete the quest by returning the stole chalice to the Seashore Kingdom's Castle.","n/a","7.5","n/a","Square Trio","May7, 2007 ","http://www.gamefaqs.com/atari5200/931607-adventure-ii"
"Asteroids","US","Action,Shooter,Static","Your spaceship is trapped in a deadly asteroid belt. You will have to destroy the drifting asteroid boulders before they destroy your spaceship. But, watch out for enemy spacecraft. Fire your missiles to destroy the boulders and the enemy.","","","","Atari","Canceled ","http://www.gamefaqs.com/atari5200/933966-asteroids"
"Astro Chase","US","Action,Shooter,Scrolling","ASTRO CHASE--a fast-flying, fast-fighting race through space to save the planet Earth from total destruction!Blast off and blaze across scrolling, star-studded galaxy. Seek out and explode deadly megamines that close in as they orbit the earth. But keep an eye out for attacking enemy vessels--they'll pursue you to the far corners of space! Fire your lasers! Or active your shields and ram the enemy! You've even got SINGLE THRUST PROPULASION™--an amazing game feature that lets you fire in one direction while speeding off in another. Save the planet from this awful doom and there's a secret reward awaiting you!","6.0","n/a","n/a","First Star Software","1983 ","http://www.gamefaqs.com/atari5200/585284-astro-chase"
"Atari 5200","US","Hardware,Console","Atari 5200 is a Hardware game, developed and published by Atari,which was released in 1982.","8.0","7.2","n/a","Atari","1982 ","http://www.gamefaqs.com/atari5200/916366-atari-5200"
"Atari 5200 Hardware","US","Hardware,Console","Atari 5200 is a Hardware game, developed and published by Atari,which was released in 1982.","8.0","7.2","n/a","Atari","1982 ","http://www.gamefaqs.com/atari5200/916366-atari-5200"
"Atari 5200","US","Hardware,Console","Atari 5200 is a Hardware game, developed and published by Atari,which was released in 1982.","8.0","7.2","n/a","Atari","1982 ","http://www.gamefaqs.com/atari5200/916366-atari-5200"
"Atari 5200 Hardware","US","Hardware,Console","Atari 5200 is a Hardware game, developed and published by Atari,which was released in 1982.","8.0","7.2","n/a","Atari","1982 ","http://www.gamefaqs.com/atari5200/916366-atari-5200"
"Ballblazer","US","Action,General","This one's as fast as you are, as tough as you are. And hates to lose even worse than you do. Because ballblazer is a two-player video-sport; you each have your own panoramic view from your own competition Rotofoil&trade;--but there's only one ball. And only one winner.","n/a","n/a","n/a","Lucasfilm Games","1986 ","http://www.gamefaqs.com/atari5200/585285-ballblazer"
"Battlezone","US","Action,General","From the control panel of the last combat tank on Earth, it's up to you to stop the fleet of automated weapons that is ravaging the countryside. Armed with a radar screen and turret gun, you must search out and destroy these relentless automatons before they destroy your tank.","","","","Atari","Canceled ","http://www.gamefaqs.com/atari5200/585286-battlezone"
"Beamrider","US","Action,Shooter,Scrolling","A beam matrix of iridescent blue engulfs the distant blackness of Earth-Space. You stand watching. First mesmerized, you now realize the beams carry weapons. Frightening creations in endless configurations. Intriguing to watch, but will you--yes you, dear reader--take action? You will??!! Then roll up your sleeves, mount these beams and...ride!!","n/a","n/a","n/a","Action Graphics","1984 ","http://www.gamefaqs.com/atari5200/585287-beamrider"
