"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Ace of Aces","Simulation,Flight,Civilian Plane","Ace of Aces puts you in the cockpit of the Mosquito, the maverick RAF fighter bomber of World War II. It's white-knuckle aerial combat simulation, combining the exhilaration of flight with the gut-wrenching pressure of enemy confrontation.During World War II, Mosquitos downed 659 enemy aircraft and 500 V-1 Buzz Bombs. Your only allies are your wits, your weapons, and your radar. Are you equal to the challenge?Down the Nazi bombers, sink the U-boats, outrun the V-1 Buzz Bombs and stop the enemy trains to release the POWs. Should you fly through a storm or around? Navigate carefully, consult your intelligence reports and maps to make a decision. Choose your weapons and fuel wisely--once you're on a mission there's no going back.Select one mission or any combination. If you complete all four successfully--and make it back alive--you'll become the most distinguished flight veteran of World War II--the Ace of Aces!","n/a","n/a","n/a","Artech Studios","1988 ","http://www.gamefaqs.com/atari7800/585374-ace-of-aces"
"Alien Brigade","Action,General","The Plutoid Alien Zombie force has infiltrated the Army. They look like soldiers but are actually Aliens from outer space.You control a special task force to destroy the Aliens. As you shoot away at nasty enemies, you can earn powerful weapons, rescue hostages and most of all, stay alive. The challenge is there--beat the Aliens or you'll have to join them.","n/a","n/a","n/a","Sculptured Software","1990 ","http://www.gamefaqs.com/atari7800/585375-alien-brigade"
"Asteroids","Action,Shooter,Static","It's your only way out of this cloud of hurtling astral bodies.Peripheral vision. Lightning reflexes. And cool control. That's what it takes to save your ship. And you life!","7.5","7.3","n/a","Atari","1986 ","http://www.gamefaqs.com/atari7800/585376-asteroids"
"Atari 7800","Hardware,Console","Atari 7800 is a Hardware game, developed and published by Atari,which was released in 1986.","7.0","6.6","n/a","Atari","June 1986 ","http://www.gamefaqs.com/atari7800/916367-atari-7800"
"Atari 7800","Hardware,Console","Atari 7800 is a Hardware game, developed and published by Atari,which was released in 1986.","7.0","6.6","n/a","Atari","June 1986 ","http://www.gamefaqs.com/atari7800/916367-atari-7800"
"Ballblazer","Action,General","The year is 3097 ... you are the contestant in the fastest, most competitive, and by far the most popular sport in the universe. You and your opponent are strapped into Rotofoils&trade;, hovercraft-like vehicles that skim the surface of the playfield at speeds of up to 50 meters a second. You objective is simple: score the most points during the timed competition and be declared the champion. Your task, however, is a bit more complex. At the speed you're traveling, firing the Plasmorb&trade; * through your opponent's goal takes more than just skill and timing.Ballblazer features two-player simultaneous play, with first-person perspective for both players. Three playing modes are available: Regulation Game, Practice Mode, and Spectator Mode.Ballblazer offers the type of two-player head-to-head competition you've been waiting for. Three minutes, two players, one victor!","9.0","6.8","n/a","General Computer Corp.","1988 ","http://www.gamefaqs.com/atari7800/585377-ballblazer"
"Barnyard Blaster","Action,General","You and Grandpa are down on the farm. There are critters, bottles, and varmints everywhere -- in the barn, in the yard, and in the cornfield. Grandpa has given you an Atari light gun to help protect the farm. The moving targets are a challenge. Can you hit them? If not, try the veggies! They're fun to shoot at.In the barnyard, bottles and cans on the fence provide great practive for warming up the old shootin' iron. But perfect aim alone isn't enough. You'll need speed, too.In the cornfield, birds swoop from the sky and rabbits scamper among the stalks, Owls and other pests appear inside a barn. Each scene can only be reached by hitting enough targest in the scene before. Once you zero in on some fancy shooting scores, Gramps offers you a bonus round by tossing target bottles in the air.","2.0","6.0","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585378-barnyard-blaster"
"Basketbrawl","Sports,Traditional,Basketball,Sim","Is it just a friendly game of One-on-One or Two-on-Two? BasketBrawl is street sports where you make up the rules. It takes a well placed punch to steal the ball and precise timing to score a jam.Choose one of six Brawlers at the start then collect power ups for extra speed and punching power. Two can play together in competition.BasketBrawl features supersharp large character graphics. It's the latest programming technology brought directly to your home.","n/a","n/a","n/a","Blue Sky Software","1990 ","http://www.gamefaqs.com/atari7800/585379-basketbrawl"
"Centipede","Action,Shooter,Static","Hundreds and thousands of them. Creepy ones. Crawly ones. Buzzing ones. Swarming ones. And they're all trying to get you. Before you get them.","10.0","7.7","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585380-centipede"
"Choplifter!","Action,Shooter,Scrolling","Problems again! This time the Bungelings nabbed 64 of our people. You've got to bring 'em back alive!Zoom your rescue chopper into enemy country. Test your reflexes and strategy skills as you dodge tanks, fighters, and air mines.You've got so little time and the hostages are desperate. Go for it!","n/a","5.5","n/a","ibidinc Games","1987 ","http://www.gamefaqs.com/atari7800/585381-choplifter"
