"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"The A-Team","Action,General","The A-Team is an Action game, developed and published by Zafiro,which was released in Europe in 1988.","n/a","n/a","n/a","Zafiro","1988 ","http://www.gamefaqs.com/cpc/936530-the-a-team"
"A320","Adventure,General","A320 is an Adventure game, developed and published by Loriciels,which was released in Europe in 1988.","n/a","n/a","n/a","Loriciels","1988 ","http://www.gamefaqs.com/cpc/940052-a320"
"Aaargh!","Action,General","Destruction is the name of the game as two mighty monsters pulverize buildings, torch attacking insects and flying reptiles, search for food - not to mention the occasional native - to restore your strength as you battle to reach the fiery volcano and your chance to grab the golden egg. Bulldoze your way through the 12 cities of the Lost Island in a quest for the Golden Dragon's Egg. With head-to-head battles against your only rival in the mean monster stakes along the way, this is a real challenge. Fast all-action, hand-to-hand combat, huge colorful animated graphics, superb backdrops and ear-splitting stereo sound effects, all combine to make AAARGH an instant hit!","n/a","n/a","n/a","Melbourne House","1987 ","http://www.gamefaqs.com/cpc/930230-aaargh"
"Abracadabra","Adventure,Text","Abracadabra is an Adventure game, developed by Odisea and published by Proein,which was released in Europe in 1988.","n/a","n/a","n/a","Odisea","1988 ","http://www.gamefaqs.com/cpc/930231-abracadabra"
"Abu Simbel Profanation","Action,Platformer,2D","Abu Simbel Profanation is an Action game, developed and published by Dinamic Software,which was released in Europe in 1985.","n/a","6.0","n/a","Dinamic Software","1985 ","http://www.gamefaqs.com/cpc/934906-abu-simbel-profanation"
"Academy","Action,Shooter,Rail","Academy is an Action game, developed and published by CRL,which was released in Europe in 1987.","n/a","n/a","n/a","CRL","1987 ","http://www.gamefaqs.com/cpc/930232-academy"
"Ace 2","Simulation,Flight,Modern Jet","Ace 2 is a Simulation game, developed and published by Cascade Games Ltd.,which was released in Europe in 1987.","n/a","n/a","n/a","Cascade Games Ltd.","1987 ","http://www.gamefaqs.com/cpc/931740-ace-2"
"Ace of Aces","Simulation,Flight,Civilian Plane","Ace of Aces captures the spirit and puts you in the cockpit of the Mosquito, maverick RAF fighter bomber of World War II. Down the Nazi bombers, sink the U-boats, outrun the V-1 rockets and stop the enemy trains. Choose your weapons and fuel wisely - once you're out on mission, there's no going back. To become Ace of Aces, you must complete all missions successfully!","n/a","n/a","n/a","Artech Digital Entertainment","1986 ","http://www.gamefaqs.com/cpc/931791-ace-of-aces"
"AcroJet","Simulation,Flight,Modern Jet","AcroJet is a Simulation game, developed by MicroProse and published by U.S. Gold,which was released in Europe in 1987.","n/a","n/a","n/a","MicroProse","1987 ","http://www.gamefaqs.com/cpc/945536-acrojet"
"Action Fighter","Action,Shooter,Scrolling","Take to the streets. Or take to the skies. Because Action Fighter is the incredible, transformable combat fighter! You start out on a customized cycle. Built with enough speed and power to jump over water and overtake enemies. Then, by finding the right parts along the way, you'll change your cycle into a supercharged, state-of-the-art sports car. Next, add two turbojets to make your car airborne. And take to the skies! Down hyped-up helicopters and jet spaceships from above. And no matter which vehicle you're manning - or who you're after - get ready to stand by for action!","n/a","n/a","n/a","Core Design Ltd.","1986 ","http://www.gamefaqs.com/cpc/931092-action-fighter"
"Action Force","Action,Shooter,Scrolling","Action Force is an Action game, developed and published by Virgin Interactive,which was released in Europe in 1988.","n/a","n/a","n/a","Virgin Interactive","1988 ","http://www.gamefaqs.com/cpc/940019-action-force"
"Activator","Action,Platformer,2D","Activator is an Action game, developed and published by Cascade Games Ltd.,which was released in Europe in 1986.","n/a","n/a","n/a","Cascade Games Ltd.","1986 ","http://www.gamefaqs.com/cpc/932812-activator"
"The Addams Family","Action,Platformer,2D","THE ADDAMS FAMILY has been evicted! To save their home from Tully Alford, the family attorney, who is after the family fortune - Morticia, Lurch, Granny, Pugsley and Wednesday have gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you'll find stashes of cash hidden all over the house. You'll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You'll need to look for clues and slove many mysterious puzzles as you search for your family. You may even need someThing","n/a","n/a","n/a","Ocean","1992 ","http://www.gamefaqs.com/cpc/936805-the-addams-family"
"Adidas Championship Football","Sports,Traditional,Soccer,Arcade","Adidas Championship Football is a Sports game, developed and published by Ocean,which was released in Europe in 1990.","n/a","n/a","n/a","Ocean","1990 ","http://www.gamefaqs.com/cpc/940020-adidas-championship-football"
"Adidas Championship Tie Break","Sports,Traditional,Tennis","Adidas Championship Tie Break is a Sports game, developed and published by Ocean,which was released in Europe in 1990.","n/a","n/a","n/a","Ocean","1990 ","http://www.gamefaqs.com/cpc/940021-adidas-championship-tie-break"
