"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Ajax","Action,Shooter,Scrolling","Ajax is an Action game, developed and published by Konami,which was released in 1987.","10.0","7.8","n/a","Konami","1987 ","http://www.gamefaqs.com/arcade/565459-ajax"
"Aa Eikou No Koshien","Sports,General","Aa Eikou No Koshien is a Sports game, developed and published by Taito Corporation,which was released in Japan in 1990.","n/a","8.0","n/a","Taito Corporation","1990 ","http://www.gamefaqs.com/arcade/567199-aa-eikou-no-koshien"
"AAArgh!","Action,Beat-'Em-Up","Destruction is the name of the game as two mighty monsters pulverize buildings, torch attacking insects and flying reptiles, search for food - not to mention the occasional native - to restore your strength as you battle to reach the fiery volcano and your chance to grab the golden egg. Bulldoze your way through the 12 cities of the Lost Island in a quest for the Golden Dragon's Egg. With head-to-head battles against your only rival in the mean monster stakes along the way, this is a real challenge. Fast all-action, hand-to-hand combat, huge colorful animated graphics, superb backdrops and ear-splitting stereo sound effects, all combine to make AAARGH an instant hit!","n/a","n/a","n/a","Mastertronic","1987 ","http://www.gamefaqs.com/arcade/566415-aaargh"
"AB Cop","Driving,Racing,Arcade","AB Cop is a Driving game, published by Sega,which was released in 1989.","9.0","7.3","n/a","Sega","1989 ","http://www.gamefaqs.com/arcade/566416-ab-cop"
"Abscam","Action,General","Abscam is an Action game, developed by GL and published by US Billiards,which was released in 1982.","n/a","9.0","n/a","GL","1982 ","http://www.gamefaqs.com/arcade/566417-abscam"
"Abunai Houkago - Mou Matenai","Miscellaneous,Card Battle","Abunai Houkago - Mou Matenai is a Miscellaneous game, developed and published by Green Soft,which was released in Japan in 1989.","n/a","8.0","n/a","Green Soft","Mar 25, 1989 ","http://www.gamefaqs.com/arcade/936146-abunai-houkago-mou-matenai"
"Ace","Action,Shooter,Scrolling","Ace is an Action game, published by Allied Leisure,which was released in 1976.","n/a","5.0","n/a","Allied Leisure","1976 ","http://www.gamefaqs.com/arcade/566418-ace"
"Ace Driver","Driving,Racing,Arcade","Ace Driver is a Driving game, developed and published by Namco,which was released in 1994.","n/a","5.0","n/a","Namco","1994 ","http://www.gamefaqs.com/arcade/583659-ace-driver"
"Ace Driver: Victory Lap","Driving,Racing,Arcade","Ace Driver: Victory Lap is a Driving game, developed and published by Namco,which was released in 1996.","n/a","5.0","n/a","Namco","1996 ","http://www.gamefaqs.com/arcade/584275-ace-driver-victory-lap"
"Circus","Action,General","Circus is an Action game, developed and published by Exidy,which was released in 1977.","n/a","2.0","n/a","Exidy","1977 ","http://www.gamefaqs.com/arcade/566842-circus"
"Acrobat Mission","Action,Shooter,Scrolling","Acrobat Mission is an Action game, published by UPL,which was released in 1991.","6.0","5.8","n/a","UPL","1991 ","http://www.gamefaqs.com/arcade/566420-acrobat-mission"
"The Act","Adventure,Interactive Movie","The Act is an Adventure game, developed and published by Cecropia, Inc.,which was released in 2007.","n/a","n/a","n/a","Cecropia, Inc.","2007 ","http://www.gamefaqs.com/arcade/939013-the-act"
"Act-Fancer: Cybernetick Hyper Weapon","Action,Platformer,3D","Act-Fancer: Cybernetick Hyper Weapon is an Action game, published by Data East,which was released in 1989.","6.0","7.5","n/a","Data East","May 1989 ","http://www.gamefaqs.com/arcade/566421-act-fancer-cybernetick-hyper-weapon"
"Action Deka","Action,General","Action Deka is an Action game, developed and published by Konami,which was released in Japan in 2008.","n/a","n/a","n/a","Konami","Apr 16, 2008 ","http://www.gamefaqs.com/arcade/606436-action-deka"
"Action Fighter","Action,Shooter,Scrolling","Take to the streets. Or take to the skies. Because Action Fighter is the incredible, transformable combat fighter! You start out on a customized cycle. Built with enough speed and power to jump over water and overtake enemies. Then, by finding the right parts along the way, you'll change your cycle into a supercharged, state-of-the-art sports car. Next, add two turbojets to make your car airborne. And take to the skies! Down hyped-up helicopters and jet spaceships from above. And no matter which vehicle you're manning - or who you're after - get ready to stand by for action!","n/a","4.7","n/a","Sega","1986 ","http://www.gamefaqs.com/arcade/566422-action-fighter"
"Action Pac","Action,General","Action Pac is an Action game, published by Kigyo Corp,which was released in 1996.","n/a","n/a","n/a","Kigyo Corp","1996 ","http://www.gamefaqs.com/arcade/566423-action-pac"
"Adventure Quiz 2: Hatena? no Daibouken","Miscellaneous,Trivia / Game Show","Adventure Quiz 2: Hatena? no Daibouken is a Miscellaneous game, developed and published by Capcom,which was released in Japan in 1990.","n/a","n/a","n/a","Capcom","Mar1, 1990 ","http://www.gamefaqs.com/arcade/581016-adventure-quiz-2-hatena-no-daibouken"
"Adventure Quiz: Capcom World","Miscellaneous,Trivia / Game Show","Adventure Quiz: Capcom World is a Miscellaneous game, developed and published by Capcom,which was released in Japan in 1989.","n/a","n/a","n/a","Capcom","Nov1, 1989 ","http://www.gamefaqs.com/arcade/581014-adventure-quiz-capcom-world"
"Adventure Quiz: Capcom World 2","Miscellaneous,Trivia / Game Show","Adventure Quiz: Capcom World 2 is a Miscellaneous game, developed and published by Capcom,which was released in Japan in 1992.","n/a","9.0","n/a","Capcom","September 1992 ","http://www.gamefaqs.com/arcade/581025-adventure-quiz-capcom-world-2"
"Adventures of Major Havoc","Action,General","Adventures of Major Havoc is an Action game, developed and published by Atari,which was released in 1983.","n/a","n/a","n/a","Atari","1983 ","http://www.gamefaqs.com/arcade/583786-adventures-of-major-havoc"
"The Adventures of Robby Roto!","Action,General","The Adventures of Robby Roto! is an Action game, developed and published by Bally Midway,which was released in 1981.","n/a","n/a","n/a","Bally Midway","1981 ","http://www.gamefaqs.com/arcade/583840-the-adventures-of-robby-roto"
"Aero Fighters","Action,Shooter,Scrolling","Aero Fighters is an Action game, developed and published by Video System,which was released in 1992.","8.0","6.6","n/a","Video System","1992 ","http://www.gamefaqs.com/arcade/564190-aero-fighters"
"Aero Fighters 2","Action,Shooter,Scrolling","Up in the skies above 8 countries, control one of 8 fighters and join the sonic dogfight! With 4 level shooting and special weapons, blow out your enemies!","7.0","6.9","n/a","Video System","1994 ","http://www.gamefaqs.com/arcade/564191-aero-fighters-2"
"Aero Fighters 3","Action,Shooter,Scrolling","Aero Fighters 3 is an Action game, developed and published by Video System,which was released in 1995.","n/a","7.1","n/a","Video System","1995 ","http://www.gamefaqs.com/arcade/564192-aero-fighters-3"
"Sonic Wings Limited","Action,Shooter,Scrolling","Sonic Wings Limited is an Action game, developed by MBA International and published by Video System,which was released in Asia in 1996.","n/a","7.0","n/a","MBA International","1996 ","http://www.gamefaqs.com/arcade/568766-sonic-wings-limited"
"Aeroboto","Action,Shooter,Scrolling","Aeroboto is an Action game, developed by Hect and published by Jaleco Entertainment,which was released in Japan in 1984.","n/a","5.0","n/a","Hect","October 1984 ","http://www.gamefaqs.com/arcade/566424-aeroboto"
"Aerosmith: Quest For Fame","Miscellaneous,Rhythm,Music","Aerosmith: Quest For Fame is a Miscellaneous game, developed and published by Namco,which was released in Japan in 2001.","n/a","n/a","n/a","Namco","2001 ","http://www.gamefaqs.com/arcade/955831-aerosmith-quest-for-fame"
"After Burner","Simulation,Flight,Modern Jet","The F-14 Thundercat. It's the fastest, meanest set of wings ever to slice through the air. And you're flying it! The action in this supercharged game is so intense, the graphics so real, you'll sweat bullets as bogeys fill the skies. Get vertigo from going vertical. The rush you feel is from pulling heavy G's as you try to evade lightning fast missiles and tracers. Feel your adrenaline pumping as your radar locks onto multiple targets and your Sidewinders blow them out of the sky. When you feel the need for speed, go supersonic with After Burner!","9.5","7.1","n/a","Sega","1987 ","http://www.gamefaqs.com/arcade/566426-after-burner"
"After Burner Climax","Simulation,Flight,Modern Jet","The classic arcade game After Burner returns for a new generation of gamers. After Burner Climax is fast and frantic action, putting you in the cockpit of the world's fastest fighter plane. Dodge planes, rockets, and bullets while trying to target multiple on-screen enemy aircraft. Built for all skill levels, everyone can take to the air and blaze through a branching storyline and over 20 stages. Unlock achievements along the way to win an exclusive Avatar award using your experience and expertise.","9.0","8.3","n/a","Sega","November 2006 ","http://www.gamefaqs.com/arcade/929661-after-burner-climax"
"After Burner II","Action,Shooter,Scrolling","You scream off the carrier, there's no time to think! You're caught in a swarm of enemy aircraft and more are dead ahead. They're closing at Mach 5, as your machine guns start blasting. Burn through a sky of flying metal! Radar-lock on the frontal attackers and respond with missiles. Your enemies are specks on the horizon, then instantly they're in your face, launching even faster missiles! Nothing can prepare you for the incredible speed of the attack. Hit your afterburner! Dive and twist! Throw your plane into a 360 roll as the enemy spins by so close you almost touch wing tips. Day or night, dog fight or missile duel - the terrifying speed of battle never lets up. The sky shrieks with metal menace. The intercept officer is screaming &quot;Look out!&quot;","8.0","6.9","n/a","Sega","1987 ","http://www.gamefaqs.com/arcade/566427-after-burner-ii"
"Aggressors of Dark Kombat","Action,Fighting,2D","Anything goes to beat-up your enemies! No rules. No limitations for the fight! Aerial battle, provoking, faking, and throwing... anything is available! Weapons, strangleholds, no mercy even to the weakened enemy. Throwing attack? Fist fight? Try whatever you like! Giving 'em a tough attack, My hot blood burns like fire, Men won't stop fighting 'til they gain victory, Sing this winning song, Hot-blooded fighter's march!","5.0","5.5","n/a","ADK","1994 ","http://www.gamefaqs.com/arcade/564193-aggressors-of-dark-kombat"
"Air Assault","Action,Shooter,Scrolling","Air Assault is an Action game, published by Irem,which was released in 1993.","n/a","6.0","n/a","Irem","1993 ","http://www.gamefaqs.com/arcade/566428-air-assault"
"Air Buster","Action,Shooter,Scrolling","Air Buster is an Action game, developed by Kaneko and published by Namco,which was released in 1990.","n/a","6.3","n/a","Kaneko","1990 ","http://www.gamefaqs.com/arcade/575676-air-buster"
"Air Combat","Simulation,Flight,Modern Jet","Air Combat is a Simulation game, published by Namco,which was released in 1992.","n/a","6.0","n/a","Namco","1992 ","http://www.gamefaqs.com/arcade/566429-air-combat"
"Air Combat (1976)","Action,Shooter,Static","Air Combat (1976) is an Action game, developed and published by Digital Games Incorporated,which was released in 1976.","n/a","6.0","n/a","Digital Games Incorporated","1976 ","http://www.gamefaqs.com/arcade/926730-air-combat-1976"
"Air Combat 22","Simulation,Flight,Modern Jet","Air Combat 22 is a Simulation game, published by Namco,which was released in 1995.","n/a","7.0","n/a","Namco","1995 ","http://www.gamefaqs.com/arcade/915775-air-combat-22"
"Air Duel","Action,Shooter,Scrolling","Air Duel is an Action game, published by Irem,which was released in Japan in 1990.","3.0","5.5","n/a","Irem","1990 ","http://www.gamefaqs.com/arcade/566430-air-duel"
"Air Gallet","Action,Shooter,Scrolling","Air Gallet is an Action game, developed by Gazelle and published by Banpresto,which was released in 1996.","7.5","8.0","n/a","Gazelle","1996 ","http://www.gamefaqs.com/arcade/566431-air-gallet"
"Air Inferno","Simulation,Flight,Civilian Plane","Air Inferno is a Simulation game, published by Taito Corporation,which was released in 1990.","n/a","5.0","n/a","Taito Corporation","1990 ","http://www.gamefaqs.com/arcade/566432-air-inferno"
"Air Raid","Action,Shooter,Scrolling","Air Raid is an Action game, published by Seibu Kaihatsu,which was released in 1987.","n/a","n/a","n/a","Seibu Kaihatsu","1987 ","http://www.gamefaqs.com/arcade/566433-air-raid"
"Air Rescue","Action,Shooter,Scrolling","Maneuver your Rescue Chopper through tight underground passages, blazing wreckage and treacherous enemy attacks to save the leaders of the world from the hands of terrorists!","n/a","6.5","n/a","Sega","1991 ","http://www.gamefaqs.com/arcade/566434-air-rescue"
"Air Trix","Sports,Alternative,Skateboarding","Air Trix is a Sports game, developed and published by Sega,which was released in 2001.","9.0","9.0","n/a","Sega","2001 ","http://www.gamefaqs.com/arcade/580536-air-trix"
"Airline Pilots","Simulation,Flight,Civilian Plane","Airline Pilots is a Simulation game, published by Sega,which was released in 1999.","n/a","6.0","n/a","Sega","1999 ","http://www.gamefaqs.com/arcade/566435-airline-pilots"
"Airwolf","Action,Shooter,Scrolling","Deep within enemy territory, your fellow countrymen are imprisoned. Only one man in the free world would dare attempt to save them. You, Stringfellow Hawke, commander of Airwolf. And yet, as you strap yourself into the cockpit of your supersonic jet copter, you know this is the most dangerous assignment you have ever flown. Your mission is mapped out. Airwolf's heat-seeking missiles and superpowered machine guns are fired up, ready to blow the terrorists away. But can you evade enemy radar time after time? Can you sneak behind the enemy lines, find the captives and bring them to safety before you crash land or worse? Headquarters knows that you have the skill and firepower it takes. You say you've got the guts... now prove it!","n/a","6.9","n/a","Kyugo Boueki","1987 ","http://www.gamefaqs.com/arcade/566437-airwolf"
"Ajax","Action,Shooter,Scrolling","Ajax is an Action game, developed and published by Konami,which was released in 1987.","10.0","7.8","n/a","Konami","1987 ","http://www.gamefaqs.com/arcade/565459-ajax"
"Akai Katana","Action,Shooter,Scrolling","Akai Katana is an Action game, developed and published by Cave,which was released in Japan in 2010.","n/a","5.7","n/a","Cave","Aug 19, 2010 ","http://www.gamefaqs.com/arcade/999128-akai-katana"
"Akai Katana Shin","Action,Shooter,Scrolling","Unleash the power of the Blood Katana The Empires war has ravaged the world and the people are suffering in its relentless pursuit of domination using the feared Blood Katanas. The sacrifices have been great, their deaths giving power to these blades. Do you have the strength to lead a small band of rebels to victory in the face of overwhelming odds?","","","","","","http://www.gamefaqs.com/arcade/672629-akai-katana-shin"
"Akatsuki Denkou Senki: Ausf.Achse","Action,General","Akatsuki Denkou Senki: Ausf.Achse is an Action game, developed and published by Subtle Style,which was released in Japan in 2008.","n/a","9.0","n/a","Subtle Style","Feb 28, 2008 ","http://www.gamefaqs.com/arcade/606515-akatsuki-denkou-senki-ausfachse"
"Akka Arrh","Action,Shooter,Scrolling","Akka Arrh is an Action game, published by Atari,which was released in 1982.","n/a","n/a","n/a","Atari","1982 ","http://www.gamefaqs.com/arcade/566438-akka-arrh"
"Space Invaders '95: The Attack of the Lunar Loonies","Action,Shooter,Scrolling","Space Invaders '95: The Attack of the Lunar Loonies is an Action game, developed and published by Taito Corporation,which was released in 1995.","n/a","6.5","n/a","Taito Corporation","1995 ","http://www.gamefaqs.com/arcade/567200-space-invaders-95-the-attack-of-the-lunar-loonies"
"Akuma","Action,Shooter,Light Gun","Akuma is an Action game,with no announced release date.","","","","","","http://www.gamefaqs.com/arcade/926540-akuma"
"Haunted Castle","Action,Platformer,2D","Haunted Castle is an Action game, developed and published by Konami,which was released in 1988.","4.4","5.6","","","","http://www.gamefaqs.com/arcade/575533-haunted-castle"
"Akumajou Dracula: The Arcade","Action,Shooter,Light Gun","Akumajou Dracula: The Arcade is an Action game, developed and published by Konami,which was released in Japan in 2009.","n/a","5.0","n/a","Konami","February 2009 ","http://www.gamefaqs.com/arcade/954335-akumajou-dracula-the-arcade"
"Air Gallet","Action,Shooter,Scrolling","Air Gallet is an Action game, developed by Gazelle and published by Banpresto,which was released in 1996.","7.5","8.0","n/a","Gazelle","1996 ","http://www.gamefaqs.com/arcade/566431-air-gallet"
