"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A.J.'s World of Discovery","Miscellaneous,Edutainment","Who's this little fellow on our screen? He's A.J., that's who. And he's about to invite you to his own &quot;World of Discovery&quot;.A.J.'s World of Discovery is an educational game where kids can play numerous mini-games.","n/a","n/a","n/a","Coktel Vision","1991 ","http://www.gamefaqs.com/ast/696940-ajs-world-of-discovery"
"A320 Airbus","Simulation,Flight,Civilian Plane","A320 Airbus is a Simulation game, developed and published by Thalion,which was released in Europe in 1991.","n/a","n/a","n/a","Thalion","1991 ","http://www.gamefaqs.com/ast/949410-a320-airbus"
"Aaargh!","Action,General","Destruction is the name of the game as two mighty monsters pulverize buildings, torch attacking insects and flying reptiles, search for food - not to mention the occasional native - to restore your strength as you battle to reach the fiery volcano and your chance to grab the golden egg. Bulldoze your way through the 12 cities of the Lost Island in a quest for the Golden Dragon's Egg. With head-to-head battles against your only rival in the mean monster stakes along the way, this is a real challenge. Fast all-action, hand-to-hand combat, huge colorful animated graphics, superb backdrops and ear-splitting stereo sound effects, all combine to make AAARGH an instant hit!","n/a","n/a","n/a","Melbourne House","1989 ","http://www.gamefaqs.com/ast/948649-aaargh"
"Action Fighter","Action,Shooter,Scrolling","Take to the streets. Or take to the skies. Because Action Fighter is the incredible, transformable combat fighter! You start out on a customized cycle. Built with enough speed and power to jump over water and overtake enemies. Then, by finding the right parts along the way, you'll change your cycle into a supercharged, state-of-the-art sports car. Next, add two turbojets to make your car airborne. And take to the skies! Down hyped-up helicopters and jet spaceships from above. And no matter which vehicle you're manning - or who you're after - get ready to stand by for action!","n/a","n/a","n/a","Core Design Ltd.","1989 ","http://www.gamefaqs.com/ast/949411-action-fighter"
"Combat Course","Action,General","Combat Course is an Action game, developed by CobraSoft and published by Mindscape Inc.,which was released in 1988.","n/a","4.0","n/a","CobraSoft","1988 ","http://www.gamefaqs.com/ast/949427-combat-course"
"The Addams Family","Action,Platformer,2D","THE ADDAMS FAMILY has been evicted! To save their home from Tully Alford, the family attorney, who is after the family fortune - Morticia, Lurch, Granny, Pugsley and Wednesday have gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you'll find stashes of cash hidden all over the house. You'll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You'll need to look for clues and slove many mysterious puzzles as you search for your family. You may even need someThing","n/a","10.0","n/a","Ocean","1992 ","http://www.gamefaqs.com/ast/936799-the-addams-family"
"ADS - Advanced Destroyer Simulator","Simulation,Ship","ADS - Advanced Destroyer Simulator is a Simulation game, developed and published by Futura,which was released in Europe in 1990.","n/a","n/a","n/a","Futura","1990 ","http://www.gamefaqs.com/ast/948650-ads-advanced-destroyer-simulator"
"Advanced Fruit Machine Simulator","Miscellaneous,Parlor,Gambling","Advanced Fruit Machine Simulator is a Miscellaneous game, developed and published by Codemasters,which was released in Europe in 1991.","n/a","n/a","n/a","Codemasters","1991 ","http://www.gamefaqs.com/ast/949412-advanced-fruit-machine-simulator"
"Advanced Galactic Empire","Action Adventure,Sci-Fi","Advanced Galactic Empire is an Action Adventure game, developed by Tomahawk and published by Coktel Vision,which was released in Europe in 1991.","n/a","n/a","n/a","Tomahawk","1991 ","http://www.gamefaqs.com/ast/936874-advanced-galactic-empire"
"Advanced Rugby Simulator","Sports,Alternative,Rugby","Advanced Rugby Simulator is a Sports game, developed and published by Codemasters,which was released in Europe in 1989.","n/a","n/a","n/a","Codemasters","1989 ","http://www.gamefaqs.com/ast/949413-advanced-rugby-simulator"
"The Adventures of Robbo","Miscellaneous,Puzzle,General","The Adventures of Robbo is a Miscellaneous game, developed by XLAND and published by LK Avalon,which was released in Europe in 1994.","n/a","n/a","n/a","XLAND","1994 ","http://www.gamefaqs.com/ast/936800-the-adventures-of-robbo"
