"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Aabatron","Action,Shooter,Static","Aabatron is an Action game, developed and published by Clemoes,which was released in Europe in 1984.","n/a","n/a","n/a","Clemoes","1984 ","http://www.gamefaqs.com/bbc/950658-aabatron"
"Abyss","Miscellaneous,Compilation","Far away from here, in a hidden gorge through the Mountian of the Golden Lion, lies the ofrgotten ABYSS. Forgotten, that is until now, when brave and sometimes foolhardy adventures strive to cross it. You are one of the elite band whose sole aim is to destroy the many evil monsters that lurk in the shadows, waiting for the next meal to come strolling across one of the many bridges in the ABYSS.","n/a","6.0","n/a","CCS","1984 ","http://www.gamefaqs.com/bbc/950134-abyss"
"Acheton","Adventure,Text","Acheton is an Adventure game, developed and published by Acornsoft,which was released in Europe in 1984.","n/a","n/a","n/a","Acornsoft","1984 ","http://www.gamefaqs.com/bbc/949285-acheton"
"Acorn Adventure","Adventure,Text","Acorn Adventure is an Adventure game, developed and published by CSL Microdata,which was released in Europe in 1983.","n/a","4.0","n/a","CSL Microdata","1983 ","http://www.gamefaqs.com/bbc/950156-acorn-adventure"
"Adventure","Adventure,Text","Adventure is an Adventure game, developed and published by Micro Power,which was released in Europe in 1983.","n/a","n/a","n/a","Micro Power","1983 ","http://www.gamefaqs.com/bbc/949661-adventure"
"Adventure 1: Secret River","Adventure,Text","Adventure 1: Secret River is an Adventure game, developed and published by Triffid Software Research,which was released in Europe in 1984.","n/a","n/a","n/a","Triffid Software Research","1984 ","http://www.gamefaqs.com/bbc/950676-adventure-1-secret-river"
"Adventure 2: Wizards Citadel","Adventure,Text","Adventure 2: Wizards Citadel is an Adventure game, developed and published by Triffid Software Research,which was released in Europe in 1984.","n/a","n/a","n/a","Triffid Software Research","1984 ","http://www.gamefaqs.com/bbc/950675-adventure-2-wizards-citadel"
"Adventureland","Adventure,Text","Adventureland is an Adventure game, developed and published by Adventuresoft UK Ltd,which was released in Europe in 1984.","n/a","n/a","n/a","Adventuresoft UK Ltd","1984 ","http://www.gamefaqs.com/bbc/951107-adventureland"
"Air Traffic Control Simulator","Simulation,General","Air Traffic Control Simulator is a Simulation game, developed and published by Hewson,which was released in Europe in 1983.","n/a","n/a","n/a","Hewson","1983 ","http://www.gamefaqs.com/bbc/950677-air-traffic-control-simulator"
"Airline","Strategy,Tycoon","Airline is a Strategy game, developed and published by CCS,which was released in Europe in 1983.","n/a","n/a","n/a","CCS","1983 ","http://www.gamefaqs.com/bbc/950135-airline"
"Alien 8","Adventure,General","Alien 8 uses the filmation process where the only limits are those of your imagination. Featuring three dimensional movement, materializing numbers and disappearing corridors. The animation is so good you will think you are really there.","n/a","9.0","n/a","Ultimate Play The Game","1985 ","http://www.gamefaqs.com/bbc/950441-alien-8"
"Alien Break In","Action,Shooter,Static","Alien Break In is an Action game, developed and published by Romik Software,which was released in Europe in 1983.","n/a","n/a","n/a","Romik Software","1983 ","http://www.gamefaqs.com/bbc/950327-alien-break-in"
"Alien Destroyers","Action,Shooter,Static","Alien Destroyers is an Action game, developed and published by Micro Power,which was released in Europe in 1982.","n/a","n/a","n/a","Micro Power","1982 ","http://www.gamefaqs.com/bbc/949662-alien-destroyers"
