"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Capcom Quiz World 2","Miscellaneous,Trivia / Game Show","Capcom Quiz World 2 is a Miscellaneous game, developed and published by Capcom,which was released in Japan in 1994.","n/a","n/a","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/937831-capcom-quiz-world-2"
"Captain Commando","Action,Beat-'Em-Up","Captain Commando is an Action game, developed and published by Capcom,which was released in Japan in 1995.","n/a","n/a","n/a","Capcom","1995 ","http://www.gamefaqs.com/cps/934468-captain-commando"
"CPS Changer","Hardware,Console","CPS Changer is a Hardware game, developed and published by Capcom,which was released in Japan in 1994.","n/a","7.5","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/934112-cps-changer"
"CPS Changer","Hardware,Console","CPS Changer is a Hardware game, developed and published by Capcom,which was released in Japan in 1994.","n/a","7.5","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/934112-cps-changer"
"Final Fight","Action,Beat-'Em-Up","When Haggar became Mayor of Metro City, he thought he had put his street fighting days behind him for good. No such luck - his delectable daughter, Jessica, has been kidnapped by the lawless Mad Gear Gang and Haggar must face his Final Fight!","n/a","n/a","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/937830-final-fight"
"The King of Dragons","Action,Beat-'Em-Up","The King of Dragons is an Action game, developed and published by Capcom,which was released in Japan in 1995.","n/a","n/a","n/a","Capcom","1995 ","http://www.gamefaqs.com/cps/937824-the-king-of-dragons"
"Knights of the Round","Action,Beat-'Em-Up","Knights of the Round is an Action game, developed and published by Capcom,which was released in Japan in 1995.","n/a","n/a","n/a","Capcom","1995 ","http://www.gamefaqs.com/cps/937829-knights-of-the-round"
"Muscle Bomber","Action,Fighting,Wrestling","Muscle Bomber is an Action game, developed and published by Capcom,which was released in Japan in 1994.","n/a","n/a","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/937832-muscle-bomber"
"Muscle Bomber 2: Burn Up Warriors","Action,Fighting,Wrestling","Muscle Bomber 2: Burn Up Warriors is an Action game, developed and published by Capcom,which was released in Japan in 1995.","n/a","n/a","n/a","Capcom","1995 ","http://www.gamefaqs.com/cps/937828-muscle-bomber-2-burn-up-warriors"
"Street Fighter II","Action,Fighting,2D","From across the globe comes eight of the wildest fighters the world has ever known. Choose your champion, gather your courage and prepare to battle your opponents in a bare knuckle brawl. Face Ken and his devastation &quot;Dragon Punch&quot;! Watch the temperature rise as Dhalsim incinerates you with his mystical Yoga Flame! Hear your spine crack as Zangief smashes you to the pavement with his spinning pile driver! Cover your ears as Guile breaks the sound barrier with the awesome power of the Sonic Boom!Annihilate your competition and claim the right to test your skills against the bone-crushing power of the Grand Masters! Can you survive? Can Anyone?","n/a","8.8","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/937827-street-fighter-ii"
"Street Fighter II Turbo","Action,Fighting,2D","They're back and they're badder than ever! Faster, stronger and with all new moves, twelve of the greatest fighters from across the globe are ready to do battle! Choose your champion and get ready for the big brawl as they try to earn the right to battle M. Bison for the title. And just when you think you've mastered it all, crank it up a notch and go TURBO!","n/a","9.3","n/a","Capcom","1994 ","http://www.gamefaqs.com/cps/937826-street-fighter-ii-turbo"
"Street Fighter Zero","Action,Fighting,2D","Street Fighter Zero is an Action game, developed and published by Capcom,which was released in Japan in 1996.","n/a","7.0","n/a","Capcom","March 1996 ","http://www.gamefaqs.com/cps/934571-street-fighter-zero"
"Tenchi O Kurau II","Action,Beat-'Em-Up","Tenchi O Kurau II is an Action game, developed and published by Capcom,which was released in Japan in 1995.","n/a","n/a","n/a","Capcom","1995 ","http://www.gamefaqs.com/cps/937825-tenchi-o-kurau-ii"
