"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Alcazar the Forgotten Fortress","US","Action,General","Alcazar the Forgotten Fortress is an Action game, published by Telegames, Inc.,which was released in 1985.","4.0","n/a","n/a","Telegames, Inc.","1985 ","http://www.gamefaqs.com/colecovision/585450-alcazar-the-forgotten-fortress"
"Alphabet Zoo","US","Miscellaneous,General","Alphabet Zoo is a Miscellaneous game, developed and published by Spinnaker Software,which was released in 1983.","n/a","10.0","n/a","Spinnaker Software","1983 ","http://www.gamefaqs.com/colecovision/585451-alphabet-zoo"
"Amazing Bumpman","US","Action,General","Amazing Bumpman is an Action game, developed by VSS and published by Telegames, Inc.,which was released in 1984.","n/a","7.0","n/a","VSS","1984 ","http://www.gamefaqs.com/colecovision/585452-amazing-bumpman"
"Antarctic Adventure","US","Driving,Racing,On-foot","Antarctic Adventure is a Driving game, developed and published by Konami,which was released in 1984.","7.0","7.0","n/a","Konami","1984 ","http://www.gamefaqs.com/colecovision/585453-antarctic-adventure"
"Aqua Attack","US","Action,Shooter,Scrolling","Aqua Attack is an Action game, published by Interphase,which was released in 1984.","n/a","n/a","n/a","Interphase","1984 ","http://www.gamefaqs.com/colecovision/585454-aqua-attack"
"Artillery Duel","US","Action,General","A two player game of skill and strategy as you try to knock out your enemy's gun emplacement. New random terrains in each battle!","n/a","7.7","n/a","Action Graphics","1983 ","http://www.gamefaqs.com/colecovision/585455-artillery-duel"
"BC's Quest for Tires","US","Action,General","BC's Quest for Tires is an Action game, developed by Artech Studios and published by Sierra Entertainment,which was released in 1983.","n/a","8.0","n/a","Artech Studios","1983 ","http://www.gamefaqs.com/colecovision/585456-bcs-quest-for-tires"
"BC's Quest for Tires II- Grog's Revenge","US","Action,General","BC's Quest for Tires II- Grog's Revenge is an Action game, published by Sierra Entertainment,which was released in 1984.","n/a","9.0","n/a","Sierra Entertainment","1984 ","http://www.gamefaqs.com/colecovision/585500-bcs-quest-for-tires-ii-grogs-revenge"
"Beamrider","US","Action,Shooter,Scrolling","A beam matrix of iridescent blue engulfs the distant blackness of Earth-Space. You stand watching. First mesmerized, you now realize the beams carry weapons. Frightening creations in endless configurations. Intriguing to watch, but will you--yes you, dear reader--take action? You will??!! Then roll up your sleeves, mount these beams and...ride!!","n/a","9.3","n/a","Action Graphics","1983 ","http://www.gamefaqs.com/colecovision/585457-beamrider"
"Blockade Runner","US","Action,General","Blockade Runner is a great visual concept in video games - play by yourself or team with a friend to bring home to earth four ships loaded with vital supplies. Enemy aliens have blockaded your route, so you must flash through a mine-filled asteroid belt to avoid destruction. You steer and shoot from your ship's nose-cone command post as the universe rushes past your eyes!","n/a","10.0","n/a","Interphase","1984 ","http://www.gamefaqs.com/colecovision/585458-blockade-runner"
"Boulder Dash","US","Action,General","The ultimate underground journey, but be forewarned - nothing less than perfection is required! Boulder Dash will challenge your mind and reflexes like no other game. The objective is to search throughout each cave and collect as many jewels in as short a time as possible. Once the indicated amount has been collected, the door to the mysterious escape tunnel is revealed and you go to the next level. Boulders drop predictably enough, but you and Rockford also have to block growing amoebas, transform butterflies, outmaneuver fireflies, and overcome other numerous obstacles.","n/a","6.5","n/a","Micro Fun","1984 ","http://www.gamefaqs.com/colecovision/585459-boulder-dash"
"Brain Strainers","US","Miscellaneous,Puzzle,General","Brain Strainers is a Miscellaneous game, developed by Carousel Software Inc. and published by Coleco,which was released in 1984.","n/a","5.0","n/a","Carousel Software Inc.","1984 ","http://www.gamefaqs.com/colecovision/585460-brain-strainers"
"Buck Rogers: Planet of Zoom","US","Action,Shooter,Scrolling","It's the 25th Century. You are Buck Rogers fighting the battle of Planet Zoom. Skillfully slip through zapping electron posts. Dodge and destroy deadly space hoppers and alien saucers. Your race against death has just begun! Prepare for battle with your most powerful enemy... the Mother Ship! It's never easy when it's do or die. You must hit the Mother Ship dead center. Anything less will only waste precious fuel. Aim steady, but hurry... your fuel is dangerously low!","n/a","5.9","n/a","Sega","1983 ","http://www.gamefaqs.com/colecovision/585461-buck-rogers-planet-of-zoom"
"Bump 'N Jump","US","Action,General","The wackiest thing to happen to driving since rush hour! You're racing down a highway, but there's a traffic jam up ahead. You can bump the cars out of the way, or jump them to score points. But slow drivers aren't the only hazards on the road! You must jump over water, and debris dropped in your path by dumptrucks. And beware of the reckless driver! Get out of enough jams and you can stop at the gas station for a fill-up.","n/a","7.7","n/a","Coleco","1984 ","http://www.gamefaqs.com/colecovision/585462-bump-n-jump"
"BurgerTime","US","Action,General","As the burger chef, you're out to build delicious hamburgers. As you run through the colorful maze assembling the ingredients, nothing can stop you. Except menacing hot dogs and pickles that are out to ruin the meal! Bury them under beef patties, lettuce and buns. Or, knock them out with pepper. Build four burgers and you're on to the next level.","4.0","7.6","n/a","Interceptor","1984 ","http://www.gamefaqs.com/colecovision/563262-burgertime"
"Cabbage Patch Kids Adventure in the Park","US","Action,General","Cabbage Patch Kids Adventure in the Park is an Action game, developed by Konami and published by Coleco,which was released in 1984.","n/a","7.3","n/a","Konami","1984 ","http://www.gamefaqs.com/colecovision/585463-cabbage-patch-kids-adventure-in-the-park"
"Cabbage Patch Kids Picture Show","US","Action,General","Cabbage Patch Kids Picture is an Action game, published by Coleco,which was released in 1984.","n/a","n/a","n/a","Coleco","1984 ","http://www.gamefaqs.com/colecovision/585464-cabbage-patch-kids-picture"
"Campaign '84","US","Action,General","Campaign '84 is an Action game, developed by VSS and published by Sunrise Software Inc.,which was released in 1983.","n/a","5.0","n/a","VSS","1983 ","http://www.gamefaqs.com/colecovision/585465-campaign-84"
"Carnival","US","Action,General","Ready... aim... fire! It's the closest thing you'll ever find to an old-fashioned shooting gallery! You'll blast away at a wide variety of moving targets, as you test your marksmanship and skill. Track 'em down, line up your shots and fire at will, but use each bullet wisely because your ammunition is limited! How many targets can you hit before you run out of bullets?","n/a","7.1","n/a","Coleco","1982 ","http://www.gamefaqs.com/colecovision/585466-carnival"
