"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Advanced Daisenryaku 2001","Strategy,Turn-Based,Modern","Advanced Daisenryaku 2001 is a Strategy game, developed by SystemSoft and published by Sega,which was released in Japan in 2001.","n/a","7.2","n/a","SystemSoft","Apr 26, 2001 ","http://www.gamefaqs.com/dreamcast/581055-advanced-daisenryaku-2001"
"Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen","Strategy,General","Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen is a Strategy game, developed by SystemSoft and published by Sega,which was released in Japan in 2000.","n/a","8.0","n/a","SystemSoft","Jun 22, 2000 ","http://www.gamefaqs.com/dreamcast/577234-advanced-daisenryaku-europe-no-arashi-doitsu"
"AeroWings 2: Air Strike","Simulation,Flight,Modern Jet","As an elite fighter pilot, you're in command of the swiftest and deadliest military jets available. Build and hone your skills to razor sharpness. Then unleash them upon an unsuspecting foe in this ultimate test of fully.","7.0","6.8","74","CRI","Aug 27, 2000 ","http://www.gamefaqs.com/dreamcast/259173-aerowings-2-air-strike"
"Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou","Simulation,Flight,Modern Jet","Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou is a Simulation game, developed and published by CRI,which was released in Japan in 2000.","n/a","6.7","n/a","CRI","Nov 16, 2000 ","http://www.gamefaqs.com/dreamcast/579245-aero-dancing-f-todoroki-tsubasa-no-hatsu-hikou"
"AeroWings","Simulation,Flight,Modern Jet","The only thing standing between you and reality is a piece of glass. Snaproll, flip, and spin through stunning, detailed landscapes. Fly in formation or go solo with fives modes of gameplay. Just try not to fog up the glass, okay?","5.3","6.8","","","","http://www.gamefaqs.com/dreamcast/196552-aerowings"
"Aero Dancing i","Simulation,Flight,Modern Jet","Aero Dancing i is a Simulation game, developed and published by CRI,which was released in Japan in 2001.","8.0","8.0","n/a","CRI","Feb 15, 2001 ","http://www.gamefaqs.com/dreamcast/579306-aero-dancing-i"
"Aero Dancing i: Jikai Sakuma de Machite Masen","Simulation,Flight,Modern Jet","Aero Dancing i: Jikai Sakuma de Machite Masen is a Simulation game, developed and published by CRI,which was released in Japan in 2001.","n/a","8.0","n/a","CRI","Aug 23, 2001 ","http://www.gamefaqs.com/dreamcast/581574-aero-dancing-i-jikai-sakuma-de-machite-masen"
"Aero Dancing: Torodoki Taichou no Himitsu Disc","Simulation,Flight,Modern Jet","Aero Dancing: Torodoki Taichou no Himitsu Disc is a Simulation game, developed and published by CRI,which was released in Japan in 2000.","n/a","7.0","n/a","CRI","Jan 20, 2000 ","http://www.gamefaqs.com/dreamcast/576774-aero-dancing-torodoki-taichou-no-himitsu-disc"
"AeroWings","Simulation,Flight,Modern Jet","The only thing standing between you and reality is a piece of glass. Snaproll, flip, and spin through stunning, detailed landscapes. Fly in formation or go solo with fives modes of gameplay. Just try not to fog up the glass, okay?","5.3","6.8","","","","http://www.gamefaqs.com/dreamcast/196552-aerowings"
"AeroWings 2: Air Strike","Simulation,Flight,Modern Jet","As an elite fighter pilot, you're in command of the swiftest and deadliest military jets available. Build and hone your skills to razor sharpness. Then unleash them upon an unsuspecting foe in this ultimate test of fully.","7.0","6.8","74","CRI","Aug 27, 2000 ","http://www.gamefaqs.com/dreamcast/259173-aerowings-2-air-strike"
"After...","Adventure,General","After... is an Adventure game, developed and published by Pione Soft,which was released in Japan in 2004.","n/a","5.0","n/a","Pione Soft","Feb 26, 2004 ","http://www.gamefaqs.com/dreamcast/919311-after"
"Agartha","Adventure,General","Agartha is an Adventure game, developed by No Cliche and published by Sega,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/dreamcast/370606-agartha"
"Aikagi","Adventure,General","Aikagi is an Adventure game, developed by S-Neo and published by NEC Interchannel,which was released in Japan in 2003.","n/a","n/a","n/a","S-Neo","Aug7, 2003 ","http://www.gamefaqs.com/dreamcast/917539-aikagi"
"Air","Adventure,General","Air is an Adventure game, developed by Key and published by NEC Interchannel,which was released in Japan in 2001.","9.0","7.7","n/a","Key","Sep 20, 2001 ","http://www.gamefaqs.com/dreamcast/581835-air"
"AirForce Delta","Simulation,Flight,Modern Jet","Ever been screaming along at Mach 2 and ordered to drop 6,000 pounds of bombs on a target no bigger than a Yugo? Or get that feeling of multiple bogeys closing in on your tail for a lock-on to blow you out of the sky? You've been contracted by a mercenary group to fuel-up, strap-in and snuff out the enemy. And to sweeten the pot in this &quot;The more you take out, the more you take home&quot; deal, you can upgrade your ride, choosing from over 30 different aircraft to get the job done. You in? Then get ready to grab some serious air!","7.3","7.1","","","","http://www.gamefaqs.com/dreamcast/196566-airforce-delta"
"Akihabara Dennou Kumi Peta Pies!","Strategy,Breeding/Constructing","Akihabara Dennou Kumi Peta Pies! is a Strategy game, developed by West One and published by Sega,which was released in Japan in 1999.","n/a","4.0","n/a","West One","Jul 29, 1999 ","http://www.gamefaqs.com/dreamcast/576241-akihabara-dennou-kumi-peta-pies"
"Alien Front Online","Action,Shooter,Third-Person,Sci-Fi","The Triclops have invaded the Earth with a simple plan: the eradication of all human life! Become a tank commander and obliterate the alien invaders, or join the elite Triclops Guard and crush any human scum that stand in the way. Regardless of which side you choose, you'll possess enough weaponry to completely destroy your enemies. One team will decide the fate of the globe!","8.0","7.1","76","Sega","Aug9, 2001 ","http://www.gamefaqs.com/dreamcast/914120-alien-front-online"
