"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Adian no Tsue","UN","Action Adventure,Fantasy","Adian no Tsue is an Action Adventure game, developed and published by SunSoft,which was released in Japan in 1986.","n/a","6.3","n/a","SunSoft","Dec 12, 1986 ","http://www.gamefaqs.com/famicomds/578355-adian-no-tsue"
"Ai Senshi Nicol","UN","Role-Playing,Action RPG","Ai Senshi Nicol is a Role-Playing game, developed and published by Konami,which was released in Japan in 1987.","n/a","9.2","n/a","Konami","Apr 24, 1987 ","http://www.gamefaqs.com/famicomds/578408-ai-senshi-nicol"
"Akai Yousai","UN","Action,Shooter,Scrolling","Akai Yousai is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","8.5","n/a","Konami","May2, 1988 ","http://www.gamefaqs.com/famicomds/578590-akai-yousai"
"Final Commando: Akai Yousai","JP","Action,Shooter,Scrolling","Akai Yousai is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","8.5","n/a","Konami","May2, 1988 ","http://www.gamefaqs.com/famicomds/578590-akai-yousai"
"Akumajou Dracula","UN","Action,Platformer,2D","Akumajou Dracula is an Action game, developed and published by Konami,which was released in Japan in 1986.","7.5","8.5","","Konami","Sep 26, 1986 ","http://www.gamefaqs.com/famicomds/921695-akumajou-dracula"
"Akuu Senki Raijin","UN","Action,Shooter,Scrolling","Akuu Senki Raijin is an Action game, developed by Micro Cabin and published by SquareSoft,which was released in Japan in 1988.","n/a","6.0","n/a","Micro Cabin","Jul 12, 1988 ","http://www.gamefaqs.com/famicomds/578614-akuu-senki-raijin"
"Aliens","UN","Action,General","Aliens is an Action game, developed and published by SquareSoft,which was cancelled before it was released.","","","","SquareSoft","Canceled ","http://www.gamefaqs.com/famicomds/619883-aliens"
"All 1","UN","Miscellaneous,Puzzle,General","All 1 is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1991.","n/a","n/a","n/a","Tokuma Shoten","Feb 22, 1991 ","http://www.gamefaqs.com/famicomds/570523-all-1"
"All 1 - Famimaga Disk Vol. 3","JP","Miscellaneous,Puzzle,General","All 1 is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1991.","n/a","n/a","n/a","Tokuma Shoten","Feb 22, 1991 ","http://www.gamefaqs.com/famicomds/570523-all-1"
"All 1","UN","Miscellaneous,Puzzle,General","All 1 is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1991.","n/a","n/a","n/a","Tokuma Shoten","Feb 22, 1991 ","http://www.gamefaqs.com/famicomds/570523-all-1"
"All 1 - Famimaga Disk Vol. 3","JP","Miscellaneous,Puzzle,General","All 1 is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1991.","n/a","n/a","n/a","Tokuma Shoten","Feb 22, 1991 ","http://www.gamefaqs.com/famicomds/570523-all-1"
"All Night Nippon Super Mario Bros.","UN","Action,Platformer,2D","All Night Nippon Super Mario Bros. is an Action game, developed by Nintendo and published by Fuji Television,which was released in Japan in 1986.","n/a","7.1","n/a","Nintendo","1986 ","http://www.gamefaqs.com/famicomds/925395-all-night-nippon-super-mario-bros"
"Apple Town Monogatari","UN","Miscellaneous,General","Apple Town Monogatari is a Miscellaneous game, developed and published by SquareSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SquareSoft","Apr3, 1987 ","http://www.gamefaqs.com/famicomds/578403-apple-town-monogatari"
"Apple Town Monogatari: Little Computer People","JP","Miscellaneous,General","Apple Town Monogatari is a Miscellaneous game, developed and published by SquareSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SquareSoft","Apr3, 1987 ","http://www.gamefaqs.com/famicomds/578403-apple-town-monogatari"
"Apple Town Monogatari","UN","Miscellaneous,General","Apple Town Monogatari is a Miscellaneous game, developed and published by SquareSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SquareSoft","Apr3, 1987 ","http://www.gamefaqs.com/famicomds/578403-apple-town-monogatari"
