"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"A-Force","US","Action,Shooter,Static","A-Force is an Action game, developed and published by Sachen,which was released in Asia in 1993.","n/a","4.8","n/a","Sachen","1993 ","http://www.gamefaqs.com/gameboy/941558-a-force"
"A-Force: Armour Force","AS","Action,Shooter,Static","A-Force is an Action game, developed and published by Sachen,which was released in Asia in 1993.","n/a","4.8","n/a","Sachen","1993 ","http://www.gamefaqs.com/gameboy/941558-a-force"
"A-Force","US","Action,Shooter,Static","A-Force is an Action game, developed and published by Sachen,which was released in Asia in 1993.","n/a","4.8","n/a","Sachen","1993 ","http://www.gamefaqs.com/gameboy/941558-a-force"
"A-Force: Armour Force","AS","Action,Shooter,Static","A-Force is an Action game, developed and published by Sachen,which was released in Asia in 1993.","n/a","4.8","n/a","Sachen","1993 ","http://www.gamefaqs.com/gameboy/941558-a-force"
"Aa Harimanada","US","Sports,General","Aa Harimanada is a Sports game, developed by Atelier Double and published by ASK,which was released in Japan in 1993.","n/a","n/a","n/a","Atelier Double","Jul 23, 1993 ","http://www.gamefaqs.com/gameboy/569539-aa-harimanada"
"The Addams Family","US","Action,Platformer,2D","THE ADDAMS FAMILY has been evicted! To save their home from Tully Alford, the family attorney, who is after the family fortune - Morticia, Lurch, Granny, Pugsley and Wednesday have gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you'll find stashes of cash hidden all over the house. You'll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You'll need to look for clues and slove many mysterious puzzles as you search for your family. You may even need someThing","4.0","5.2","","Ocean","January 1992 ","http://www.gamefaqs.com/gameboy/585598-the-addams-family"
"The Addams Family: Pugsley's Scavenger Hunt","US","Action,Platformer,2D","Darling little Pugsley has lost his family to kidnappers who have hidden them as prisoners in their own spooky home. Only lovable little Pugsley can rescue them by hunting for delightfully strange items located in secret spots in their weird mansion. What oddities and atrocities await him! There are twisted creatures and complex features at every turn of the task.If precious little Pugsley is able, he'll find and rescue Gomez, Granny, Wednesday and Uncle Fester and see them to the music room. Each one holds a piece of the unnaturally lovely music which Lurch must play to unlock the secret passage leading to Morticia.Pugsley's only helper is the charmingly bizarre Thing, who brings him startling messages to help him along.So get ready to get spooky and get set to get kooky... it's Pugsley's Scavenger Hunt!","n/a","4.7","","Enigma Variations","July 1993 ","http://www.gamefaqs.com/gameboy/585599-the-addams-family-pugsleys-scavenger-hunt"
"Adventure Island","US","Action,Platformer,2D","You just found out that Princess Leilani was kidnapped by the Evil Witch Doctor and taken to Adventure Island in the South Pacific. You land on Adventure Island without weapons or food. The island is thick with tropical forest, mountains and caves. Hidden on the island are your skateboard, axe, food and other helpful tools you must find by exploring the island. Better find the weapons and food quickly because you will need them to fight the Witch Doctor's spiders, snakes, bats and demons. The Evil Witch Doctor has set lots of traps for you before you can face him one on one. Are you up for the challenge?! Can you live through Adventure Island to save Princess Leilani?!","7.0","7.2","","Hudson","February 1992 ","http://www.gamefaqs.com/gameboy/585600-adventure-island"
"Takahashi Meijin no Bouken Jima II","JP","Action,Platformer,2D","You just found out that Princess Leilani was kidnapped by the Evil Witch Doctor and taken to Adventure Island in the South Pacific. You land on Adventure Island without weapons or food. The island is thick with tropical forest, mountains and caves. Hidden on the island are your skateboard, axe, food and other helpful tools you must find by exploring the island. Better find the weapons and food quickly because you will need them to fight the Witch Doctor's spiders, snakes, bats and demons. The Evil Witch Doctor has set lots of traps for you before you can face him one on one. Are you up for the challenge?! Can you live through Adventure Island to save Princess Leilani?!","7.0","7.2","","Hudson","February 1992 ","http://www.gamefaqs.com/gameboy/585600-adventure-island"
"Adventure Island II: Aliens in Paradise","US","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Takahashi Meijin no Boukenjima III","JP","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Adventure Island II","EU","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Adventure Island II: Aliens in Paradise","US","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Takahashi Meijin no Boukenjima III","JP","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Adventure Island II","EU","Action,Platformer,2D","Adventure Island II: Aliens in Paradise is an Action game, developed and published by Hudson,which was released in Japan in 1993.","10.0","7.3","","Hudson","February 1993 ","http://www.gamefaqs.com/gameboy/585601-adventure-island-ii-aliens-in-paradise"
"Adventures of Lolo","US","Miscellaneous,Puzzle,Action","Prince Lolo of Gentryland visited Eden, a country of love and peace, and enjoyed many pleasant days with Princess Lala of Eden. But one day, Egger, the King of Darkness, who had an evil plot to conquer Eden, spirited the Princess away before Lolo's eyes. After a long and difficult journey, Lolo has come to the evil Castle of the Labyrinth. The castle is guarded by an army of evil monsters led by Egger, the King of Darkness. Can Lolo solve the seemingly endless series of mazes and save Lala? Lolo is not gifted with strength or agility, but has great courage and patience. Now the battle of wits begins. Good luck, Lolo!","8.0","7.8","n/a","HAL Labs","1995 ","http://www.gamefaqs.com/gameboy/562778-adventures-of-lolo"
"Lolo no Daibouken","JP","Miscellaneous,Puzzle,Action","Prince Lolo of Gentryland visited Eden, a country of love and peace, and enjoyed many pleasant days with Princess Lala of Eden. But one day, Egger, the King of Darkness, who had an evil plot to conquer Eden, spirited the Princess away before Lolo's eyes. After a long and difficult journey, Lolo has come to the evil Castle of the Labyrinth. The castle is guarded by an army of evil monsters led by Egger, the King of Darkness. Can Lolo solve the seemingly endless series of mazes and save Lala? Lolo is not gifted with strength or agility, but has great courage and patience. Now the battle of wits begins. Good luck, Lolo!","8.0","7.8","n/a","HAL Labs","1995 ","http://www.gamefaqs.com/gameboy/562778-adventures-of-lolo"
"The Adventures of Pinocchio","US","Action,Platformer,3D","The Adventures of Pinocchio is an Action game, developed by Bit Managers and published by Infogrames,which was cancelled before it was released.","","","","Bit Managers","Canceled ","http://www.gamefaqs.com/gameboy/934383-the-adventures-of-pinocchio"
