"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Ace Combat Advance","UN","Simulation,Flight,Modern Jet","The Ace Combat series makes its debut on the Game Boy Advance with challenging missions, unlockable planes, and free-roaming environments. As the newest pilot in an elite fighter squadron, you must help destroy the Air Strike Force--the military arm of an evil multinational corporation. If you destroy enough enemy planes during your missions, you'll unlock new planes. Fly in air-to-air and air-to-ground missions over arctic, forest, and desert environments. Each environment features destructible buildings and objects.","n/a","5.2","56","Human Soft","Feb 23, 2005 ","http://www.gamefaqs.com/gba/925192-ace-combat-advance"
"Ace Lightning","UN","Action,General","This third-person action-adventure game lets you guide the foremost of the Lightning Knights, Ace Lightning, on his mission to defeat the evil Lord Fear and send him and his gang back to prison in the sixth dimension. The only way to capture Lord Fear is to collect all the pieces of the magical Amulet of Zoar, which he has hidden throughout the Carnival of Doom--a scary place full of exaggeratedly imposing tents, rides and sideshows, with distorted geometry and disturbing lighting effects. You must guide Ace Lightning around the eerie halls of the Carnival, and into its four zones--the Ghost Town, Fun Park, Circus and House of Horror--on his great quest to collect the pieces of the Amulet.","4.0","4.0","n/a","Tiertex Design Studios","Oct 25, 2002 ","http://www.gamefaqs.com/gba/563133-ace-lightning"
"Aero the Acro-bat","UN","Action,Platformer,2D","Aero the Acro-bat is an Action game, developed by Atomic Planet Entertainment and published by Metro3D,which was released in 2002.","6.0","6.0","71","Atomic Planet Entertainment","May 14, 2002 ","http://www.gamefaqs.com/gba/561221-aero-the-acro-bat"
"Acrobat Kid","JP","Action,Platformer,2D","Aero the Acro-bat is an Action game, developed by Atomic Planet Entertainment and published by Metro3D,which was released in 2002.","6.0","6.0","71","Atomic Planet Entertainment","May 14, 2002 ","http://www.gamefaqs.com/gba/561221-aero-the-acro-bat"
"Action Man: Robot Atak","UN","Action,General","Action Man: Robot Atak is an Action game, developed by Magic Pockets and published by Atari,which was released in Europe in 2004.","6.5","5.8","","Magic Pockets","Sep 24, 2004 ","http://www.gamefaqs.com/gba/922043-action-man-robot-atak"
"Activision Anthology","UN","Miscellaneous,Compilation","Be a flying ace, a race car champion, a tennis star, and a space pioneer all in one afternoon.Activision Anthology lets you go back in time with all your old favorites, including Pitfall 1 and 2, Commando, Freeway, Keystone Kapers, Seaquest, River Raid 1 and 2, and Spider Fighter.Whether it's trying to get Pitfall Harry past the third pit on the right or breaking 15,000 points on River Raid to earn a patch, Activision Anthology is sure to conjure plenty of gaming memories.","9.0","7.0","79","Aspyr","Dec9, 2003 ","http://www.gamefaqs.com/gba/918819-activision-anthology"
"GT Advance Championship Racing","UN","Driving,Racing,GT / Street","Install your car kits, head to the track, start your engines and get ready to challenge the most competitive racers on the circuit! Choose from over 45 authentic cars and race for championship gold on an amazing 32 different tracks. Upgrade your car's performance using 9 categories of upgradeable parts including the engine, suspension, aerodynamics and more.","7.8","6.4","82","MTO","Jun8, 2001 ","http://www.gamefaqs.com/gba/471246-gt-advance-championship-racing"
"Advance GTA","JP","Driving,Racing,GT / Street","Install your car kits, head to the track, start your engines and get ready to challenge the most competitive racers on the circuit! Choose from over 45 authentic cars and race for championship gold on an amazing 32 different tracks. Upgrade your car's performance using 9 categories of upgradeable parts including the engine, suspension, aerodynamics and more.","7.8","6.4","82","MTO","Jun8, 2001 ","http://www.gamefaqs.com/gba/471246-gt-advance-championship-racing"
"GT Advance 3: Pro Concept Racing","UN","Driving,Racing,GT / Street","Choose from more than 90 authentic cars with upgradable parts from 10 top car manufacturers. Unlock cars with different acceleration, top speeds, and handling in order to master the 46 tracks.","7.5","7.0","74","MTO","Feb6, 2003 ","http://www.gamefaqs.com/gba/563553-gt-advance-3-pro-concept-racing"
"Advance GTA 2","JP","Driving,Racing,GT / Street","Choose from more than 90 authentic cars with upgradable parts from 10 top car manufacturers. Unlock cars with different acceleration, top speeds, and handling in order to master the 46 tracks.","7.5","7.0","74","MTO","Feb6, 2003 ","http://www.gamefaqs.com/gba/563553-gt-advance-3-pro-concept-racing"
