"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Absolute X","US","Action,Shooter,Scrolling","Absolute X is an Action game, published by Midas Interactive Entertainment,which was released in Europe in 2001.","n/a","n/a","n/a","Midas Interactive Entertainment","Aug3, 2001 ","http://www.gamefaqs.com/gbc/918677-absolute-x"
"Action Man: Search for Base X","US","Action,General","Action Man: Search for Base X is an Action game, developed by Natsume and published by THQ,which was released in 2001.","n/a","4.0","","Natsume","Feb6, 2001 ","http://www.gamefaqs.com/gbc/468199-action-man-search-for-base-x"
"AirForce Delta","US","Simulation,Flight,Modern Jet","Ever been screaming along at Mach 2 and ordered to drop 6,000 pounds of bombs on a target no bigger than a Yugo? Or get that feeling of multiple bogeys closing in on your tail for a lock-on to blow you out of the sky? You've been contracted by a mercenary group to fuel-up, strap-in and snuff out the enemy. And to sweeten the pot in this 'The more you take out, the more you take home' deal, you can upgrade your ride, choosing from over 30 different aircraft to get the job done. You in? Then get ready to grab some serious air!","n/a","6.5","","Climax Entertainment","Nov 21, 2000 ","http://www.gamefaqs.com/gbc/369693-airforce-delta"
"Deadly Skies","EU","Simulation,Flight,Modern Jet","Ever been screaming along at Mach 2 and ordered to drop 6,000 pounds of bombs on a target no bigger than a Yugo? Or get that feeling of multiple bogeys closing in on your tail for a lock-on to blow you out of the sky? You've been contracted by a mercenary group to fuel-up, strap-in and snuff out the enemy. And to sweeten the pot in this 'The more you take out, the more you take home' deal, you can upgrade your ride, choosing from over 30 different aircraft to get the job done. You in? Then get ready to grab some serious air!","n/a","6.5","","Climax Entertainment","Nov 21, 2000 ","http://www.gamefaqs.com/gbc/369693-airforce-delta"
"Alfred's Adventure","US","Action,Platformer,2D","Alfred's Adventure is an Action game, developed by Mobius Entertainment and published by SCi,which was released in Europe in 2000.","n/a","5.0","n/a","Mobius Entertainment","Sep1, 2000 ","http://www.gamefaqs.com/gbc/579069-alfreds-adventure"
"Alice in Wonderland","US","Action,Platformer,2D","Alice in Wonderland is an Action game, developed by Digital Eclipse and published by Nintendo,which was released in 2000.","n/a","5.8","","Digital Eclipse","Oct4, 2000 ","http://www.gamefaqs.com/gbc/430707-alice-in-wonderland"
"Aliens: Thanatos Encounter","US","Action,General","Aliens: Thanatos Encounter is an Action game, developed by Crawfish Interactive and published by THQ,which was released in 2001.","10.0","6.6","","Crawfish Interactive","Mar 30, 2001 ","http://www.gamefaqs.com/gbc/577831-aliens-thanatos-encounter"
"All Star Tennis 2000","US","Sports,Traditional,Tennis","All Star Tennis 2000 is a Sports game, developed by Smart Dog and published by Ubisoft,which was released in Europe in 1999.","n/a","7.0","","Smart Dog","Jun 25, 1999 ","http://www.gamefaqs.com/gbc/575873-all-star-tennis-2000"
"DSF All Star Tennis","EU","Sports,Traditional,Tennis","All Star Tennis 2000 is a Sports game, developed by Smart Dog and published by Ubisoft,which was released in Europe in 1999.","n/a","7.0","","Smart Dog","Jun 25, 1999 ","http://www.gamefaqs.com/gbc/575873-all-star-tennis-2000"
"Yannik Noah All Star Tennis 2000","EU","Sports,Traditional,Tennis","All Star Tennis 2000 is a Sports game, developed by Smart Dog and published by Ubisoft,which was released in Europe in 1999.","n/a","7.0","","Smart Dog","Jun 25, 1999 ","http://www.gamefaqs.com/gbc/575873-all-star-tennis-2000"
