"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Aa Harimanada","UN","Sports,General","Aa Harimanada is a Sports game, developed and published by Sega,which was released in Japan in 1993.","n/a","n/a","n/a","Sega","Jul2, 1993 ","http://www.gamefaqs.com/gamegear/570149-aa-harimanada"
"The Addams Family","UN","Action,Platformer,2D","THE ADDAMS FAMILY has been evicted! To save their home from Tully Alford, the family attorney, who is after the family fortune - Morticia, Lurch, Granny, Pugsley and Wednesday have gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you'll find stashes of cash hidden all over the house. You'll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You'll need to look for clues and slove many mysterious puzzles as you search for your family. You may even need someThing to help you - but you'll have to find him first! Get a move on... 'cause you're gonna make a call on THE ADDAMS FAMILY!","n/a","7.0","n/a","Arc Developments","1994 ","http://www.gamefaqs.com/gamegear/586630-the-addams-family"
"The Adventures of Batman & Robin","UN","Action,General","From the award winning animated TV series comes the most action-packed Batman adventure yet! The Dark Knight returns with Robin to battle the forces of evil. But wait... the iceman cometh!!! Mr. Freeze is about to unleash his super-powered ice cannon and has teamed up with the most notorious criminals to help him turn Gotham City into a diabolical winter wonderland!","7.0","5.9","n/a","Novotrade","1995 ","http://www.gamefaqs.com/gamegear/564874-the-adventures-of-batman-and-robin"
"Aerial Assault","UN","Action,Shooter,Scrolling","It's the 21st century and N.A.C., a feared terrorist group of the galaxy, threatens to destroy Earth. They've developed the super weapon 'EL' that will blast away Earth's ozone layer. And they've threatened to use it! As the world's top jet fighter pilot, you're in command of the of the ultimate in combat aircraft - the 'Freedom Fighter.' Armed with the latest in new high-tech weaponry, you and your jet are Earth's only chance against the merciless N.A.C. Good luck!","7.3","6.5","","Sims","1992 ","http://www.gamefaqs.com/gamegear/586631-aerial-assault"
"Alien 3","UN","Action,Platformer,2D","The ALIENS are fast, spit acid and are right behind you! The motion tracker is your only warning. No time to think, no time to catch your breath... RUN! Can't see very far ahead in these air ducts. Hard to breathe. Face-huggers can be anywhere. You have the firepower... blast the ALIENS with your machine gun, flame thrower and grenade launcher. You know what you have to do... rescue the trapped prisoners and end this nightmare! Just keep telling yourself, 'This isn't really happening. It's only a game!!!'","9.0","7.7","n/a","Probe Entertainment Limited","1994 ","http://www.gamefaqs.com/gamegear/586633-alien-3"
"Alien Syndrome","UN","Action,General","The extra-terrestrials in this game are anything but friendly. They're slimy monsters that are holding space colonists captive aboard seven alien starships. This super action game challenges you to free the helpless hostages. Search each ship's deadly levels, using flamethrowers and laser cannons to vaporize alien scum. Look for maps to help you find your way. After you've saved all the captives from one ship, you must destroy its powerful leader before you can move on to the next ship. Remember, to the aliens, you're slime. And they want you good... and dead!","4.0","7.3","n/a","Sims","1992 ","http://www.gamefaqs.com/gamegear/582063-alien-syndrome"
"Andre Agassi Tennis","UN","Sports,Traditional,Tennis","Andre Agassi's explosive forehand is yours! Be Agassi or play against Agassi. For the first-time ever, win big cash with the 'skins' match where stakes double with every return. With 4 courts, 8 exciting players each with different playing styles and an umpire who calls every shot, Andre Agassi Tenni cannot be beaten.","n/a","n/a","n/a","Spidersoft","1994 ","http://www.gamefaqs.com/gamegear/586635-andre-agassi-tennis"
"Arcade Classics","UN","Miscellaneous,Compilation","Arcade Classics is a Miscellaneous game, developed by Al Baker and Associates and published by Sega,which was released in 1996.","n/a","5.0","n/a","Al Baker and Associates","1996 ","http://www.gamefaqs.com/gamegear/586636-arcade-classics"
"Arch Rivals: The Arcade Game","UN","Sports,Traditional,Basketball,Arcade","The real arcade action between the Arch Rivals is really hot, 'cause tonight there's no fouls! WHAT?! NO FOULS? That's right. No Fouls. This is basketball where breaking the rules is part of the rules! If you can't block a shot - knock your opponent's block off. Arch Rivals also takes real skills like passing, shooting, dribbling, ball handling, slam dunks, and 3 point shots. It's not just basketball... it's basketBRAWL!","n/a","5.5","n/a","Arc Developments","1992 ","http://www.gamefaqs.com/gamegear/586637-arch-rivals-the-arcade-game"
"Arena: Maze of Death","UN","Action,Shooter,Scrolling","An incredible 3D isometric adventure game! You are taking part in a one-man war to bring down a corrupt government. With 20 levels and over 100 rooms on each one, you have little more than weapons and your wits to save your land from destruction!","8.0","6.7","n/a","Eden Entertainment Software","1996 ","http://www.gamefaqs.com/gamegear/586638-arena-maze-of-death"
