"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Swingerz Golf","Sports,Traditional,Golf,Arcade","Grab your clubs and hit the links in Swingerz Golf. You'll tee up on six courses featuring diverse terrains, from a cactus-filled desert to a classic English course. Play as or against 14 offbeat golfers, each with distinct personalities and golfing abilities. You can battle three of your friends in various gameplay modes, including Tournament, Stroke, Match, and Short Course. With challenging weather conditions, minigames, and intense tournaments, Swingerz Golf gives you a realistic and fun golfing experience.","7.8","7.3","72","Telenet","Oct 23, 2002 ","http://www.gamefaqs.com/gamecube/561774-swingerz-golf"
"Adiboo and the Energy Thieves","Action,General","Adiboo and the Energy Thieves is an Action game, developed by Coktel Vision and published by VU Games,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/gamecube/917564-adiboo-and-the-energy-thieves"
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies","Adventure,General","Jimmy Neutron sets off on another adventure filled with brand-new inventions and gadgets. Aliens from Twonkus-3--the annual comet that passes over Retroville--have overrun the town, threatening everything in their path. When the aliens hear music, they become agitated and grow even larger. As Jimmy, it's up to you to figure out combinations of everyday items and turn them into inventions that will defeat the Twonkus-3 aliens. Secret gizmos hidden throughout each level give you enhanced power-ups.","9.0","6.6","65","THQ","Sep 13, 2004 ","http://www.gamefaqs.com/gamecube/924311-the-adventures-of-jimmy-neutron-boy-genius-attack"
"Agent Hugo","Action,Platformer,3D","Agent Hugo is an Action game, developed and published by ITE Media,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/gamecube/930811-agent-hugo"
"Aggressive Inline","Sports,Alternative,Skating","Aggressive Inline pushes your inline skating skills to the limit with a new Juice Meter, challenging objectives, and expansive levels. You can choose from an array of professional inline skaters--including Jaren Grob, Chris Edwards, and Shane Yost--and showcase your talent in various interactive skate parks. Perform a variety of manuals, grinds, big-air tricks, wall flips, hand plants, and more, to build up your Juice Meter and avoid elimination. Aggressive Inline also includes a Park Editor that lets you design your own skate park, complete with rails, ramps, and pipes.","8.9","6.8","88","Z-Axis, Ltd.","Jul 31, 2002 ","http://www.gamefaqs.com/gamecube/539631-aggressive-inline"
"Alias","Action Adventure,Modern","Alias is a third-person action adventure containing a unique blend of action and stealth that puts you under fire and under pressure.Whether you're up against the clock or being hunted by the enemy, fighting against the odds, or fleeing for your life, the action is relentless.Utilize your incredible spyware, deadly moves, and array of disguises to complete the most dangerous covert missions across the globe.All the heart-stopping action and tension of the TV series is now under your control.","","","","","","http://www.gamefaqs.com/gamecube/589511-alias"
"Alien Hominid","Action,Shooter,Scrolling","Your UFO has crash landed, and the FBI is out to get you! Time to take them out!","8.9","7.6","78","The Behemoth","Nov 23, 2004 ","http://www.gamefaqs.com/gamecube/922130-alien-hominid"
"All-Star Baseball 2002","Sports,Traditional,Baseball,Sim","All-Star Baseball 2002 is a Sports game, developed and published by Acclaim,which was released in 2001.","4.5","5.3","66","Acclaim","Nov 17, 2001 ","http://www.gamefaqs.com/gamecube/516637-all-star-baseball-2002"
"All-Star Baseball 2003","Sports,Traditional,Baseball,Sim","The best of both worlds! All-Star Baseball 2003 offers the perfect blend of simulation-style hardball for the baseball fanatic, with the pick-up-and-play ease for the casual sports gamer. The game features all 30 Major League Baseball (MLB) teams and more than 900 professional players. Ten modes of play include Exhibition, Season, and Career, and the specialty modes include Batting Practice and Home Run Derby. The new Expansion mode allows gamers to create custom teams--with unique cities, stadiums, and logos--to add to the Major League schedule. The Cooperstown Hall of Fame team lets fans play with greats like Mike Schmidt, Reggie Jackson, and Yogi Berra. Games are called by Bob Brenly, Thom Brennaman, and Steve Lyons.","7.3","7.1","83","Acclaim","Feb 25, 2002 ","http://www.gamefaqs.com/gamecube/550519-all-star-baseball-2003"
"All-Star Baseball 2004","Sports,Traditional,Baseball,Sim","Not only does All-Star Baseball 2004 simulate professional baseball, but it also gives you a look into baseball's history and homes. Now, in addition to today's baseball stars, you can play history's greatest players, from the MLB to the Negro Leagues. Take a panoramic tour of each stadium while learning about interesting facts and features. If you're new to the game, all-star Derek Jeter will guide and instruct you in the new Rookie mode tutorial.","8.6","6.2","80","Acclaim","Feb 23, 2003 ","http://www.gamefaqs.com/gamecube/562346-all-star-baseball-2004"
