"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Aircars","UN","Driving,Car Combat","Aircars is a Driving game, developed by Midnite Entertainment Group, Inc. and published by ICD, Inc.,which was released in 1997.","5.0","7.5","n/a","Midnite Entertainment Group, Inc.","June 1997 ","http://www.gamefaqs.com/jaguar/917837-aircars"
"Alien vs. Predator","UN","Action,Beat-'Em-Up","Choose your weapon and brawl with the notorious warriors of the big screen! Commission the Colonial Marine and use your weapons and your wits to destroy the base--and survive. Be an Alien and use your voracious instincts to defend the hive and rescure your Queen. Or play a Predator and use your grisly arsenal to acquire the ultimate trophy...the skull of the Alien Queen.","6.8","7.6","","Rebellion","Oct 20, 1994 ","http://www.gamefaqs.com/jaguar/586871-alien-vs-predator"
"Atari Karts","UN","Driving,Car Combat","A go-cart free for all! In Atari Karts you'll race around the track with some of the craziest creatures around. Watch out for the objects lying on the road. Some are bonuses that will help you get ahead, but those hazards can be nasty. They'll cause you to slow down or mess with your driving controls. Try to outdistance your competition and finish fourth or better to move on to the next course. Kids of all ages will love this game!","7.5","5.8","","Miracle Designs","1995 ","http://www.gamefaqs.com/jaguar/586872-atari-karts"
"Attack of the Mutant Penguins","UN","Action,General","In the distant galaxy of Bleurggh, an evil (but reasonably stupid) band of aliens picked up some of Earth's television signals. Unfortunately for them, they could only tune in a wildlife program. They figured the Earth would be a pushover to invade, so they disguised themselves as its inhabitants -- penguins! Word of the invasion has reached those champions of intergalactic do-goodery, Bernard and Rodney. Now, with their help, you must prevent the alien mutant penguins from triggering the Doomscale and destroying the Earth. Are you up to the challenge?","7.0","7.0","n/a","Sunrise Games Ltd.","Mar1, 1996 ","http://www.gamefaqs.com/jaguar/586873-attack-of-the-mutant-penguins"
"Battlesphere","UN","Simulation,Sci-Fi,Small Spaceship","Battlesphere is a Simulation game, developed by 4Play and published by ScatoLogic,which was released in 2000.","10.0","7.7","n/a","4Play","2000 ","http://www.gamefaqs.com/jaguar/586874-battlesphere"
"Breakout 2000","UN","Action,General","SMASH! POW! CRUNCH! Is your hand/eye coordination up to demolishing field after field of bricks? Breakout 2000 brings back the nostalgia of early gaming days but adds 90's challenges, such as a three-dimensional field and bricks that resist breaking, as well as many powerups and hazards. You can also test your skill against a buddy. Break through your own wall and start working on his. You'll gain bonus points, and he'll go nuts! Who ever said life was fair never played Breakout 2000.","7.5","7.0","n/a","L4 Software","Dec1, 1996 ","http://www.gamefaqs.com/jaguar/586875-breakout-2000"
"Brutal Sports Football","UN","Sports,Traditional,Football,Arcade","Do you like action but reckon that chainsaw massacres are for grannies' tea parties? If you do then brutal sports football is for you, league, knockout or unfriendly tournaments.This is an all action, crunch 'em, stamp 'em, no holds barred game of mutant football where heads roll and where injury time means just that.","6.5","6.5","n/a","Millennium","1994 ","http://www.gamefaqs.com/jaguar/586876-brutal-sports-football"
"Bubsy in Fractured Furry Tails","UN","Action,Platformer,2D","Only Bubsy can protect the world's kids from these silly stories and tangled-up tales as he leaps and bounds his way through 15 frantic chapters of fabulous furry fun. In Fairytaleland, Bubsy attends a twisted tea party, climbs a giant beanstalk, voyages under the sea (without getting his paws wet), head to Ali Baba's desert and even meets Hansel and Gretel, who should be up on kidnapping charges.","6.0","4.8","","Imagitec Design, Inc.","1994 ","http://www.gamefaqs.com/jaguar/586877-bubsy-in-fractured-furry-tails"
"Cannon Fodder","UN","Action,General","'Don't wait 'til you see the whites of their eyes...Don't kid yourself it will be over by Christmas...Don't try to shut out the screams...And don't forget to wash your hands afterwards...'","8.0","7.6","","Sensible Software","1995 ","http://www.gamefaqs.com/jaguar/586878-cannon-fodder"
"Checkered Flag","UN","Driving,Racing,Formula One","Get ready to burn rubber! Race for the Checkered Flag behind the wheel of a turbo-powered speedway racer in real-time, 3D-rendered action. Choose from 10 high-performance tracks and see the speedway from 6 distinct views. Alter features and attributes on your racer to improve your times or even change the weather conditions. Action is so intense and realistic you'll swear you feel the wind in your hair as your tires screech around the curves. Keep your sweaty palms on the controller!","4.0","4.0","n/a","Rebellion","1994 ","http://www.gamefaqs.com/jaguar/586879-checkered-flag"
"Club Drive","UN","Driving,Racing,Arcade","Sure, you've always wanted to blaze down the streets of San Francisco in a souped-up hot rod, just like in those action movies. But have you ever wanted to scramble across the living room floor playing tag in a minature racing car with a buddy? Or plow through an Old West town in a futuristic speed machine picking up randomly placed energy Powerballs? Strap in and join the 64-bit club!","4.0","7.0","n/a","Atari","1994 ","http://www.gamefaqs.com/jaguar/586880-club-drive"
"Cybermorph","UN","Action,Shooter,First-Person,Sci-Fi","Cybermorph is an Action game, developed by Attention To Detail and published by Atari,which was released in 1993.","5.3","4.8","","Attention To Detail","1993 ","http://www.gamefaqs.com/jaguar/586881-cybermorph"
"Defender 2000","UN","Action,Shooter,Scrolling","You whomped the aliens from the Alpha Proximian Empire in classic Defender and sent them home to cry. Now they want the planets that Earth is mining for desperately needed, life-sustaining minerals. Your job is to protect the space miners as they perform their vital work. The aliens will try to capture them and use their life-energy to turn their ships into hyper-fast mutants. Rescure the captives and destroy the aliens or Earth is history!","7.0","7.8","","Atari","1996 ","http://www.gamefaqs.com/jaguar/586882-defender-2000"
"Doom","UN","Action,Shooter,First-Person,Sci-Fi","From outside the base you hear the carnage: guns firing, men screaming, bones cracking...then silence. Suddenly you're the last surviving marine thrust into a bloody, gore-ridden underworld 50 million miles into the future. It's Doom to the 64th power with 16-bit true color, advanced lighting effects...and some new parts of Hell you'll wish we didn't include in this version.","7.5","7.9","","id Software","1994 ","http://www.gamefaqs.com/jaguar/563365-doom"
"Double Dragon V","UN","Action,Fighting,2D","Double Dragon is back and better than ever! Featuring 12 BIG, lightning fast characters! Four to six special moves for each fighter, and you can set your own strength, defense and more! Customizable controls and three different fighting modes to choose from. Over 130 sound effects and HOT rock music tracks!","3.0","4.9","","Leland Interactive Media","Apr1, 1995 ","http://www.gamefaqs.com/jaguar/586883-double-dragon-v"
"Dragon: The Bruce Lee Story","UN","Action,Platformer,2D","The spirit of martial arts Master Bruce Lee lives on in DRAGON: a dangerously life-like combat simulation based on his biographical film. Apply discipline and a devastating array of age-old fighting techniques to subdue opponents more cunning than the real Bruce Lee ever faced. Unite your spiritual and physical strength to confront The Phantom, the mythical samurai which has plagued your thoughts and dreams, in a jeet kune do duel to the death!","3.0","4.3","","Virgin Interactive","Nov1, 1994 ","http://www.gamefaqs.com/jaguar/586884-dragon-the-bruce-lee-story"
"Elansar","UN","Adventure,General","Elansar is an Adventure game, developed by onorisoft and published by RGCD,which was released in Europe in 2013.","n/a","n/a","n/a","onorisoft","July 2013 ","http://www.gamefaqs.com/jaguar/727733-elansar"
"Evolution: Dino Dudes","UN","Miscellaneous,Puzzle,General","Evolution: Dino Dudes is a Miscellaneous game, developed by Imagitec Design, Inc. and published by Atari,which was released in 1994.","7.0","4.8","","Imagitec Design, Inc.","1994 ","http://www.gamefaqs.com/jaguar/586886-evolution-dino-dudes"
"Fever Pitch Soccer","UN","Sports,Traditional,Soccer,Arcade","Create a killer game plan and take on over 50 of the world's top soccer teams. Dribble, pass and kick your way down the field and take your best shot on goal. Wathc out for the star players - they're extra tough! Block, steal, even slide tackle and rough up the other team, but try to avoid the foul. Check the instant replay and devise your next attack. The clock's ticking!","8.0","7.0","n/a","Distinctive Developments Ltd","December 1995 ","http://www.gamefaqs.com/jaguar/586887-fever-pitch-soccer"
"Fight For Life","UN","Action,Fighting,3D","Life in the afterlife can be a nightmare for anybody -- especially if real life was a mess. In the Spectre Zone, eight people compete in the annual Hell Fighting Tournament for the amusement of the Gatekeeper. The prize is a second chance at life! Defeat each opponent and steal two of their special fighting moves to prepare for the final challenge -- a battle against the son of the devil himself. Show no mercy. There will be only one victor, only one new life... it must be yours!","8.0","4.3","n/a","Atari","1996 ","http://www.gamefaqs.com/jaguar/586888-fight-for-life"
"Flashback: The Quest for Identity","UN","Action,Platformer,2D","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans.","9.0","8.2","n/a","Delphine Software International","July 1995 ","http://www.gamefaqs.com/jaguar/586889-flashback-the-quest-for-identity"
"Flashback","US","Action,Platformer,2D","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans.","9.0","8.2","n/a","Delphine Software International","July 1995 ","http://www.gamefaqs.com/jaguar/586889-flashback-the-quest-for-identity"
"Flashback: The Quest for Identity","UN","Action,Platformer,2D","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans.","9.0","8.2","n/a","Delphine Software International","July 1995 ","http://www.gamefaqs.com/jaguar/586889-flashback-the-quest-for-identity"
"Flashback","US","Action,Platformer,2D","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans.","9.0","8.2","n/a","Delphine Software International","July 1995 ","http://www.gamefaqs.com/jaguar/586889-flashback-the-quest-for-identity"
"Flip Out!","UN","Miscellaneous,Puzzle,General","Congratulations Earthling! The Citizens of Planet Phrohmaj have invited you to join their Great Tile Flipping Festival, an honor of the highest sort. Tile flipping influences their customs, their eating habits, and even their vacations. Solve maddening puzzles while watching for the mishievous aliens who think confusing you is part of the fun. If they weren't so cute you'd wring their necks...if they had them.","3.0","6.8","","Gorilla Systems","1995 ","http://www.gamefaqs.com/jaguar/586890-flip-out"
