"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Aero Fighters Assault","US","Simulation,Flight,Modern Jet","The AeroFighters Assault team needs your help to save the Earth from the evil Phutta Morgana and their machines of doom. Engage a variety of enemy aircraft and boss characters around the globe in multiple missions. Join the battle in the only game that matters!","8.4","6.4","","Paradigm Entertainment","Oct 30, 1997 ","http://www.gamefaqs.com/n64/196549-aero-fighters-assault"
"Sonic Wings Assault","JP","Simulation,Flight,Modern Jet","The AeroFighters Assault team needs your help to save the Earth from the evil Phutta Morgana and their machines of doom. Engage a variety of enemy aircraft and boss characters around the globe in multiple missions. Join the battle in the only game that matters!","8.4","6.4","","Paradigm Entertainment","Oct 30, 1997 ","http://www.gamefaqs.com/n64/196549-aero-fighters-assault"
"AeroGauge","US","Driving,Racing,Futuristic","Blaze through the skies as you take control of your very own Aeromachines in this new futuristic racing game, AeroGauge. With courses that have sharp turns, and even sharper obstacles, it is going to take a keen eye and ultimate control to maneuver through courses featuring canyons, tunnels, oceans, and mountains. Imagine speeds reaching over 1000 mph as you whiz by the field in route to victory in these graphically advanced landscapes. Never has a game incorporated such remarkable control, detailed graphics, and mind-tingling speeds as...AeroGauge!","5.3","6.0","","Locomotive Corporation","Apr 30, 1998 ","http://www.gamefaqs.com/n64/196550-aerogauge"
"AI Shogi 3","US","Miscellaneous,Board Games","AI Shogi 3 is a Miscellaneous game, published by ASCII Entertainment,which was released in Japan in 1998.","n/a","5.0","n/a","ASCII Entertainment","Dec 18, 1998 ","http://www.gamefaqs.com/n64/576255-ai-shogi-3"
"Aidyn Chronicles: The First Mage","US","Role-Playing,Console-style RPG","Young Alaron is on a quest to discover the truth about himself, his name, and his heritage. Traveling to far and distant lands, pursued by forces he cannot understand, danger lurks around every corner. Alaron and his companions will seek to fulfill his destiny as the greatest mage ever known!","6.0","6.4","53","H2O Interactive","Mar 14, 2001 ","http://www.gamefaqs.com/n64/196565-aidyn-chronicles-the-first-mage"
"AirBoarder 64","US","Sports,Alternative,Futuristic","AirBoarder 64 is a Sports game, developed and published by Human Entertainment,which was released in Japan in 1998.","n/a","6.0","n/a","Human Entertainment","November 1998 ","http://www.gamefaqs.com/n64/574480-airboarder-64"
"AirBoardin' USA","US","Sports,Alternative,Futuristic","Seemingly inspired by the famous hoverboard sequence in Back to the Future (but sans Marty McFly), Airboardin' USA attempts to fulfill the fantasies of skaters oppressed by gravity. Airboards float along the ground on a cushion of air, which allows boarders to glide over any conceivable terrain. Grass, water, snow and even chunky cement are open territory for airboarders. The boards can launch hundreds of feet into the air, and they can even ride straight up vertical walls. You don't have to worry about breaking your wrist, so anything is possible.","","","","Human Entertainment","Canceled ","http://www.gamefaqs.com/n64/196570-airboardin-usa"
"Castlevania","US","Action,Platformer,2D","Take control of Reinhardt Schneider, a whip-toting Vampire Killer who has waited his whole life to meet his destiny, or Carrie Fernandez, a young girl with a strong magical presence who is mysteriously drawn to Dracula's evil Castlevania. It is their duty to seek out Castlevania and put an end to its residents' plans. What is your destiny?","7.0","6.5","78","KCEK","Dec 31, 1998 ","http://www.gamefaqs.com/n64/196882-castlevania"
"Akumajou Dracula Mokushiroku","JP","Action,Platformer,2D","Take control of Reinhardt Schneider, a whip-toting Vampire Killer who has waited his whole life to meet his destiny, or Carrie Fernandez, a young girl with a strong magical presence who is mysteriously drawn to Dracula's evil Castlevania. It is their duty to seek out Castlevania and put an end to its residents' plans. What is your destiny?","7.0","6.5","78","KCEK","Dec 31, 1998 ","http://www.gamefaqs.com/n64/196882-castlevania"
"Castlevania: Legacy of Darkness","US","Action,Platformer,3D","Before Reinhardt Schneider and Carrie Fernandez confronted Dracula, a magical warrior embarked on a quest that would ultimately lead him to Dracula's lair. Take control of Cornell, a powerful werewolf, who is seeking out the evil minions responsible for his sister's disappearance. Armed with the power to morph from human to werewolf, Cornell is destined to rescure his sister from a sinister plan and rid the world of Dracula once and for all. Will he succeed or fail? Will the past unravel the future? Discover the legacy in this exciting prequel.","8.5","7.3","","KCEK","Nov 30, 1999 ","http://www.gamefaqs.com/n64/196883-castlevania-legacy-of-darkness"
"Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell","JP","Action,Platformer,3D","Before Reinhardt Schneider and Carrie Fernandez confronted Dracula, a magical warrior embarked on a quest that would ultimately lead him to Dracula's lair. Take control of Cornell, a powerful werewolf, who is seeking out the evil minions responsible for his sister's disappearance. Armed with the power to morph from human to werewolf, Cornell is destined to rescure his sister from a sinister plan and rid the world of Dracula once and for all. Will he succeed or fail? Will the past unravel the future? Discover the legacy in this exciting prequel.","8.5","7.3","","KCEK","Nov 30, 1999 ","http://www.gamefaqs.com/n64/196883-castlevania-legacy-of-darkness"
"All Star Tennis 99","US","Sports,Traditional,Tennis","All the power, speed and intensity of professional tennis! Compete against professional tennis' top talent: Michael Chang, Mark Philippoussis, Amanda Coetzer, Richard Krajicek, Conchita Martinez, Jonas Bjorkman, Gustavo Kuerten and '98 Wimbledon Champion Jana Novotna. Realistic courts and characters bring tennis to life. Smash overhead shots, crush 140mph serves and dive for cross-court volleys. Up to four players can go head-to-head simultaneously! Multiplayer options in singles, doubles and tournament play!","3.5","4.9","","Smart Dog","Aug 31, 1999 ","http://www.gamefaqs.com/n64/196587-all-star-tennis-99"
"All Star Tennis 99","US","Sports,Traditional,Tennis","All the power, speed and intensity of professional tennis! Compete against professional tennis' top talent: Michael Chang, Mark Philippoussis, Amanda Coetzer, Richard Krajicek, Conchita Martinez, Jonas Bjorkman, Gustavo Kuerten and '98 Wimbledon Champion Jana Novotna. Realistic courts and characters bring tennis to life. Smash overhead shots, crush 140mph serves and dive for cross-court volleys. Up to four players can go head-to-head simultaneously! Multiplayer options in singles, doubles and tournament play!","3.5","4.9","","Smart Dog","Aug 31, 1999 ","http://www.gamefaqs.com/n64/196587-all-star-tennis-99"
"All-Star Baseball 2000","US","Sports,Traditional,Baseball,Sim","You can learn the basics of baseball in an afternoon, then spend a lifetime mastering its intricacies. All-Star Baseball 2000 isn't quite so daunting, but expect to log lots of time on the Pause screens while you figure it out. Created by Iguana, ASB 2000 has the glossy graphics and excellent sound engineering you'd expect from the team that brought you All-Star Baseball '99, NFL Quarterback Club 99 and Turok 2. ASB 2000 supports hi-res graphics without the Expansion Pak. If you pop in an Expansion Pak, though, you'll witness extra-long replays.","7.6","6.9","","Iguana Entertainment","Mar 31, 1999 ","http://www.gamefaqs.com/n64/196592-all-star-baseball-2000"
"All-Star Baseball 2001","US","Sports,Traditional,Baseball,Sim","Over 700 Major League Baseball players and 30 stadiums including 5 new ballparks. Faster gameplay with Easy Batting / Pitching options. Hook slides, swipe tags, and home plate collisions. All-new Batting Practice mode lets you hone your skills. First ever Hall of Fame team including Nolan Ryan and Reggie Jackson. Full roster management includes: multi-player trades; create, sign and release players.Team stats in over 300 categories by STATS Inc.","8.3","7.6","","High Voltage Software","Feb 29, 2000 ","http://www.gamefaqs.com/n64/250563-all-star-baseball-2001"
"All-Star Baseball 99","US","Sports,Traditional,Baseball,Sim","With All-Star Baseball '99, development house Iguana (Turok, NFL Quarterback Club '98) extends its sterling rep for putting great graphics on the N64. The high-resolution visual feast includes multiple player shadows during night games, digitized photos of most players and extremely detailed texture maps -- just check out the ivy and row houses at Wrigley! In stadiums with Jumbotrons, the action on the big screen replicates that on the field. The athletes are fully articulated, with nice use of shading that gives them a fully rounded look. Batters are graded on multiple characteristics, including whether they are pull, straightaway or opposite-field (push) hitters. Iguana has stacked the lineup with signature stances for everyone from Roberto Alomar to Sammy Sosa.","8.1","6.8","","Iguana Entertainment","Apr 30, 1998 ","http://www.gamefaqs.com/n64/196585-all-star-baseball-99"
"Armorines: Project S.W.A.R.M.","US","Action,General","You're an Armorine. You're wearing the latest in futuristic battle-armour. Armed with a devastating arsenal, you've got 120 hours to stop an all-out bug invasion of Earth. Or die trying.","6.3","5.8","","Acclaim","Nov 30, 1999 ","http://www.gamefaqs.com/n64/196641-armorines-project-swarm"
"Army Men: Air Combat","US","Action,General","Pilot one of four toy helicopters through the treacherous terrain of your backyard, the local playground, picnic areas and nearby beaches. Engage in both air-to-air and air-to-ground combat with enemies ranging from battleships to butterflies. Utilize the unique abilities of each 'copter to battle armies of mutant insects; destroy rampaging remote control cars; blow up sand castles; and save Sarge from being melted by kids with magnifying glasses. Real combat. Plastic men.","6.5","6.7","77","3DO","Jul 14, 2000 ","http://www.gamefaqs.com/n64/196647-army-men-air-combat"
"Army Men: Sarge's Heroes","US","Action,General","CONFIDENTIAL. 0600 hours: Tan forces captured Bravo Company Commandos. General Plastro has new weapons of mass destruction: magnifying glass, M-80 firecrackers and the garbage disposal. This is a job for Sarge. Requisition M-60s, shotguns, bazookas, flame throwers, grenades, sniper rifles, mortars, mine sweepers and plenty of ammo. Good luck, soldier.","5.9","6.5","","3DO","Sep 30, 1999 ","http://www.gamefaqs.com/n64/196649-army-men-sarges-heroes"
"Army Men: Sarge's Heroes 2","US","Action,General","THE BOYS ARE BACK AND READY TO DO BATTLE! Sarge and the Bravo Company Commandos managed to foil the Tan Army's first assault, but do they have what it takes this time? General Plastro has teamed up with Brigitte Bleu, a diabolically treacherous Blue Spy, to destroy the Green Nation once and for all. The adventure continues as Sarge and Vikki fight their way over pool tables, around a bedroom and across desktops to the final showdown against Plastro and his troops. Prepare for another gigantic battle! It's Real Combat. Plastic Men.","6.1","6.8","46","3DO","Sep 26, 2000 ","http://www.gamefaqs.com/n64/340233-army-men-sarges-heroes-2"
"Beetle Adventure Racing","US","Driving,Racing,Arcade","The adventure begins when you leave the road behind! Smashing, bashing fun! Crash and dash! Ultra-fast nitro blast! Go anywhere - choose your own routes, find surprises at every turn! Do anything - grab big-time air, engage in four-car mayhem!","8.8","7.4","90","Paradigm Entertainment","Feb 28, 1999 ","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"HSV Adventure Racing","AU","Driving,Racing,Arcade","The adventure begins when you leave the road behind! Smashing, bashing fun! Crash and dash! Ultra-fast nitro blast! Go anywhere - choose your own routes, find surprises at every turn! Do anything - grab big-time air, engage in four-car mayhem!","8.8","7.4","90","Paradigm Entertainment","Feb 28, 1999 ","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"As Aventuras do Fusca!","SA","Driving,Racing,Arcade","The adventure begins when you leave the road behind! Smashing, bashing fun! Crash and dash! Ultra-fast nitro blast! Go anywhere - choose your own routes, find surprises at every turn! Do anything - grab big-time air, engage in four-car mayhem!","8.8","7.4","90","Paradigm Entertainment","Feb 28, 1999 ","http://www.gamefaqs.com/n64/196751-beetle-adventure-racing"
"Asteroids Hyper 64","US","Action,Shooter,Static","Crave Entertainment has given us an Asteroids game for the 90s, beefing up the classic formula with updated graphics and numerous multiplayer modes. Asteroids Hyper 64 contains 50 levels spread out over five zones. Although the time-tested concept remains the same (blast everything on the screen), players are armed with new power-ups and have to defeat a boss at the end of each level. Multiplayer action includes both cooperative and competitive variations, including team play.","5.5","6.2","","Syrox Developments","Dec 14, 1999 ","http://www.gamefaqs.com/n64/196661-asteroids-hyper-64"
