"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"A-Ressha de Ikou","US","Simulation,General","A-Ressha de Ikou is a Simulation game, developed by Artdink and published by Pony Canyon,which was released in Japan in 1991.","n/a","4.0","n/a","Artdink","Aug 21, 1991 ","http://www.gamefaqs.com/nes/570584-a-ressha-de-ikou"
"Aa Yakyuu Jinsei Icchokusen","US","Miscellaneous,Board Games","Aa Yakyuu Jinsei Icchokusen is a Miscellaneous game, developed by Pixel and published by Sammy Studios,which was released in Japan in 1992.","n/a","5.7","n/a","Pixel","Dec 25, 1992 ","http://www.gamefaqs.com/nes/570699-aa-yakyuu-jinsei-icchokusen"
"Abadox: The Deadly Inner War","US","Action,Shooter,Scrolling","Your home planet of Abadox has been swallowed whole by the deadliest menace in space! Its name: Parasitis. Its prey: All surrounding life forms. Its goal: To feed on the entire Universe!You are Second Lieutenant Nazal, the only surviving warrior of The World Alive Force. Parasitis has crushed The Force's attack ships and consumed a hospital ship - with the beautiful Princess Maria still on board! Your Mission: Blast your way inside Parasitis' gruesome body and battle your way to its Core. Hurry! Princess Maria may still be alive!Hurtle down Parasitis' throat, blast through its cellular walls! Fend off vicious, bloodthirsty organisms with guided missiles and lasers in Six Stages of Internal Combat! Kill each Stage's guardian monsters so you can reach the Core! Destroy Parasitis, rescue Princess Maria and save the Universe!","7.4","6.4","n/a","ITL","March 1990 ","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Abadox","JP","Action,Shooter,Scrolling","Your home planet of Abadox has been swallowed whole by the deadliest menace in space! Its name: Parasitis. Its prey: All surrounding life forms. Its goal: To feed on the entire Universe!You are Second Lieutenant Nazal, the only surviving warrior of The World Alive Force. Parasitis has crushed The Force's attack ships and consumed a hospital ship - with the beautiful Princess Maria still on board! Your Mission: Blast your way inside Parasitis' gruesome body and battle your way to its Core. Hurry! Princess Maria may still be alive!Hurtle down Parasitis' throat, blast through its cellular walls! Fend off vicious, bloodthirsty organisms with guided missiles and lasers in Six Stages of Internal Combat! Kill each Stage's guardian monsters so you can reach the Core! Destroy Parasitis, rescue Princess Maria and save the Universe!","7.4","6.4","n/a","ITL","March 1990 ","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Abadox: The Deadly Inner War","US","Action,Shooter,Scrolling","Your home planet of Abadox has been swallowed whole by the deadliest menace in space! Its name: Parasitis. Its prey: All surrounding life forms. Its goal: To feed on the entire Universe!You are Second Lieutenant Nazal, the only surviving warrior of The World Alive Force. Parasitis has crushed The Force's attack ships and consumed a hospital ship - with the beautiful Princess Maria still on board! Your Mission: Blast your way inside Parasitis' gruesome body and battle your way to its Core. Hurry! Princess Maria may still be alive!Hurtle down Parasitis' throat, blast through its cellular walls! Fend off vicious, bloodthirsty organisms with guided missiles and lasers in Six Stages of Internal Combat! Kill each Stage's guardian monsters so you can reach the Core! Destroy Parasitis, rescue Princess Maria and save the Universe!","7.4","6.4","n/a","ITL","March 1990 ","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Abadox","JP","Action,Shooter,Scrolling","Your home planet of Abadox has been swallowed whole by the deadliest menace in space! Its name: Parasitis. Its prey: All surrounding life forms. Its goal: To feed on the entire Universe!You are Second Lieutenant Nazal, the only surviving warrior of The World Alive Force. Parasitis has crushed The Force's attack ships and consumed a hospital ship - with the beautiful Princess Maria still on board! Your Mission: Blast your way inside Parasitis' gruesome body and battle your way to its Core. Hurry! Princess Maria may still be alive!Hurtle down Parasitis' throat, blast through its cellular walls! Fend off vicious, bloodthirsty organisms with guided missiles and lasers in Six Stages of Internal Combat! Kill each Stage's guardian monsters so you can reach the Core! Destroy Parasitis, rescue Princess Maria and save the Universe!","7.4","6.4","n/a","ITL","March 1990 ","http://www.gamefaqs.com/nes/587062-abadox-the-deadly-inner-war"
"Zombie Nation","US","Action,Shooter,Scrolling","Zombie Nation is an Action game, developed by Kaze and published by Meldac,which was released in Japan in 1990.","4.9","6.1","n/a","Kaze","September 1991 ","http://www.gamefaqs.com/nes/587796-zombie-nation"
"Abarenbou Tengu","JP","Action,Shooter,Scrolling","Zombie Nation is an Action game, developed by Kaze and published by Meldac,which was released in Japan in 1990.","4.9","6.1","n/a","Kaze","September 1991 ","http://www.gamefaqs.com/nes/587796-zombie-nation"
"Ultimate Air Combat","US","Simulation,Flight,Modern Jet","Ultimate Air Combat is a Simulation game, developed and published by Activision,which was released in 1992.","7.0","7.0","n/a","Activision","April 1992 ","http://www.gamefaqs.com/nes/587742-ultimate-air-combat"
"Aces: Iron Eagle III","JP","Simulation,Flight,Modern Jet","Ultimate Air Combat is a Simulation game, developed and published by Activision,which was released in 1992.","7.0","7.0","n/a","Activision","April 1992 ","http://www.gamefaqs.com/nes/587742-ultimate-air-combat"
"Action 52","US","Miscellaneous,Compilation","Get 52 'New and Original' exciting games for play on your Nintendo System. Try to get Billy Bob out of the Dungeon where he is imprisoned, to save MARYLOU. Go along with the ACTION GAMEMASTER as he changes into one of the fearsome CHEETAHMEN to try to defeat all of the ACTION 52 evil attackers. These two games plus an additional 50 games on this one 'Multi-GamePak' will keep you entertained for a long time.","1.2","2.2","n/a","Active Enterprises","1991 ","http://www.gamefaqs.com/nes/587064-action-52"
"S.C.A.T.: Special Cybernetic Attack Team","US","Action,Shooter,Scrolling","It's the year 2029 and humanity faces certain extinction! An alien force led by the Supreme Commander Vile Malmort is positioned to destroy the earth.The President had little time to act. He assembled the greatest scientists from around the globe to stop this menace. From their laboratory came mankind's last hope - the members of S.C.A.T.The Special Cybernetic Attack Team has one goal: the utter destruction of the alien fleet. 'They've sent an armada to conquer us. We've sent two warriors from S.C.A.T... It should be a fair fight.'","10.0","7.5","","Natsume","June 1991 ","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"Action in New York","EU","Action,Shooter,Scrolling","It's the year 2029 and humanity faces certain extinction! An alien force led by the Supreme Commander Vile Malmort is positioned to destroy the earth.The President had little time to act. He assembled the greatest scientists from around the globe to stop this menace. From their laboratory came mankind's last hope - the members of S.C.A.T.The Special Cybernetic Attack Team has one goal: the utter destruction of the alien fleet. 'They've sent an armada to conquer us. We've sent two warriors from S.C.A.T... It should be a fair fight.'","10.0","7.5","","Natsume","June 1991 ","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"Final Mission","JP","Action,Shooter,Scrolling","It's the year 2029 and humanity faces certain extinction! An alien force led by the Supreme Commander Vile Malmort is positioned to destroy the earth.The President had little time to act. He assembled the greatest scientists from around the globe to stop this menace. From their laboratory came mankind's last hope - the members of S.C.A.T.The Special Cybernetic Attack Team has one goal: the utter destruction of the alien fleet. 'They've sent an armada to conquer us. We've sent two warriors from S.C.A.T... It should be a fair fight.'","10.0","7.5","","Natsume","June 1991 ","http://www.gamefaqs.com/nes/587595-scat-special-cybernetic-attack-team"
"Adam & Eve","US","Action,General","Adam & Eve is an Action game, developed by Mega Soft and published by NTDEC,which was released in Asia in 1992.","n/a","6.0","n/a","Mega Soft","1992 ","http://www.gamefaqs.com/nes/988427-adam-and-eve"
