"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"The Last Blade","UN","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Chiri Yuku Hana","JP","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Bakumatsu Roman","JP","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade: Beyond the Destiny ","US","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade: Beyond the Destiny ","EU","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade","UN","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Chiri Yuku Hana","JP","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"Bakumatsu Roman","JP","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade: Beyond the Destiny ","US","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
"The Last Blade: Beyond the Destiny ","EU","Action,Fighting,2D","1863. History's hidden secret is revealed. During the age known as 'Bakumatsu', 135 years ago, chaos rules! It's all yours: A new type of weapon fighting game in which Power and Speed weapons, in addition to various Repel moves can be used to experience a new sensation in video game thrills!","9.5","8.1","","Saurus","Mar 31, 2000 ","http://www.gamefaqs.com/ngpc/197757-the-last-blade"
