"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Dragon's Curse","US","Action,Platformer,2D","Dragon's Curse is an Action game, developed by Hudson and published by Hudson Soft,which was released in Japan in 1991.","9.0","7.7","","Hudson","1991 ","http://www.gamefaqs.com/tg16/578657-dragons-curse"
"Adventure Island","JP","Action,Platformer,2D","Dragon's Curse is an Action game, developed by Hudson and published by Hudson Soft,which was released in Japan in 1991.","9.0","7.7","","Hudson","1991 ","http://www.gamefaqs.com/tg16/578657-dragons-curse"
"Aero Blasters","US","Action,Shooter,Scrolling","Aero Blasters is an Action game, developed by Inter State and published by Hudson,which was released in Japan in 1990.","n/a","7.8","n/a","Inter State","1990 ","http://www.gamefaqs.com/tg16/588885-aero-blasters"
"After Burner II","US","Action,Shooter,Scrolling","You scream off the carrier, there's no time to think! You're caught in a swarm of enemy aircraft and more are dead ahead. They're closing at Mach 5, as your machine guns start blasting. Burn through a sky of flying metal! Radar-lock on the frontal attackers and respond with missiles. Your enemies are specks on the horizon, then instantly they're in your face, launching even faster missiles! Nothing can prepare you for the incredible speed of the attack. Hit your afterburner! Dive and twist! Throw your plane into a 360 roll as the enemy spins by so close you almost touch wing tips. Day or night, dog fight or missile duel - the terrifying speed of battle never lets up. The sky shrieks with metal menace. The intercept officer is screaming 'Look out!'","n/a","7.0","n/a","Bits Laboratory","Sep 28, 1990 ","http://www.gamefaqs.com/tg16/588886-after-burner-ii"
"Air Zonk","US","Action,Shooter,Scrolling","Air Zonk is an Action game, developed by RED Entertainment and published by Hudson,which was released in Japan in 1992.","9.0","7.8","","RED Entertainment","1992 ","http://www.gamefaqs.com/tg16/588888-air-zonk"
"PC Denjin: Punkic Cyborgs","JP","Action,Shooter,Scrolling","Air Zonk is an Action game, developed by RED Entertainment and published by Hudson,which was released in Japan in 1992.","9.0","7.8","","RED Entertainment","1992 ","http://www.gamefaqs.com/tg16/588888-air-zonk"
"Aldynes","US","Action,Shooter,Scrolling","Aldynes is an Action game, developed by Produce and published by Hudson,which was released in Japan in 1991.","n/a","7.0","n/a","Produce","1991 ","http://www.gamefaqs.com/tg16/924867-aldynes"
"Aldynes: The Mission Code for Rage Crisis","JP","Action,Shooter,Scrolling","Aldynes is an Action game, developed by Produce and published by Hudson,which was released in Japan in 1991.","n/a","7.0","n/a","Produce","1991 ","http://www.gamefaqs.com/tg16/924867-aldynes"
"Aldynes","US","Action,Shooter,Scrolling","Aldynes is an Action game, developed by Produce and published by Hudson,which was released in Japan in 1991.","n/a","7.0","n/a","Produce","1991 ","http://www.gamefaqs.com/tg16/924867-aldynes"
"Aldynes: The Mission Code for Rage Crisis","JP","Action,Shooter,Scrolling","Aldynes is an Action game, developed by Produce and published by Hudson,which was released in Japan in 1991.","n/a","7.0","n/a","Produce","1991 ","http://www.gamefaqs.com/tg16/924867-aldynes"
"Alien Crush","US","Miscellaneous,Parlor,Pinball","Imagine a living pinball machine...with aliens and outlandish worlds to throw at you. And turbo-charged, speed-of-light pinball action. You control the flippers and ball speed to defeat the Slime, the Tentacloid and Scorpion. Go for the eyes! This is full-tilt, out-of-this-world action! Surrealistic graphics plus true-to-life, earsplitting arcade pinball sound.","7.8","7.7","","Compile","1989 ","http://www.gamefaqs.com/tg16/588890-alien-crush"
"Andre Panza Kick Boxing","US","Sports,Traditional,Boxing","Andre Panza Kick Boxing is a Sports game, developed by Loriciels and published by Turbo Technologies, Inc.,which was released in 1991.","n/a","4.3","n/a","Loriciels","1991 ","http://www.gamefaqs.com/tg16/588892-andre-panza-kick-boxing"
"Legendary Axe II","US","Action,General","Legendary Axe II is an Action game, developed and published by Victor Interactive Software,which was released in Japan in 1990.","8.0","7.3","","Victor Interactive Software","1990 ","http://www.gamefaqs.com/tg16/589018-legendary-axe-ii"
"Ankoku Densetsu","JP","Action,General","Legendary Axe II is an Action game, developed and published by Victor Interactive Software,which was released in Japan in 1990.","8.0","7.3","","Victor Interactive Software","1990 ","http://www.gamefaqs.com/tg16/589018-legendary-axe-ii"
"Blue Blink","US","Action,General","Blue Blink is an Action game, developed by West One and published by Hudson,which was released in Japan in 1990.","n/a","6.7","n/a","West One","Apr 27, 1990 ","http://www.gamefaqs.com/tg16/588904-blue-blink"
"Aoi Blink","JP","Action,General","Blue Blink is an Action game, developed by West One and published by Hudson,which was released in Japan in 1990.","n/a","6.7","n/a","West One","Apr 27, 1990 ","http://www.gamefaqs.com/tg16/588904-blue-blink"
"Appare! Gateball","US","Sports,General","Appare! Gateball is a Sports game, developed by West One and published by Hudson,which was released in Japan in 1988.","n/a","6.0","n/a","West One","Dec 22, 1988 ","http://www.gamefaqs.com/tg16/588893-appare-gateball"
"Atomic Robo-Kid Special","US","Action,Shooter,Scrolling","Atomic Robo-Kid Special is an Action game, developed and published by UPL,which was released in Japan in 1990.","n/a","6.5","n/a","UPL","Jan 19, 1990 ","http://www.gamefaqs.com/tg16/588894-atomic-robo-kid-special"
"AV Poker World Gambler","US","Miscellaneous,Parlor,Gambling","AV Poker World Gambler is a Miscellaneous game, developed and published by Games Express,which was released in Japan in 1992.","2.0","n/a","n/a","Games Express","1992 ","http://www.gamefaqs.com/tg16/588895-av-poker-world-gambler"
"Ballistix","US","Action,General","Sick of silly old soccer? Tired of pathetic pinball? Then you need a dose of Ballistix - the fastest, wackiest, toughest ball game yet to appear on a computer. Ballistix just explodes with excitement, puzzles and an amazing 130 different screens of frenetic action! The aim of the game is simple: score more goals than your opponent to win the match. Doing it is a different matter as splitters fill the screen with dozens of balls, tunnels hide them from view, bumpers bounce balls all over the show, fiendish red arrows speed them up to almost impossible velocity, magnets pull them away from your control, and much, much more. You can play against the computer or another player, set the speed if you can't stand the pace, define where the balls are fired and their velocity, rack up bonuses that will get you extra goals and then, at the end of an exhausting game, set your name in pride of place on the high-score table.","n/a","7.0","n/a","Reflections Interactive","1992 ","http://www.gamefaqs.com/tg16/588896-ballistix"
"Bari Bari Densetsu","US","Driving,Racing,Arcade","Bari Bari Densetsu is a Driving game, published by Taito Corporation,which was released in Japan in 1989.","5.0","6.0","n/a","Taito Corporation","Nov 29, 1989 ","http://www.gamefaqs.com/tg16/579509-bari-bari-densetsu"
"Barunba","US","Action,Shooter,Scrolling","Barunba is an Action game, developed by Zap and published by Namco,which was released in Japan in 1990.","n/a","4.7","n/a","Zap","Apr 27, 1990 ","http://www.gamefaqs.com/tg16/588897-barunba"
"Batman","US","Action,Platformer,2D","He's totally new. Totally tough. And he'll stop at nothing to make sure justice prevails! From the dark streets of GOTHAM CITY to the deepest corners of the criminal underworld comes the CAPED CRUSADER as you've never seen him before. Incredibly strong. Armed to the teeth. And ready to put his life on the line for the sake of all, on a search-and-destroy mission to end the Joker's reign of terror. He leaps, he flies, he dodges enemy fire and delivers it right back... with a vengeance. This is no kid stuff. This is as real as video gaming gets. If you liked what you saw in the movie, you're gonna love what you see here. Because this time around, BATMAN is all business, and he won't let anything stand in his way!","n/a","6.7","n/a","SunSoft","Oct 12, 1990 ","http://www.gamefaqs.com/tg16/588898-batman"
"Battle Ace","US","Action,Shooter,Scrolling","Battle Ace is an Action game, published by Hudson,which was released in Japan in 1989.","n/a","6.5","n/a","Hudson","Nov 30, 1989 ","http://www.gamefaqs.com/tg16/563005-battle-ace"
"Battle Lode Runner","US","Action,Platformer,2D","Battle Lode Runner is an Action game, developed by Mutech and published by Hudson,which was released in Japan in 1993.","n/a","7.2","","Mutech","Apr 23, 2007 ","http://www.gamefaqs.com/tg16/588899-battle-lode-runner"
"Battle Royale","US","Action,Fighting,Wrestling","Battle Royale is an Action game, developed by Incredible Technologies and published by Turbo Technologies, Inc.,which was released in 1990.","n/a","5.3","n/a","Incredible Technologies","1990 ","http://www.gamefaqs.com/tg16/588900-battle-royale"
"Chew-Man-Fu","US","Miscellaneous,Puzzle,General","Chew-Man-Fu is a Miscellaneous game, developed by Now Production and published by Hudson,which was released in Japan in 1990.","8.0","6.8","","Now Production","1990 ","http://www.gamefaqs.com/tg16/579587-chew-man-fu"
