"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Bank Panic","US","Action,Shooter,Light Gun","Set against the background of America's pioneer era, you as the HERO, are a quick draw artist - whose job it is to protect the customers who are depositing money at the bank. You'll need a sharp eye and fast reflexes to succeed.","4.0","n/a","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916321-bank-panic"
"The Black Onyx","US","Role-Playing,First-Person","The Black Onyx is a Role-Playing game, developed by Bullet Proof Software and published by Sega,which was released in Japan in 1987.","5.0","8.0","n/a","Bullet Proof Software","1987 ","http://www.gamefaqs.com/sg1000/916337-the-black-onyx"
"Bomb Jack","US","Action,Platformer,2D","Bomb Jack is an Action game, developed and published by Sega,which was released in Japan in 1985.","n/a","7.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916329-bomb-jack"
"Borderline","US","Action,Shooter,Scrolling","Violently dash into the energy zone by freely maneuvering the red jeep. Throughout the first to the fourth scenes, continue to advance in an effort to destroy the enemy fortresses and headquarters by avoiding attacks from the enemy's tanks, armored motorcars, airplanes and missiles. Begin your invasion into the next scene after destroying all of the fortresses of the current scene you are engaged in battle in. When you completely destroy the headquarters in the final fourth scene, the strategic jeep operation that you launched results in a smashing victory for you!","n/a","8.0","n/a","Compile","1983 ","http://www.gamefaqs.com/sg1000/916274-borderline"
"C-SO!","US","Action,General","C-SO! is an Action game, developed by Compile and published by Sega,which was released in Japan in 1985.","n/a","n/a","n/a","Compile","1985 ","http://www.gamefaqs.com/sg1000/916331-c-so"
"The Castle","US","Action,General","The Castle is an Action game, published by Sega,which was released in Japan in 1986.","5.0","6.0","n/a","Sega","1986 ","http://www.gamefaqs.com/sg1000/916338-the-castle"
"Chack'n Pop","US","Action,Platformer,2D","Chack'n Pop is an Action game, developed and published by Sega,which was released in Japan in 1985.","n/a","8.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916320-chackn-pop"
"Challenge Derby","US","Sports,Alternative,Other","Challenge Derby is a Sports game, published by Tsukuda Original,which was released in Japan in 1984.","n/a","n/a","n/a","Tsukuda Original","1984 ","http://www.gamefaqs.com/sg1000/916344-challenge-derby"
"Champion Baseball","US","Sports,Traditional,Baseball,Sim","This is a fully appealing and thrilling baseball game in which you can enjoy all imaginable kinds of baseball patterns one after another as in an actual game. This game allows you to compete against the computer team (the P team versus the C team). Also, this game now permits 2 players to compete against each other and assures that your enjoyment will be doubly increased.","1.0","n/a","n/a","John Sands Electronics","1983 ","http://www.gamefaqs.com/sg1000/916284-champion-baseball"
"Champion Billiards","US","Miscellaneous,Parlor,Billiards","Champion Billiards is a Miscellaneous game, developed by Compile and published by Sega,which was released in Japan in 1986.","n/a","n/a","n/a","Compile","1986 ","http://www.gamefaqs.com/sg1000/916336-champion-billiards"
"Champion Boxing","US","Sports,Traditional,Boxing","Excitement gradually builds up as you fight in each of the 90 second rounds in this 8 round bout. Your opponent is a tough young blonde fighter. Throw STRAIGHT, JAB and UPPERCUT punches directly to the opponent's face or his body. Keep up the flurry of fast and furious blows by taking advantage of your superior footwork. Warm up in Level 1 and then upgrade your skills by consecutively clearing the higher levels. If, in Level 5, you win by a 10 count KO, you'll become the world champion!","1.0","6.0","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916301-champion-boxing"
"Champion Golf","US","Sports,Traditional,Golf,Sim","Champion Golf is a Sports game, published by John Sands Electronics,which was released in Australia in 1983.","n/a","n/a","n/a","John Sands Electronics","1983 ","http://www.gamefaqs.com/sg1000/916278-champion-golf"
"Champion Ice Hockey","US","Sports,Traditional,Ice Hockey,Arcade","Champion Ice Hockey is a Sports game, published by Sega,which was released in Japan in 1985.","n/a","10.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916327-champion-ice-hockey"
"Champion Kendo","US","Sports,General","Champion Kendo is a Sports game, published by Sega,which was released in Japan in 1986.","n/a","n/a","n/a","Sega","1986 ","http://www.gamefaqs.com/sg1000/916334-champion-kendo"
"Champion Pro Wrestling","US","Action,Fighting,Wrestling","Champion Pro Wrestling is an Action game, published by Sega,which was released in Japan in 1985.","n/a","n/a","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916307-champion-pro-wrestling"
"Champion Soccer","US","Sports,Traditional,Soccer,Sim","Champion Soccer is a Sports game, published by Sega,which was released in Japan in 1984.","n/a","n/a","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916302-champion-soccer"
"Champion Tennis","US","Sports,Traditional,Tennis","Serve, receive and smash the ball. Attack your rival's weak point. Use all corners of the court to your advantage and get a glorious victory over your opponent! This is a highly intellectual and competitive sports game which requires sharp nerves and concentration.","n/a","10.0","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916282-champion-tennis"
"Championship Lode Runner","US","Miscellaneous,Puzzle,Action","Championship Lode Runner is a Miscellaneous game, developed by Compile and published by Sega,which was released in Japan in 1985.","n/a","7.0","n/a","Compile","1985 ","http://www.gamefaqs.com/sg1000/916325-championship-lode-runner"
"Choplifter","US","Action,Shooter,Scrolling","Man a chopper in the nation's top action adventure. Pockets of international hostages are trapped. All across the world. In the Middle East. In the South Seas. And in a secret base somewhere in a cavern. You man a helicopter rescue team. And your job is to take your helicopter down, rescue the hostages and fly them back to safety. All the while dodging and destroying dangerous enemy fire. An action-packed helicopter game at its best!","n/a","7.0","n/a","Compile","1985 ","http://www.gamefaqs.com/sg1000/916316-choplifter"
"Chuugaku Hisshuu Ei Bunpou: Chuugaku 1 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Bunpou: Chuugaku 1 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943151-chuugaku-hisshuu-ei-bunpou-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Bunpou: Chuugaku 2 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Bunpou: Chuugaku 2 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943152-chuugaku-hisshuu-ei-bunpou-chuugaku-2-nensei-you"
"Chuugaku Hisshuu Ei Sakubun: Chuugaku 1 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Sakubun: Chuugaku 1 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943154-chuugaku-hisshuu-ei-sakubun-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Sakubun: Chuugaku 2 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Sakubun: Chuugaku 2 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943153-chuugaku-hisshuu-ei-sakubun-chuugaku-2-nensei-you"
"Chuugaku Hisshuu Ei Tango: Chuugaku 1 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Tango: Chuugaku 1 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943155-chuugaku-hisshuu-ei-tango-chuugaku-1-nensei-you"
"Chuugaku Hisshuu Ei Tango: Chuugaku 2 Nensei You","US","Miscellaneous,Edutainment","Chuugaku Hisshuu Ei Tango: Chuugaku 2 Nensei You is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1983.","n/a","8.0","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/943156-chuugaku-hisshuu-ei-tango-chuugaku-2-nensei-you"
"Congo Bongo","US","Action,General","Playing as the Hunter, you will climb up treacherous cliffs chasing after the gorilla. You will encounter many dangers along the way - watch out for falling coconuts and pesky monkeys! Finally, capture the gorilla to preserve the Hunter's honor.","n/a","9.0","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/916280-congo-bongo"
"DokiDoki Penguin Land","US","Miscellaneous,Puzzle,General","DokiDoki Penguin Land is a Miscellaneous game, developed and published by Sega,which was released in Japan in 1985.","n/a","6.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916318-dokidoki-penguin-land"
"Dragon Wang","US","Action,General","Dragon Wang is an Action game, published by Sega,which was released in Japan in 1985.","5.5","8.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916314-dragon-wang"
"Drol","US","Action,Platformer,2D","Drol is an Action game, published by Sega,which was released in Japan in 1985.","n/a","n/a","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916319-drol"
"Elevator Action","US","Action,Platformer,2D","As Agent 17, it is your mission to steal government documents from a heavily-guarded top-secret defense building. By making your way down elevators and escalators, you must pick up files and escape to the getaway car in the garage. But watch out for enemy agents!","n/a","10.0","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916323-elevator-action"
"Exerion","US","Action,Shooter,Scrolling","The FIGHTER EX rushes in and out, attacking the monstrous enemy groups in the six mysterious, different DIMENSIONAL worlds. The enemy is constantly in pursuit of the FIGHTER EX. The fighter's missiles, attacking the enemy, come down like showers of hail. Be on the alert! The 'Dual Beam' allows you to shoot down the enemy, and the 'SIngle Beam', to quickly and continuously attack them. See how successful you are in battling the enemy through the six dangerous worlds!","n/a","n/a","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916297-exerion"
"Flicky","US","Action,Platformer,2D","Tiger cats prowl on every shelf. Slimy Iggy lizards crawl slowly but surely closer. Flicky, the little blue bird that has a soft spot for Chicks, wants to help them get to the exit. But the cats and lizards stand in their way!","n/a","8.8","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916304-flicky"
"Flipper","US","Miscellaneous,Parlor,Pinball","A catchy rhythmical flipper sound accompanies this computer pinball video game. Featuring a D.T. (drop target) that enables you to earn bonus points and a K.H. (kicker hole) that entitles you to earn bonus points X a multiplication rate! Take good aim, and shoot away! Here's wishing you success as you merrily flip your way around the playfield in search of the proverbial 'high score'.","2.0","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/916289-flipper"
"Sega Flipper ","JP","Miscellaneous,Parlor,Pinball","A catchy rhythmical flipper sound accompanies this computer pinball video game. Featuring a D.T. (drop target) that enables you to earn bonus points and a K.H. (kicker hole) that entitles you to earn bonus points X a multiplication rate! Take good aim, and shoot away! Here's wishing you success as you merrily flip your way around the playfield in search of the proverbial 'high score'.","2.0","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/916289-flipper"
"Sega Flipper ","EU","Miscellaneous,Parlor,Pinball","A catchy rhythmical flipper sound accompanies this computer pinball video game. Featuring a D.T. (drop target) that enables you to earn bonus points and a K.H. (kicker hole) that entitles you to earn bonus points X a multiplication rate! Take good aim, and shoot away! Here's wishing you success as you merrily flip your way around the playfield in search of the proverbial 'high score'.","2.0","n/a","n/a","Sega","1983 ","http://www.gamefaqs.com/sg1000/916289-flipper"
"Girl's Garden","US","Action,General","Girl's Garden is an Action game, developed and published by Sega,which was released in Japan in 1984.","6.5","8.0","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916305-girls-garden"
"Golgo 13","US","Action,General","Golgo 13 is an Action game, published by Sega,which was released in Japan in 1984.","n/a","6.0","n/a","Sega","1984 ","http://www.gamefaqs.com/sg1000/916286-golgo-13"
"GP World","US","Driving,Racing,Arcade","GP World is a Driving game, published by Sega,which was released in Japan in 1985.","n/a","n/a","n/a","Sega","1985 ","http://www.gamefaqs.com/sg1000/916308-gp-world"
