"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Ace of Aces","US","Simulation,Flight,Civilian Plane","Messerschmidts darken the skies in front of you; JU-88 bombers move steadily toward their targets.At last, you've reached your objective --- a fleet of U-boats with bad intentions.You dive in to make a bombing run, but you overshoot!Turn around to try again, and the enemy fighters are all over you!Fire, dodge, climb, and fire again!Your let engine is in flames, your fuel supply dwindling...can you weather the storm?","n/a","3.9","n/a","Sega","1991 ","http://www.gamefaqs.com/sms/588021-ace-of-aces"
"Action Fighter","US","Action,Shooter,Scrolling","Get ready to play a starring role in the incredible world of international espionage. You receive five different assignments. All action-packed. And all extremely dangerous. Your secret weapon? A vehicle that transforms into a dozen different deadly devices. Your high-speed motorcycle can turn into a customized car and then into a sound barrier-breaking jet plane. All in a matter of seconds. The real test? To know when to use which weapon. Because the wrong machine, at the wrong time, can prove fatal.","4.7","6.0","n/a","Sega","1986 ","http://www.gamefaqs.com/sms/588022-action-fighter"
"The Addams Family","US","Action,Platformer,2D","Morticia has been kidnapped!Uncle Fester has lost his memory and fallen under the spell of Abigail Craven - only Gomez can save the day, finally confronting the evil Judge!Dare you freak out in the kooky spooky climax?","4.0","5.1","n/a","Arc Developments","1992 ","http://www.gamefaqs.com/sms/582283-the-addams-family"
"Wonder Kid","US","Action,Platformer,2D","Wonder Kid is an Action game, developed and published by Open Corp,which was released in Korea in 1992.","n/a","5.0","n/a","Open Corp","1995 ","http://www.gamefaqs.com/sms/611486-wonder-kid"
"Adventure Kid","AU","Action,Platformer,2D","Wonder Kid is an Action game, developed and published by Open Corp,which was released in Korea in 1992.","n/a","5.0","n/a","Open Corp","1995 ","http://www.gamefaqs.com/sms/611486-wonder-kid"
"Aerial Assault","US","Action,Shooter,Scrolling","It's the 21st century and N.A.C., a feared terrorist group of the galaxy, threatens to destroy Earth. They've developed the super weapon 'EL' that will blast away Earth's ozone layer. And they've threatened to use it! As the world's top jet fighter pilot, you're in command of the of the ultimate in combat aircraft - the 'Freedom Fighter.' Armed with the latest in new high-tech weaponry, you and your jet are Earth's only chance against the merciless N.A.C. Good luck!","2.0","6.4","n/a","Sanritsu","1990 ","http://www.gamefaqs.com/sms/588023-aerial-assault"
"After Burner","US","Simulation,Flight,Modern Jet","You're a Navy Air Captain. At your control is the most advanced fighter jet ever to set the sky on fire! You supply the skill, reflexes, and guts. Your F-14 Thunder Cat gives you Mach 2+ speeds, unlimited firepower and a state-of-the-art battle computer which targets your enemies for destruction. Fire guided missiles, then blast away with your Vulcan cannon. Roll your F-14 left and right! Enemy missiles slide under your wings. Your afterburners roar as you dive for the wave tops! In this sky battle you're outnumbered. But that's O.K. When it comes to flying the unfriendly skies, you're the one they call 'The Ace.'","5.5","6.4","","Sega","1988 ","http://www.gamefaqs.com/sms/588024-after-burner"
"The Dinosaur Dooley","US","Action,Shooter,Scrolling","The Dinosaur Dooley is an Action game, developed and published by Daou,which was released in Korea in 1991.","n/a","5.0","n/a","Daou","Canceled ","http://www.gamefaqs.com/sms/939193-the-dinosaur-dooley"
"Agigongnyong Dooly","KO","Action,Shooter,Scrolling","The Dinosaur Dooley is an Action game, developed and published by Daou,which was released in Korea in 1991.","n/a","5.0","n/a","Daou","Canceled ","http://www.gamefaqs.com/sms/939193-the-dinosaur-dooley"
"Air Rescue","US","Action,Shooter,Scrolling","Maneuver your Rescue Chopper through tight underground passages, blazing wreckage and treacherous enemy attacks to save the leaders of the world from the hands of terrorists!","n/a","5.9","n/a","Sanritsu","1992 ","http://www.gamefaqs.com/sms/570183-air-rescue"
"Zillion","US","Action,Platformer,2D","Are you ready for the ultimate danger? You're alone, outnumbered and there's no guarantee you'll make it alive. You're J.J. Your objective: secretly infiltrate the underground labyrinth of The Norsa Empire and steal their plans for domination. Armed with the ultra speed and power of the Zillion Laser, your mission is complex. And sheer strength will not win this one alone. You'll need more brains than brawn in this sophisticated operation. So, how will you think your way to victory? With cunning strategy and memory to guide you successfully through the maze which awaits. Where once inside, you'll find the information needed to destroy the Norsas and restore peace forever.","6.6","7.8","","Sega","1987 ","http://www.gamefaqs.com/sms/588176-zillion"
"Akai Koudan Zillion","JP","Action,Platformer,2D","Are you ready for the ultimate danger? You're alone, outnumbered and there's no guarantee you'll make it alive. You're J.J. Your objective: secretly infiltrate the underground labyrinth of The Norsa Empire and steal their plans for domination. Armed with the ultra speed and power of the Zillion Laser, your mission is complex. And sheer strength will not win this one alone. You'll need more brains than brawn in this sophisticated operation. So, how will you think your way to victory? With cunning strategy and memory to guide you successfully through the maze which awaits. Where once inside, you'll find the information needed to destroy the Norsas and restore peace forever.","6.6","7.8","","Sega","1987 ","http://www.gamefaqs.com/sms/588176-zillion"
"Game Box Serie Corridas","US","Miscellaneous,Compilation","Game Box Serie Corridas is a Miscellaneous game, developed by Sega and published by Tec Toy,which was released in South America in 1994.","n/a","n/a","n/a","Sega","April 1995 ","http://www.gamefaqs.com/sms/960942-game-box-serie-corridas"
"Aladdin II Special - Racing 3 IN 1","KO","Miscellaneous,Compilation","Game Box Serie Corridas is a Miscellaneous game, developed by Sega and published by Tec Toy,which was released in South America in 1994.","n/a","n/a","n/a","Sega","April 1995 ","http://www.gamefaqs.com/sms/960942-game-box-serie-corridas"
"Power Strike","US","Action,Shooter,Scrolling","Your planet has been overrun by the meanest mutant vegetation ever created in a genetics laboratory. It's taken over buildings, labs, fighter craft... even people! And it's getting bigger... and meaner... with each passing second. But it hasn't taken over you. Now, you're going in on a mission to deliver a POWER STRIKE! You have a special attack ship with the ability to use weapons you free from the ground. The action is hot and heavy. The enemy is coming faster than you could ever believe! So fight hard and fast. If you don't turn the mutated vegetation into a giant tossed salad, they'll turn you into toast!","n/a","7.0","","Compile","1988 ","http://www.gamefaqs.com/sms/588119-power-strike"
"Aleste","JP","Action,Shooter,Scrolling","Your planet has been overrun by the meanest mutant vegetation ever created in a genetics laboratory. It's taken over buildings, labs, fighter craft... even people! And it's getting bigger... and meaner... with each passing second. But it hasn't taken over you. Now, you're going in on a mission to deliver a POWER STRIKE! You have a special attack ship with the ability to use weapons you free from the ground. The action is hot and heavy. The enemy is coming faster than you could ever believe! So fight hard and fast. If you don't turn the mutated vegetation into a giant tossed salad, they'll turn you into toast!","n/a","7.0","","Compile","1988 ","http://www.gamefaqs.com/sms/588119-power-strike"
"Alex Kidd in Miracle World","US","Action,Platformer,2D","Your name is Alex Kidd. You have courage. A karate chop that shatters rocks. And a big job to do. You learn that the mysterious city Radactian is in great danger. All your skills and talents are desperately needed to help. But there's a catch: how do you get there? Your only clues are a puzzling map and a medallion made of Sunstone. Will that be enough to solve the riddle of the pathway? You face the obstacles. Solve the mysteries. learn the secrets as you go along. but there's high adventure around every corner. it takes a Kidd like you handle a challenge like this.","8.1","7.5","","Sega","1986 ","http://www.gamefaqs.com/sms/588027-alex-kidd-in-miracle-world"
"Alex Kidd no Miracle World","JP","Action,Platformer,2D","Your name is Alex Kidd. You have courage. A karate chop that shatters rocks. And a big job to do. You learn that the mysterious city Radactian is in great danger. All your skills and talents are desperately needed to help. But there's a catch: how do you get there? Your only clues are a puzzling map and a medallion made of Sunstone. Will that be enough to solve the riddle of the pathway? You face the obstacles. Solve the mysteries. learn the secrets as you go along. but there's high adventure around every corner. it takes a Kidd like you handle a challenge like this.","8.1","7.5","","Sega","1986 ","http://www.gamefaqs.com/sms/588027-alex-kidd-in-miracle-world"
"Alex Kidd in Shinobi World","US","Action,Platformer,2D","After ten thousand years, the once-banished Dark Ninja returns to make another attempt to take over the Miracle World. Someone's definitely got to stop him! Guess who dares to meet the challenge? You! You're AlexKidd, the prince who knows no fear. A lovely girl has been kidnapped and her life is at risk. And she's your girlfriend from the planet Shinobi! By holding her hostage, the Dark Ninja plans to realize his fiendish scheme. She must be saved before it's too late!","7.8","7.2","","Sega","1990 ","http://www.gamefaqs.com/sms/588028-alex-kidd-in-shinobi-world"
"Alex Kidd in Miracle World","US","Action,Platformer,2D","Your name is Alex Kidd. You have courage. A karate chop that shatters rocks. And a big job to do. You learn that the mysterious city Radactian is in great danger. All your skills and talents are desperately needed to help. But there's a catch: how do you get there? Your only clues are a puzzling map and a medallion made of Sunstone. Will that be enough to solve the riddle of the pathway? You face the obstacles. Solve the mysteries. learn the secrets as you go along. but there's high adventure around every corner. it takes a Kidd like you handle a challenge like this.","8.1","7.5","","Sega","1986 ","http://www.gamefaqs.com/sms/588027-alex-kidd-in-miracle-world"
"Alex Kidd no Miracle World","JP","Action,Platformer,2D","Your name is Alex Kidd. You have courage. A karate chop that shatters rocks. And a big job to do. You learn that the mysterious city Radactian is in great danger. All your skills and talents are desperately needed to help. But there's a catch: how do you get there? Your only clues are a puzzling map and a medallion made of Sunstone. Will that be enough to solve the riddle of the pathway? You face the obstacles. Solve the mysteries. learn the secrets as you go along. but there's high adventure around every corner. it takes a Kidd like you handle a challenge like this.","8.1","7.5","","Sega","1986 ","http://www.gamefaqs.com/sms/588027-alex-kidd-in-miracle-world"
"Alex Kidd: High-Tech World","US","Action,Platformer,2D","Being the Crown Prince of Planet Aries is never easy. On top of being a galactic hero, you have to deal with parents, teachers and palace retainers! But you're a Kidd at heart, and you just have to go to the new High-Tech World video arcade to play the newest Sega games. The problem is, the map to the arcade has been torn up into 8 pieces and hidden in the castle. As you look for the pieces you'll discover just how weird life in a castle can be! If you find them, you'll have to fight your way through a forest filled with blue Ninjas. Survive this ordeal and you'll have to find a travel pass in the village to make it over the border!","3.8","5.6","","Sega","1989 ","http://www.gamefaqs.com/sms/588026-alex-kidd-high-tech-world"
