"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"A.S.P. Air Strike Patrol","UN","Simulation,Flight,Modern Jet","A.S.P. Air Strike Patrol is a Simulation game, developed by Opus and published by Seta Corporation,which was released in Japan in 1994.","8.8","6.5","","Opus","January 1995 ","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"Desert Fighter ","EU","Simulation,Flight,Modern Jet","A.S.P. Air Strike Patrol is a Simulation game, developed by Opus and published by Seta Corporation,which was released in Japan in 1994.","8.8","6.5","","Opus","January 1995 ","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"Desert Fighter ","JP","Simulation,Flight,Modern Jet","A.S.P. Air Strike Patrol is a Simulation game, developed by Opus and published by Seta Corporation,which was released in Japan in 1994.","8.8","6.5","","Opus","January 1995 ","http://www.gamefaqs.com/snes/588192-asp-air-strike-patrol"
"AAAHH!!! Real Monsters","UN","Action,Platformer,2D","Greetings, terror-trainees! Ickis, Krumm, and Oblina will have to prove themselves on the Monster midterm exams if they want to call themselves real monsters! They must work together as a team to receive a single gruesome grade on their frightful performance. So...go out and petrify someone!","3.3","5.5","","Realtime Associates","November 1995 ","http://www.gamefaqs.com/snes/588180-aaahh-real-monsters"
"ABC Monday Night Football","UN","Sports,Traditional,Football,Arcade","ABC's Monday Night Football gives you football action like you've never seen before! This is the only game that takes you from the bright lights of the announcer's booth to the gut-wrenching action on the field. You are the Quarterback - check off your receivers and find the open man. Now you're the wide receiver - catch the winning touchdown as the crowd goes wild! You'll feel the hits, hear the grunts and experience football as only the best players can. You are the action! You set the formations and you call the plays! This is the game you've been waiting for!","5.0","3.8","","Kuusou Kagaku","December 1993 ","http://www.gamefaqs.com/snes/588181-abc-monday-night-football"
"Accelebrid","UN","Action,General","Accelebrid is an Action game, developed by Genki and published by Tomy Corporation,which was released in Japan in 1993.","n/a","5.5","n/a","Genki","Nov 26, 1993 ","http://www.gamefaqs.com/snes/570996-accelebrid"
"Ace o Nerae!","UN","Sports,Traditional,Tennis","Ace o Nerae! is a Sports game, developed and published by Nippon Telenet,which was released in Japan in 1993.","7.0","7.3","n/a","Nippon Telenet","Dec 22, 1993 ","http://www.gamefaqs.com/snes/571014-ace-o-nerae"
"ACME Animation Factory","UN","Miscellaneous,Puzzle,General","ACME Animation Factory is a Miscellaneous game, developed by Probe Software and published by SunSoft,which was released in 1994.","5.0","4.8","","Probe Software","November 1994 ","http://www.gamefaqs.com/snes/588182-acme-animation-factory"
"Acrobat Mission","UN","Action,Shooter,Scrolling","Acrobat Mission is an Action game, developed by Micronics and published by Techiku,which was released in Japan in 1992.","6.5","6.7","","Micronics","Sep 11, 1992 ","http://www.gamefaqs.com/snes/570862-acrobat-mission"
"Action Pachio","UN","Action,Platformer,2D","Action Pachio is an Action game, developed by C-Lab and published by Coconuts Japan,which was released in Japan in 1993.","6.0","5.3","","C-Lab","Apr9, 1993 ","http://www.gamefaqs.com/snes/570930-action-pachio"
