"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"A-Rank Thunder Tanjouhen","Adventure,General","A-Rank Thunder Tanjouhen is an Adventure game, developed by Telenet and published by Riot,which was released in Japan in 1993.","n/a","n/a","n/a","Telenet","Jun 25, 1993 ","http://www.gamefaqs.com/segacd/921876-a-rank-thunder-tanjouhen"
"A/X-101","Action,General","At the height of mankind's most glorious cultural and technological renaissance, the Earth is laid low by the Gurzons - a warlike and megalomanical alien race. Our planet's cities are shattered, and its population enslaved. But there is a last hope: if just a few Earth Defense Force pilots can break through to the planet Prism, the Gurzons' enemies will provide Earth with a miracle weapon that could save the world - the A/X-101! Now you can embark on one of the most visually stunning Sega CD adventures yet! A/X-101 utilizes superior graphics to make the battle to save the human race unfold before your eyes in dazzlingly-rendered animations. You'll fight through swarms of Gurzon fighters on outrageous 3D battle screens so real you'll feel the thrusters at your back as your starfighter twists and turns through space!","2.5","4.5","","","","http://www.gamefaqs.com/segacd/587924-a-x-101"
"Advanced Dungeons & Dragons: Eye of the Beholder","Role-Playing,First-Person","Put your best fighters up front. Battle Axe wielding Skeletons are among the first horrors you'll encounter in 13 levels of mayhem. Will they be the last? These flinds aren't your friends. And they like to hunt in packs! Ever met a Kuo-Toa? It's an electrifying experience. Even more shocking is The Beholder himself, if you survive long enough to meet him. Don't forget to look behind you! Giant spiders like to watch you pass, then strike.","n/a","6.7","","","","http://www.gamefaqs.com/segacd/587946-advanced-dungeons-and-dragons-eye-of-the-beholder"
"The Adventures of Batman & Robin","Action,General","Robin and Commissioner Gordon have mysteriously disappeared, and Batman suspects kidnapping. Have our two comrades succumb to the deadly beauty of Poison Ivy? Does the Riddler know the answer? Or will The Joker have the last laugh? Tune in on Sega CD to find out!","n/a","6.4","","","","http://www.gamefaqs.com/segacd/920016-the-adventures-of-batman-and-robin"
"The Adventures of Willy Beamish","Adventure,First-Person,Modern","Your tag-along little sister - Just how hard would you have to push to get her swing to do a loop? Ancient Ms. Glass, the English teacher - Hey kiddies, can you spell &quot;cardiac arrest?&quot; Good 'ol mom and dad - dump 'em fast, dump 'em now, look cute and blame eveything on your sister. Welcome to the seriously warped world of Willy Beamish. You'll face neurotic yuppie parents, teachers on the edge, a ghostly grandfather back from the grave, the baby-sitter from hell, and a plot to blow the city's sewer system sky high. It's chaotic, it's juvenile, it's definitely deranged and you're gonna love every minute of it!","8.0","6.7","","","","http://www.gamefaqs.com/segacd/587919-the-adventures-of-willy-beamish"
"After Armageddon","Role-Playing,General","After Armageddon is a Role-Playing game, developed by Pandora Box and published by Sega,which was released in Japan in 1994.","n/a","7.0","n/a","Pandora Box","Nov 11, 1994 ","http://www.gamefaqs.com/segacd/570469-after-armageddon"
"After Armageddon","Role-Playing,General","After Armageddon is a Role-Playing game, developed by Pandora Box and published by Sega,which was released in Japan in 1994.","n/a","7.0","n/a","Pandora Box","Nov 11, 1994 ","http://www.gamefaqs.com/segacd/570469-after-armageddon"
"After Burner III","Simulation,Flight,Modern Jet","You're strapped into the Navy's fiercest jet fighter-the F-14 Tomcat. Kick in the afterburner to outrun deadly cannon fire &quot;hot on your six.&quot; Pull up hard...lock and launch! Roll 360 degrees to blow desert tank patrols, radio towers, and missile sites into oblivion.","n/a","6.3","","","","http://www.gamefaqs.com/segacd/587920-after-burner-iii"
"AH-3 Thunderstrike","Simulation,Flight,Modern Jet","Strap into your AH-3 thunderstrike and fly that sacred bird straight into the jaws of terror. Cruise into Panama and rain on a guerilla parade with deadly whistler rockets...Tour the South Seas and test out your AFG autocannon on a fleet of pirate gunboats...Eradicate terrorist strongholds with your GR-3's...With a little luck, you just might last long enough to run a second mission.","n/a","7.4","n/a","Core Design Ltd.","January 1993 ","http://www.gamefaqs.com/segacd/587921-ah-3-thunderstrike"
"Aisle Lord","Role-Playing,General","Aisle Lord is a Role-Playing game, developed and published by Wolf Team,which was released in Japan in 1992.","n/a","4.0","n/a","Wolf Team","May 29, 1992 ","http://www.gamefaqs.com/segacd/581847-aisle-lord"
"Alshark","Role-Playing,General","Alshark is a Role-Playing game, developed by CRC Research Institute and published by Polydor,which was released in Japan in 1993.","8.0","8.0","n/a","CRC Research Institute","Nov 26, 1993 ","http://www.gamefaqs.com/segacd/579202-alshark"
